lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
1	Hag A 1	Dambach	31638	7.63179	49.00256	d'Muck	muck	muk	Mücke	1	maurer	na
2	Hag B 1	Wengelsbach	33081	7.71622	49.05104	die Muck	muck	muk	Mücke	1	maurer	na
3	Hag B 2	Obersteinbach	32250	7.69364	49.03549	Muck	muck	muk	Mücke	1	maurer	na
4	Hag B 3	Niedersteinbach	31553	7.71501	49.0295	die Muck, e Muck	muck	muk	Mücke	1	maurer	na
5	Hag B 4	Wingen	35538	7.81729	49.02601	Muck	muck	muk	Mücke	1	maurer	na
6	Hag B 5	Lembach	24210	7.78942	49.00701	d'Muck	muck	muk	Mücke	1	maurer	na
7	Hag C 1	Weißenburg-Weiler	35902	7.91271	49.0377	Muk	muk	muk	Mücke	1	maurer	na
8	Hag C 2	Weißenburg (Wissembourg)	34284	7.9521	49.03733	Mick	mick	mik	Mücke	1	maurer	na
9	Hag C 3	Altenstadt	31989	7.96964	49.03158	Mick	mick	mik	Mücke	1	maurer	na
10	Hag C 4	Rott	24185	7.91304	49.02495	Miecke	miecke	mike	Mücke	1	maurer	na
11	Hag C 5	Oberhoffen-lès-Wissembourg	30215	7.91832	49.01679	die Mück	mück	mük	Mücke	1	maurer	na
12	Hag C 6	Steinselz (Steinseltz)	25480	7.93035	49.0109	die Mick	mick	mik	Mücke	1	maurer	na
13	Hag C 7	Kleeburg (Cleebourg)	29688	7.89318	49.00093	die Mick	mick	mik	Mücke	1	maurer	na
14	Hag C 8	Klimbach (Climbach)	26547	7.85041	49.01803	die Mick	mick	mik	Mücke	1	maurer	na
15	Hag D 1	Hinsingen	32391	6.99156	48.9525	Muck	muck	muk	Mücke	1	maurer	na
16	Hag D 2	Altweiler (Altwiller)	27494	6.98122	48.93023	die Muck	muck	muk	Mücke	1	maurer	na
17	Hag E 1	Örmingen (Oermingen)	24198	7.12881	49.00062	Muck	muck	muk	Mücke	1	maurer	na
18	Hag E 2	Völlerdingen (Voellerdingen)	25773	7.14098	48.9622	d'Muck	muck	muk	Mücke	1	maurer	na
19	Hag E 3	Domfessel	33035	7.15171	48.95143	d'Mugg	mugg	muk	Mücke	1	maurer	na
20	Hag E 4	Rimsdorf	28214	7.12568	48.92923	d'Mugge	mugge	muke	Mücke	1	maurer	na
21	Hag E 5	Saarwerden (Sarrewerden)	34397	7.08411	48.9218	Mugg	mugg	muk	Mücke	1	maurer	na
22	Hag E 6/1	Saarbuckenheim (Sarre-Union)	27946	7.08686	48.93919	de Můck	můck	muk	Mücke	1	maurer	na
23	Hag E 6/2	Saarbuckenheim (Sarre-Union)	27946	7.08686	48.93919	die Muck 	muck 	muk	Mücke	1	maurer	na
24	Hag E 7	Keskastel	34046	7.04339	48.96955	die Mugg	mugg	muk	Mücke	1	maurer	na
25	Hag E 8	Schopperten	35269	7.05316	48.94524	Muck	muck	muk	Mücke	1	maurer	na
26	Hag E 9	Harskirchen	34648	7.0389	48.93409	Mugg	mugg	muk	Mücke	1	maurer	na
27	Hag E 10	Bissert	35132	7.02465	48.94167	Muck	muck	muk	Mücke	1	maurer	na
28	Hag F 1	Dehlingen	28850	7.19095	48.98016	Muck	muck	muk	Mücke	1	maurer	na
29	Hag F 2	Bütten (Butten)	24228	7.2205	48.97095	Muck	muck	muk	Mücke	1	maurer	na
30	Hag F 3	Ratzweiler (Ratzwiller)	28908	7.23978	48.95501	Muck	muck	muk	Mücke	1	maurer	na
31	Hag F 4	Lorenzen (Lorentzen)	36376	7.1752	48.95249	de Muck	muck	muk	Mücke	1	maurer	na
32	Hag F 5	Diemeringen	29314	7.18685	48.94061	die Muck	muck	muk	Mücke	1	maurer	na
33	Hag F 6	Mackweiler (Mackwiller)	25300	7.17502	48.9258	Muck	muck	muk	Mücke	1	maurer	na
34	Hag F 7	Waldhambach	28263	7.21529	48.92578	d'Muck	muck	muk	Mücke	1	maurer	na
35	Hag G 1	Rosteig	23512	7.33838	48.9327	die Mucke	mucke	muke	Mücke	1	maurer	na
