	Fragebogen Nr.	Longitude	Latitude	Erhebung	org ameise	item ameise	phontype ameise	lextype ameise	org begräbnis	item begräbnis	phontype begräbnis	lextype begräbnis	org deichsel	item deichsel	phontype deichsel	lextype deichsel	org elster	item elster	phontype elster	lextype elster	org fledermaus	item fledermaus	phontype fledermaus	lextype fledermaus	org gurke	item gurke	phontype gurke	lextype gurke	org hagebutte	item hagebutte	phontype hagebutte	lextype hagebutte	org hebamme	item hebamme	phontype hebamme	lextype hebamme	org kartoffel	item kartoffel	phontype kartoffel	lextype kartoffel	org maulwurf	item maulwurf	phontype maulwurf	lextype maulwurf	org pflaume	item pflaume	phontype pflaume	lextype pflaume	org stecknadel	item stecknadel	phontype stecknadel	lextype stecknadel	org ziege	item ziege	phontype ziege	lextype ziege	org zimmerfliege	item zimmerfliege	phontype zimmerfliege	lextype zimmerfliege
0	Co A1/1	7.53712	47.91578	maurer	d' Aumeis	aumeis	aumeise	Ameise	Licht	licht	licht	Li(e)cht	dr Dissl	dissl	disl	Deichsel	de Agrscht	agrscht	agerscht	Agerst	d' Fadermüs	fladermüs	fladermüs	Fledermaus	Gugummr	gugummr	gugummer	Gugummer	d'Butta	butta	butte	Butte	Hewāmm	hewāmm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharnialr	scharnialr	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Guf	guf	guf	Glufe	d'Geis	geis	geis	Geiß	d' Muck	muck	muk	Mücke
1	Co A1/2	7.53712	47.91578	maurer	a Omeis	omeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	der Dissel	dissel	disl	Deichsel	d'Agerst	agerst	agerscht	Agerst	d'Fladermüs	fladermüs	fladermüs	Fledermaus	a Gugummer	gugummer	gugummer	Gugummer	Butte	butte	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hartäpfel	hartäpfel	hardäpfel	Erdäpfel	Scharnieler	scharnieler	scharnieler	Schärnuler	Pflümae	pflümae	pflüme	Pflaume	Gufe	gufe	gufe	Glufe	eine Geiss	geiss	geis	Geiß	a Muckēͣ	muckēͣ	muke	Mücke
2	Co A10	7.57779	47.84303	maurer	de Omaise	omaise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	de Diachsla	diachsla	diegsle	Deichsel	di Ägeschde	ägeschde	ägeschte	Agerst	d'Fladermuus	fladermuus	fladermus	Fledermaus	Guckummere, Girkle	girkle, guckummere	girkle, gugummere	Gürkle, Gugummer	d'Hāgebuttene	hāgebuttene	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Hārtäpfel	hārtäpfel	hardäpfel	Erdäpfel	Mulwurf, Schär	schär, mulwurf	schär, mulwurf	Schär, Maulwurf	Pfluume	pfluume	pflume	Pflaume	Giiflė	giiflė	gifle	Glifle	d'Gaiß	gaiß	geis	Geiß	de Fliega	fliega	fliege	Fliege
3	Co A2	7.53396	47.88426	maurer	Omais	omais	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	die Agester	agester	ageschte	Agerst	die Fladermüs	fladermüs	fladermüs	Fledermaus	Gugumeer	gugumeer	gugummer	Gugummer	die Butte	butte	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharniäler	scharniäler	scharnieler	Schärnuler	Pflüme	pflüme	pflüme	Pflaume	Guf	guf	guf	Glufe	die Gaiß	gaiß	geis	Geiß	die Mugg	mugg	muk	Mücke
4	Co A3	7.51712	47.85248	maurer	d' Ameis	ameis	ameise	Ameise	Licht	licht	licht	Li(e)cht	d'r Dissel	dissel	disl	Deichsel	d'Ägerschta	ägerschta	ägerschte	Agerst	d' Flattermüs	flattermüs	fladermüs	Fledermaus	Kukummer	kukummer	gugummer	Gugummer	d'Butte	butte	butte	Butte	Hëwamme	hëwamme	hewamme	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharrniäler	scharrniäler	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gufa	gufa	gufe	Glufe	d'Geis	geis	geis	Geiß	d' Muck	muck	muk	Mücke
5	Co A4	7.63735	47.8479	maurer	Omeise	omeise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	Diēxle	diēxle	diegsle	Deichsel	Ägerste	ägerste	ägerschte	Agerst	Flādermus	flādermus	fladermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Buddene	buddene	buttene	Butte	Hebamm	hebamm	hebamm	Hebamme	Herdäpfl	herdäpfl	herdäpfel	Erdäpfel	Schärmus	schärmus	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Guufa 	guufa 	gufe	Glufe	Gaiß	gaiß	geis	Geiß	Fliēge	fliēge	fliäge	Fliege
6	Co A5	7.63962	47.85945	maurer	Omeise	omeise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Diechsle	diechsle	diegsle	Deichsel	Egerste	egerste	egerschte	Agerst	Fledermus	fledermus	fledermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Hagebutte	hagebutte	hagebutte	Hagebutte	Hebamme	hebamme	hebamme	Hebamme	Herdäpfel	herdäpfel	herdäpfel	Erdäpfel	Schär	schär	schär	Schär	Pflume	pflume	pflume	Pflaume	Gufe	gufe	gufe	Glufe	Geihs	geiß	geis	Geiß	Fliege	fliege	fliege	Fliege
7	Co A6	7.66768	47.87108	maurer	Omaisa	omaisa	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	d'r Diss'l	dissl	disl	Deichsel	Ägerste, Ägrsde	ägrsde, ägerste	ägerschte, ägerschte	Agerst, Agerst	Fladrmūs	fladrmūs	fladermus	Fledermaus	Gugumeer	gugumeer	gugummer	Gugummer	Hagebuttena	hagebuttena	hagebuttene	Hagebutte	Hebame	hebame	hebamme	Hebamme	Härtepf'l	härtepfl	herdäpfel	Erdäpfel	Schǟrmūs	schǟrmūs	schärmus	Schärmaus	Pflumä	pflumä	pflume	Pflaume	Gufa	gufa	gufe	Glufe	d'Gaisamutla	gaisamutla	geisemuddle	Geißmuddle	d' Mucka	mucka	muke	Mücke
8	Co A7	7.65221	47.8908	maurer	Ōmaise	ōmaise	ameise	Ameise	Līecht	līecht	licht	Li(e)cht	Dissel 	dissel 	disl	Deichsel	Ägeschte	ägeschte	ägeschte	Agerst	Flǟdermūs	flǟdermūs	fledermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Hagebuttene	hagebuttene	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Schärmuus	schärmuus	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Schteckgufe	schteckgufe	schtekgufe	Steckgufe	gais	gais	geis	Geiß	Fliege	fliege	fliege	Fliege
9	Co A8	7.62385	47.91694	maurer	Omaise	omaise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	Dissl	dissl	disl	Deichsel	Ägerste	ägerste	ägerschte	Agerst	Flädermus	flädermus	fledermus	Fledermaus	Gugummeer	gugummeer	gugummer	Gugummer	Hagebudde	hagebudde	hagebutte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Mulwurf, Schärmūs	schärmūs, mulwurf	schärmus, mulwurf	Schärmaus, Maulwurf	Pflūme	pflūme	pflume	Pflaume	Stecknodle	stecknodle	schteknodle	Stecknadel	Gaiß	gaiß	geis	Geiß	Fliëge	fliëge	fliäge	Fliege
10	Co A9	7.59238	47.87313	maurer	Omaisä	omaisä	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Ägrstä	ägrstä	ägerschte	Agerst	Flädermus	flädermus	fledermus	Fledermaus	Guckumerä	guckumerä	gugummere	Gugummer	Hagäbuttä	hagäbuttä	hagebutte	Hagebutte	Hebam	hebam	hebamm	Hebamme	Härdäpfel	härdäpfel	herdäpfel	Erdäpfel	Schärmus	schärmus	schärmus	Schärmaus	Pflumä	pflumä	pflume	Pflaume	Stecknodlä	stecknodlä	schteknodle	Stecknadel	Gais	gais	geis	Geiß	Fliegä	fliegä	fliege	Fliege
11	Co B1	7.66581	47.90315	maurer	Omaise	omaise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	die Agester	agester	ageschte	Agerst	Flädermūs	flädermūs	fledermus	Fledermaus	Gugumaͤra	gugumaͤra	gugummere	Gugummer	Die Hagabutte	hagabutte	hagebutte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Heͣrdäpfel	heͣrdäpfel	herdäpfel	Erdäpfel	Schär	schär	schär	Schär	Pflūme	pflūme	pflume	Pflaume	Güfle	güfle	güfle	Glifle	Gaihs	gaiß	geis	Geiß	Fliege	fliege	fliege	Fliege
12	Co B10	7.72184	47.87162	maurer	Omaise	omaise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Elschter	elschter	elschter	Elster	Fladrmüs	fladrmüs	fladermüs	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Haggebüdde	haggebüdde	hagebütte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfl	härdepfl	herdäpfel	Erdäpfel	Schärmüs	schärmüs	schärmüs	Schärmaus	Pflüeme	pflüeme	pflüeme	Pflaume	Gufe, Giflé	giflé, gufe	gifle, gufe	Glifle, Glufe	Geis	geis	geis	Geiß	Fliäge, Mugge	fliäge, mugge	fliäge, muke	Fliege, Mücke
13	Co B11	7.70333	47.91813	maurer	Omaise	omaise	ameise	Ameise	Liėcht	liėcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Aegerste	aegerste	ägerschte	Agerst	Flaedermūs	flaedermūs	flaedermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Hāgebutte, Hāgebutze	hāgebutze, hāgebutte	hagebutze, hagebutte	Hagebutte, Hagebutte	Hēbamm	hēbamm	hebamm	Hebamme	Hadepfel	hadepfel	hardäpfel	Erdäpfel	Schärmūs	schärmūs	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Gūfe	gūfe	gufe	Glufe	Gaiß	gaiß	geis	Geiß	Mukke	mukke	muke	Mücke
14	Co B12	7.75208	47.91557	maurer	Omaisa	omaisa	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	der Dissel	dissel	disl	Deichsel	die Agerschta	agerschta	agerschte	Agerst	Fladermüs	fladermüs	fladermüs	Fledermaus	Guggumra	guggumra	gugummere	Gugummer	die Hågabutta	hågabutta	hagebutte	Hagebutte	Hebbam	hebbam	hebamm	Hebamme	Herdepfel	herdepfel	herdäpfel	Erdäpfel	Scheermüss	scheermüss	schermüs	Schärmaus	Āhmdpflüma	āhmdpflüma	amdpflüme	Arnepflüm	Stecknodel	stecknodel	schteknodel	Stecknadel	die Geis	geis	geis	Geiß	die Fliaga	fliaga	fliäge	Fliege
