Koordinaten	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Longitude	Latitude	Levenshtein Item Min	z_score_item	Levenshtein Phontype Min	z_score_phontype	Levenshtein Lextype Min	z_score_lextype
6.90688, 47.80694	Co D6	III_14_0081	6.90688	47.80694	13	-4.064206725981036	3	-6.747394616576667	0	-6.7652694507715
6.93211, 47.80559	Co D1	III_14_0082	6.93211	47.80559	15	-3.006113733966776	6	-5.156458809499892	2	-5.705059984500509
6.94324, 47.80838	Co D2	III_14_0083	6.94324	47.80838	28	4.65304865513118	9	-2.9699279721621554	0	-6.282035918573536
6.9473, 47.82212	Co D3	III_14_0080	6.9473	47.82212	35	7.574816186175824	25	4.91946796865302	16	1.7164062793964292
6.95521, 47.88255	Co w 5	III_14_0001	6.95521	47.88255	25	2.284351226104524	9	-3.5655230024231153	5	-4.114745785094022
6.95965, 47.79904	Co D4	III_14_0084	6.95965	47.79904	37	10.196025060200615	27	7.171281900559458	24	6.9237112088763215
6.96296, 47.98143	Co p 2	III_13_0094	6.96296	47.98143	41	10.749095162218604	21	2.798220225883986	14	0.6561968131254374
6.96629, 47.92912	Co p 1	III_13_0095	6.96629	47.92912	24	2.5368626711026607	16	0.7422555776836532	14	1.1394303453234016
6.97173, 47.78361	Co D8	III_14_0085	6.97173	47.78361	11	-5.122299717995295	1	-7.808018487961184	0	-6.7652694507715
6.97488, 47.87245	Co w 4	III_14_0003	6.97488	47.87245	26	3.5949556631169206	12	-1.3789921650853805	9	-1.5110933203540762
6.97525, 47.91008	Co w 1	III_14_0004	6.97525	47.91008	25	2.2843512261045236	11	-2.5048991310385986	2	-5.705059984500509
6.979, 47.78312	Co D5	na	6.979	47.78312	0	0.0	0	0.0	0	0.0
6.98122, 48.93023	Hag D 2	III_5_0022	6.98122	48.93023	29	4.400537210133043	17	0.6769724831149522	3	-5.174955251365013
6.98613, 47.89621	Co w 2	III_14_0005	6.98613	47.89621	11	-5.122299717995296	7	-4.626146873807633	2	-5.705059984500509
6.98836, 47.88519	Co w 3	III_14_0006	6.98836	47.88519	42	11.278141658225733	24	4.389156032960761	15	1.1863015462609334
6.99156, 48.9525	Hag D 1	na	6.99156	48.9525	0	0.0	0	0.0	0	0.0
6.99386, 47.7727	Co D7	III_14_0086	6.99386	47.7727	26	2.8133977221116537	11	-2.504899131038599	10	-1.4642221194165441
7.00519, 47.87122	Co x 2	III_14_0007	7.00519	47.87122	16	-2.477067237959646	4	-6.217082680884408	2	-5.705059984500509
7.01113, 47.88081	Co x 1	III_14_0008	7.01113	47.88081	10	-4.86978827299716	2	-6.682111522007965	0	-6.282035918573536
7.02216, 47.75778	Co E4	III_14_0087	7.02216	47.75778	13	-4.064206725981036	7	-4.626146873807633	5	-4.114745785094022
7.02465, 48.94167	Hag E 10	na	7.02465	48.94167	0	0.0	0	0.0	0	0.0
7.02504, 47.63178	Co T10	na	7.02504	47.63178	0	0.0	0	0.0	0	0.0
7.02973, 47.7953	Co E1	III_14_0088	7.02973	47.7953	37	8.632909178190085	26	5.449779904345277	24	5.957244144480394
7.03186, 47.87365	Co x 5	III_14_0009	7.03186	47.87365	27	4.124002159124049	12	-1.3789921650853805	6	-3.1014075197605617
7.03325, 48.00405	Co q 5	III_13_0096	7.03325	48.00405	28	3.8714907141259145	21	2.798220225883985	12	-0.4040126531455537
7.03487, 47.86486	Co x 3	III_14_0010	7.03487	47.86486	39	9.691002170204342	27	5.980091840037537	17	2.2465110125319243
7.0389, 48.93409	Hag E 9	III_5_0027	7.0389	48.93409	14	-3.535160229973906	9	-3.5655230024231157	0	-6.7652694507715
7.04125, 47.73832	Co M10	na	7.04125	47.73832	0	0.0	0	0.0	0	0.0
7.04339, 48.96955	Hag E 7	III_5_0024	7.04339	48.96955	24	1.7553047300973932	8	-4.095834938115374	2	-5.705059984500509
7.04865, 47.86081	Co x 6	III_14_0011	7.04865	47.86081	21	0.16816524207600425	5	-5.68677074519215	5	-4.114745785094022
7.04974, 48.87869	Hag M 12	III_6_0005	7.04974	48.87869	39	9.691002170204344	31	8.101339582806569	23	5.427139411344898
7.05316, 48.94524	Hag E 8	III_5_0026	7.05316	48.94524	11	-5.122299717995296	7	-4.626146873807633	0	-6.7652694507715
7.05408, 47.6019	Co T16	na	7.05408	47.6019	0	0.0	0	0.0	0	0.0
7.0544, 47.75581	Co E3	III_14_0090	7.0544	47.75581	30	4.929583706140174	5	-5.68677074519215	0	-6.7652694507715
7.05724, 47.73372	Co M2	III_15_0001	7.05724	47.73372	14	-3.535160229973906	3	-6.747394616576667	0	-6.7652694507715
7.05832, 47.88017	Co x 9	III_14_0013	7.05832	47.88017	16	-1.6955092969543797	6	-4.5608637792389315	5	-3.6315122528960577
7.05852, 47.63139	Co T9	III_16_0014	7.05852	47.63139	14	-3.535160229973906	10	-3.035211066730857	0	-6.7652694507715
7.05868, 47.77527	Co E2	III_14_0091	7.05868	47.77527	27	3.342444218118784	9	-3.565523002423116	7	-3.054536318823031
7.06204, 48.8233	Hag T 2	III_7_0006	7.06204	48.8233	31	5.458630202147304	14	-0.9139633239618241	9	-1.99432685255204
7.06248, 47.68339	Co M7	III_15_0007	7.06248	47.68339	46	13.394327642254254	33	9.161963454191087	30	9.137872543293367
7.0684, 47.66973	Co T1	III_15_0008	7.0684	47.66973	23	2.0078161750955297	14	-0.3183682937008634	13	0.6093256121879065
7.06995, 48.9005	Hag M 2	III_6_0002	7.06995	48.9005	39	9.691002170204342	28	6.510403775729794	27	7.54755834388688
7.07073, 47.84351	Co x 4	III_14_0012	7.07073	47.84351	32	6.7692346391596985	17	1.2725675133759118	14	1.139430345323402
7.07084, 47.78935	Co E13	III_14_0092	7.07084	47.78935	37	8.632909178190083	9	-3.5655230024231157	0	-6.7652694507715
7.07146, 48.01325	Co i 3	III_13_0008	7.07146	48.01325	16	-0.9139513559491139	3	-5.556204556054746	0	-5.798802386375572
7.0716, 47.69963	Co M6	III_15_0004	7.0716	47.69963	61	21.330025082361203	40	12.874147004036896	41	14.969024607783817
7.07276, 47.99621	Co q 4	III_13_0097	7.07276	47.99621	22	0.6972117380831342	15	-0.38365138826956546	11	-0.9341173862810489
7.07612, 48.87884	Hag M 11/1, Hag M 11/2	III_6_0003	7.07612	48.87884	8	-6.709439206016685	0	-8.338330423653442	0	-6.7652694507715
7.07636, 48.91048	Hag M 1	III_5_0034	7.07636	48.91048	18	-1.4189742459453862	2	-7.277706552268925	0	-6.7652694507715
7.07947, 47.82929	Co E9	III_14_0089	7.07947	47.82929	13	-4.064206725981036	1	-7.808018487961184	0	-6.7652694507715
7.08247, 48.79646	Hag T 4	III_7_0013	7.08247	48.79646	14	-3.535160229973906	5	-5.68677074519215	0	-6.7652694507715
7.08355, 49.01459	Hag x 2	III_4_0053	7.08355	49.01459	23	1.2262582340902646	21	2.798220225883985	18	2.77661574566742
7.08411, 48.9218	Hag E 5	III_5_0033	7.08411	48.9218	28	3.871490714125913	4	-6.217082680884408	0	-6.7652694507715
7.08463, 48.83742	Hag M 10	III_6_0012	7.08463	48.83742	17	-1.948020741952516	8	-4.095834938115375	2	-5.705059984500509
7.08686, 48.93919	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	7.08686	48.93919	5	-8.296578694038075	1	-7.808018487961184	0	-6.7652694507715
7.08731, 48.02582	Co i 10	III_13_0007	7.08731	48.02582	18	-1.418974245945386	3	-6.747394616576667	0	-6.7652694507715
