	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
0	Hag A 1	III_4_0077	Dambach	7.63179	49.00256	fladdermüs	fladdermüs	0	-0.7815579410052661	fladermüs	fladermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
1	Hag B 1	na	Wengelsbach	7.71622	49.05104	fladdermaus	na	999	527.7358915701176	fladermaus	na	999	529.1860287263053	Fledermaus	na	999	529.091394870162
2	Hag B 2	III_4_0080	Obersteinbach	7.69364	49.03549	flåttermus	fladermaus	4	1.3346280430232536	fladermus	fladermaus	1	-0.06528309456870167	Fledermaus	Fledermaus	0	-0.48323353219796433
3	Hag B 3	III_4_0081	Niedersteinbach	7.71501	49.0295	fladdermüs	flattermüs	2	0.27653505100899384	fladermüs	fladermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
4	Hag B 4	III_4_0087	Wingen	7.81729	49.02601	fladdermaus	fladdermaus	0	-0.7815579410052661	fladermaus	fladermaus	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
5	Hag B 5	III_4_0086	Lembach	7.78942	49.00701	fladdermüs	fladdermüs	0	-0.7815579410052661	fladermüs	fladermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
6	Hag C 1	III_4_0100	Weißenburg-Weiler	7.91271	49.0377	fleddermaus	flädermaus	2	0.27653505100899384	fledermaus	fledermaus	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
7	Hag C 2	III_4_0093, III_4_0094	Weißenburg (Wisembourg)	7.9521	49.03733	fläddermaus	fledermaus, speckmaus	2	0.27653505100899384	fledermaus	fledermaus, schpekmaus	0	-0.5955950302609602	Fledermaus	Fledermaus, Speckmaus	0	-0.48323353219796433
8	Hag C 3	III_4_0099	Altenstadt	7.96964	49.03158	speckmaus	fledermaus	5	1.8636745390303837	schpekmaus	fledermaus	5	2.0559646482003324	Speckmaus	Fledermaus	5	2.1672901334795136
9	Hag C 4	III_4_0091	Rott	7.91304	49.02495	spackmaus 	fledermaus	6	2.3927210350375137	schpakmaus	fledermaus	6	2.5862765838925905	Speckmaus	Fledermaus	5	2.1672901334795136
10	Hag C 5	na	Oberhoffen-lès-Wisembourg	7.91832	49.01679	speckmaus	na	999	527.7358915701176	schpekmaus	na	999	529.1860287263053	Speckmaus	na	999	529.091394870162
11	Hag C 6	III_4_0092	Steinselz (Steinseltz)	7.93035	49.0109	spackmaus	spackmaus	0	-0.7815579410052661	schpakmaus	schpakmaus	0	-0.5955950302609602	Speckmaus	Speckmaus	0	-0.48323353219796433
12	Hag C 7	III_4_0090	Kleeburg (Cleebourg)	7.89318	49.00093	fladdermaus	flattermaus	2	0.27653505100899384	fladermaus	fladermaus	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
13	Hag C 8	III_4_0088	Klimbach (Climbach)	7.85041	49.01803	fladdermaus	speckmaus, fladdermaus	0	-0.7815579410052661	fladermaus	schpekmaus, fladermaus	0	-0.5955950302609602	Fledermaus	Speckmaus, Fledermaus	0	-0.48323353219796433
14	Hag D 1	na	Hinsingen	6.99156	48.9525	fleddermüs	na	999	527.7358915701176	fledermüs	na	999	529.1860287263053	Fledermaus	na	999	529.091394870162
15	Hag D 2	III_5_0022	Altweiler (Altwiller)	6.98122	48.93023	fläddermüs	fleddermüs	1	-0.25251144499813616	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
16	Hag E 1	III_4_0050	Örmingen (Oermingen)	7.12881	49.00062	flädermüs 	fledermüs	1	-0.25251144499813616	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
17	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen)	7.14098	48.9622	fläddermus	fläddermüs	1	-0.25251144499813616	fledermus	fledermüs	1	-0.06528309456870167	Fledermaus	Fledermaus	0	-0.48323353219796433
18	Hag E 3	III_5_0031	Domfesel	7.15171	48.95143	fläddermüs	fläddermüs	0	-0.7815579410052661	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
19	Hag E 4	III_5_0032	Rimsdorf	7.12568	48.92923	fläddermüs	fläddermüs	0	-0.7815579410052661	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
20	Hag E 5	III_5_0033	Saarwerden (Sarrewerden)	7.08411	48.9218	fleddermüß	flettermüs	3	0.8055815470161238	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
21	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	fläddermüs, fladdermus	fleddermüs, fledermüs	1	-0.25251144499813616	fledermüs, fladermus	fledermüs, fledermüs	0	-0.5955950302609602	Fledermaus, Fledermaus	Fledermaus, Fledermaus	0	-0.48323353219796433
22	Hag E 7	III_5_0024	Keskastel	7.04339	48.96955	fladdermus	fläddermus	1	-0.25251144499813616	fladermus	fledermus	1	-0.06528309456870167	Fledermaus	Fledermaus	0	-0.48323353219796433
23	Hag E 8	III_5_0026	Schopperten	7.05316	48.94524	fledermüs	fledermüs	0	-0.7815579410052661	fledermüs	fledermüs	0	-0.5955950302609602	Fledermaus	Fledermaus	0	-0.48323353219796433
