	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
0	Hag A 1	III_4_0077	Dambach	7.63179	49.00256	gagumer	kagumer	1	-0.25251144499813616	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
1	Hag B 1	na	Wengelsbach	7.71622	49.05104	gugummer	na	999	527.7358915701176	gugummer	na	999	529.1860287263053	Gugummer	na	999	529.091394870162
2	Hag B 2	III_4_0080	Obersteinbach	7.69364	49.03549	gagumer	gokumer	2	0.27653505100899384	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
3	Hag B 3	III_4_0081	Niedersteinbach	7.71501	49.0295	gagumer	gagummer	1	-0.25251144499813616	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
4	Hag B 4	III_4_0087	Wingen	7.81729	49.02601	gågummer	gågummer	0	-0.7815579410052661	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
5	Hag B 5	III_4_0086	Lembach	7.78942	49.00701	gagummer	gagummer	0	-0.7815579410052661	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
6	Hag C 1	III_4_0100	Weißenburg-Weiler	7.91271	49.0377	gegummere	gogummer	2	0.27653505100899384	gegummere	gagummer	2	0.4650288411235568	Gugummer	Gugummer	0	-0.48323353219796433
7	Hag C 2	III_4_0093, III_4_0094	Weißenburg (Wissembourg)	7.9521	49.03733	gagummer	gagummer, gogummer	0	-0.7815579410052661	gagummer	gagummer, gagummer	0	-0.5955950302609602	Gugummer	Gugummer, Gugummer	0	-0.48323353219796433
8	Hag C 3	III_4_0099	Altenstadt	7.96964	49.03158	gugumer	gugummer	1	-0.25251144499813616	gugummer	gugummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
9	Hag C 4	III_4_0091	Rott	7.91304	49.02495	gagummer	gagummer	0	-0.7815579410052661	gagummer	gagummer	0	-0.5955950302609602	Gugummer	Gugummer	0	-0.48323353219796433
