	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
0	Hag A 1	III_4_0077	Dambach	7.63179	49.00256	grumbeer	grumbeere	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
1	Hag B 1	na	Wengelsbach	7.71622	49.05104	grumbäre	na	999	527.7358915701176	grumbere	na	999	529.1860287263053	Grundbirne	na	999	529.091394870162
2	Hag B 2	III_4_0080	Obersteinbach	7.69364	49.03549	grumbāre	grumbeere	2	0.27653505100899384	grumbare	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
3	Hag B 3	III_4_0081	Niedersteinbach	7.71501	49.0295	grumbär	krummbeer	4	1.3346280430232536	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
4	Hag B 4	III_4_0087	Wingen	7.81729	49.02601	grumbier	grumbe̊e̊r	3	0.8055815470161238	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
5	Hag B 5	III_4_0086	Lembach	7.78942	49.00701	grumbeer	grumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
6	Hag C 1	III_4_0100	Weißenburg-Weiler	7.91271	49.0377	grumbeer	grumbäre	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
7	Hag C 2	III_4_0093, III_4_0094	Weißenburg (Wissembourg)	7.9521	49.03733	grumbier	grumbire, grumbeer	1	-0.25251144499813616	grumbire	grumbire, grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
8	Hag C 3	III_4_0099	Altenstadt	7.96964	49.03158	grumbeer	grumbeere	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
9	Hag C 4	III_4_0091	Rott	7.91304	49.02495	grumbeere	grundbeere	2	0.27653505100899384	grumbere	grundbere	2	0.4650288411235568	Grundbirne	Grundbirne	0	-0.48323353219796433
10	Hag C 5	na	Oberhoffen-lès-Wissembourg	7.91832	49.01679	grumbere	na	999	527.7358915701176	grumbere	na	999	529.1860287263053	Grundbirne	na	999	529.091394870162
11	Hag C 6	III_4_0092	Steinselz (Steinseltz)	7.93035	49.0109	grumbär	grumbär	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
12	Hag C 7	III_4_0090	Kleeburg (Cleebourg)	7.89318	49.00093	grumbär	grumbeere	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
13	Hag C 8	III_4_0088	Klimbach (Climbach)	7.85041	49.01803	grummbeer	grummbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
14	Hag D 1	na	Hinsingen	6.99156	48.9525	krumbier	na	999	527.7358915701176	grumbire	na	999	529.1860287263053	Grundbirne	na	999	529.091394870162
15	Hag D 2	III_5_0022	Altweiler (Altwiller)	6.98122	48.93023	grumbēre	grumbiere	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
16	Hag E 1	III_4_0050	Örmingen (Oermingen)	7.12881	49.00062	grumbeͥr	grumbeeͥr	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
17	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen)	7.14098	48.9622	grůmbeer	grumberre	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
18	Hag E 3	III_5_0031	Domfessel	7.15171	48.95143	grumbeer	grumbea	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
19	Hag E 4	III_5_0032	Rimsdorf	7.12568	48.92923	krummbier	grumber	3	0.8055815470161238	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
20	Hag E 5	III_5_0033	Saarwerden (Sarrewerden)	7.08411	48.9218	grumbēre	grumbär	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
21	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	grůmbiͤr, grumbeer	grumbeer, grumbier	0	-0.7815579410052661	grumbire, grumbere	grumbere, grumbire	0	-0.5955950302609602	Grundbirne, Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
22	Hag E 7	III_5_0024	Keskastel	7.04339	48.96955	grumbire	grumbier	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
23	Hag E 8	III_5_0026	Schopperten	7.05316	48.94524	grumbeer	grundbirne, grumbeere	1	-0.25251144499813616	grumbere	grundbirne, grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
24	Hag E 9	III_5_0027	Harskirchen	7.0389	48.93409	grummber	grumbeer	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
25	Hag E 10	na	Bissert	7.02465	48.94167	krumber	na	999	527.7358915701176	grumbere	na	999	529.1860287263053	Grundbirne	na	999	529.091394870162
26	Hag F 1	III_5_0037	Dehlingen	7.19095	48.98016	grumbier	grumbiere	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
27	Hag F 2	III_5_0042	Bütten (Butten)	7.2205	48.97095	grumbeer	grumbire	3	0.8055815470161238	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
28	Hag F 3	III_5_0044	Ratzweiler (Ratzwiller)	7.23978	48.95501	grumberr	grumbire	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
29	Hag F 4	III_5_0039	Lorenzen (Lorentzen)	7.1752	48.95249	grumbir	krumbiere	3	0.8055815470161238	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
30	Hag F 5	III_5_0040	Diemeringen	7.18685	48.94061	grumbeer	krumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
31	Hag F 6	III_5_0041	Mackweiler (Mackwiller)	7.17502	48.9258	krumbier	grumbiere	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
32	Hag F 7	III_5_0050	Waldhambach	7.21529	48.92578	grummbir	grumbia	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
33	Hag G 1	III_5_0052	Rosteig	7.33838	48.9327	grumbeer	krombeere	3	0.8055815470161238	grumbere	grombere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
34	Hag G 2	III_5_0057	Wingen (Wingen-Sur-Moder)	7.38129	48.91753	grumbir	grumbeer	2	0.27653505100899384	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
