	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
0	Hag A 1	III_4_0077	Dambach	7.63179	49.00256	plüm	blüm	1	-0.25251144499813616	plüm	plüm	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
1	Hag B 1	na	Wengelsbach	7.71622	49.05104	plaume	na	999	527.7358915701176	plaume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2	Hag B 2	III_4_0080	Obersteinbach	7.69364	49.03549	plüme	pflüme	1	-0.25251144499813616	plüme	pflüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
3	Hag B 3	III_4_0081	Niedersteinbach	7.71501	49.0295	pflüme	pflüme	0	-0.7815579410052661	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
4	Hag B 4	III_4_0087	Wingen	7.81729	49.02601	pflaum	pflaum	0	-0.7815579410052661	pflaum	pflaum	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
5	Hag B 5	III_4_0086	Lembach	7.78942	49.00701	pflüme	pflüm	1	-0.25251144499813616	pflüme	pflüm	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
6	Hag C 1	III_4_0100	Weißenburg-Weiler	7.91271	49.0377	pflaum	pflaume	1	-0.25251144499813616	pflaum	pflaume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
7	Hag C 2	III_4_0093, III_4_0094	Weißenburg (Wissembourg)	7.9521	49.03733	pflaum	pflaume, pflaume	1	-0.25251144499813616	pflaum	pflaume, pflaume	1	-0.06528309456870167	Pflaume	Pflaume, Pflaume	0	-0.48323353219796433
8	Hag C 3	III_4_0099	Altenstadt	7.96964	49.03158	pflaum	pflaum	0	-0.7815579410052661	pflaum	pflaum	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
9	Hag C 4	III_4_0091	Rott	7.91304	49.02495	pflaume	pflaume	0	-0.7815579410052661	pflaume	pflaume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
10	Hag C 5	na	Oberhoffen-lès-Wissembourg	7.91832	49.01679	pflaume	na	999	527.7358915701176	pflaume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
11	Hag C 6	III_4_0092	Steinselz (Steinseltz)	7.93035	49.0109	pflaum	pflaum	0	-0.7815579410052661	pflaum	pflaum	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
12	Hag C 7	III_4_0090	Kleeburg (Cleebourg)	7.89318	49.00093	pflaum	pflaume	1	-0.25251144499813616	pflaum	pflaume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
13	Hag C 8	III_4_0088	Klimbach (Climbach)	7.85041	49.01803	pfläum	pfläum	0	-0.7815579410052661	pfläum	pfläum	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
14	Hag D 1	na	Hinsingen	6.99156	48.9525	brümme	na	999	527.7358915701176	prüme	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
15	Hag D 2	III_5_0022	Altweiler (Altwiller)	6.98122	48.93023	prümme	brüme	2	0.27653505100899384	prüme	prüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
16	Hag E 1	III_4_0050	Örmingen (Oermingen)	7.12881	49.00062	prümm	brümm	1	-0.25251144499813616	prüm	prüm	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
17	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen)	7.14098	48.9622	brumme	brümme	1	-0.25251144499813616	prume	prüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
18	Hag E 3	III_5_0031	Domfessel	7.15171	48.95143	brümm	brümm	0	-0.7815579410052661	prüm	prüm	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
