	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	åmeisa	åmeise	1	ameise	ameise	0	Ameise	Ameise	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	ōmeisa	omeisa	1	ameise	ameise	0	Ameise	Ameise	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	åmeise	ameise	1	ameise	ameise	0	Ameise	Ameise	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	ameisa	ameise	1	ameise	ameise	0	Ameise	Ameise	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	ameis	ameise	1	ameise	ameise	0	Ameise	Ameise	0
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	amaisa	ameise	2	ameise	ameise	0	Ameise	Ameise	0
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	amaise	omeisa	3	ameise	ameise	0	Ameise	Ameise	0
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	åmeise	ameise, omeise	1	ameise	ameise	0	Ameise	Ameise	0
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	omeisa	omeisa	0	ameise	ameise	0	Ameise	Ameise	0
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	ameis	ameise	1	ameise	ameise	0	Ameise	Ameise	0
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	amais	omeis, ameis	1	ameise	ameise	0	Ameise	Ameise	0
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	omeis	na	999	ameise	na	999	Ameise	na	999
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	ämäß	ämes	2	emese	emese	0	Ameise	Ameise	0
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	omeis, ameis	omeis, ameis	0	ameise	ameise	0	Ameise	Ameise	0
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	omeis	ameise	2	ameise	ameise	0	Ameise	Ameise	0
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	ämäs	na	999	emese	na	999	Ameise	na	999
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	omaisā	omeise	2	ameise	ameise	0	Ameise	Ameise	0
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	ameis	omaisa	3	ameise	ameise	0	Ameise	Ameise	0
18	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	o̠maise	omaise	1	ameise	ameise	0	Ameise	Ameise	0
19	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	omeis	omeis	0	ameise	ameise	0	Ameise	Ameise	0
20	Hag E 10	na	Bissert	7.02465, 48.94167	ämäs	na	999	emese	na	999	Ameise	na	999
21	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	omeise	na	999	ameise	na	999	Ameise	na	999
22	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	omaysa	omaißa	2	ameise	ameise	0	Ameise	Ameise	0
23	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	ōmais	omaiß	2	ameise	ameise	0	Ameise	Ameise	0
24	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	omēise	omeis	2	ameise	ameise	0	Ameise	Ameise	0
25	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	omeisa	omeise	1	ameise	ameise	0	Ameise	Ameise	0
26	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	ämes	ämes	0	emese	emese	0	Ameise	Ameise	0
27	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	omeisa	na	999	ameise	na	999	Ameise	na	999
28	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	emaise	ämeis	3	emeise	emeise	0	Ameise	Ameise	0
29	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	omeis	omeis	0	ameise	ameise	0	Ameise	Ameise	0
30	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	ämäs	ameise	4	emese	ameise	2	Ameise	Ameise	0
31	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	ameise, ämäs	emeise	1	ameise, emese	emeise	1	Ameise	Ameise	0
32	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	omeisä	na	999	ameise	na	999	Ameise	na	999
