	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co Wa 7	na	Burgfelden (Bourgfelden)	7.54705, 47.57853	bäramsele	na	999	bäramsle	na	999	Bärams(e)le	na	999
1	Co W 3	III_16_0069	Kirchen (Efringen-Kirchen), Kirchen	7.56471, 47.64989	bäramsle	bäramsle	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
2	Co W 7, 9/2	na	Rümmingen	7.64143, 47.64099	bāramsle	na	999	baramsle	na	999	Bärams(e)le	na	999
3	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	bāramsle	bäramsle	1	baramsle	bäramsle	1	Bärams(e)le	Bärams(e)le	0
4	Co W 8	na	Wollbach	7.65387, 47.67054	bäramsle	na	999	bäramsle	na	999	Bärams(e)le	na	999
5	Co X 6	na	Brombach (/Maulburg, aber gestrichen)	7.69236, 47.63395	bäramsala	na	999	bäramsla	na	999	Bärams(e)le	na	999
6	Co X 5	na	Hauingen	7.69375, 47.64287	bäramsle	na	999	bäramsle	na	999	Bärams(e)le	na	999
7	Co X 1	III_16_0097	Hägelberg, Hägelberg	7.72778, 47.66132	bǟramslä	bäramslä	1	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
8	Co Q11	na	Schlächtenhaus-Hofen	7.73863, 47.69047	bäramsel	na	999	bäramsel	na	999	Bärams(e)le	na	999
9	Co Q10	na	Wieslet	7.79819, 47.6893	bäramsle	na	999	bäramsle	na	999	Bärams(e)le	na	999
10	Co X 17	na	Karzau (Karsau)	7.79868, 47.58875	bäramsele	na	999	bäramsle	na	999	Bärams(e)le	na	999
11	Co X 2	na	Langenau	7.79884, 47.65734	bäramsle	na	999	bäramsle	na	999	Bärams(e)le	na	999
12	Co X 11	III_16_0107, III_16_0108	Wiechs, Wiechs	7.81236, 47.63655	bäramsle	bäramsle, bäramseln	0	bäramsle	bäramsle, bäramslen	0	Bärams(e)le	Bärams(e)le	0
13	Co Y 1	III_16_0121	Fahrnau, Fahrnau	7.83602, 47.66179	bäramsle	bäramsle	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
14	Co Y 15	III_16_0122	Eichen, Eichen	7.83816, 47.6471	bäramsle	bäramsel	2	bäramsle	bäramsel	2	Bärams(e)le	Bärams(e)le	0
15	Co R12	III_15_0089	Hausen im Wiesental, Hausen im Wiesental	7.84055, 47.68143	bäramsle	bäramsle	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
16	Co R13	III_15_0085	Raitbach, Raitbach	7.86089, 47.68233	bäramslä	bäramsle	1	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
17	Co Y 2	na	Kürnberg	7.86873, 47.6649	bäramsl	na	999	bäramsel	na	999	Bärams(e)le	na	999
18	Co Y 3	III_16_0115	Hasel, Hasel	7.89786, 47.65393	bäramsle	bäramsle	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
19	Co Y 14	na	Wehr	7.9045, 47.62927	bäramsele	na	999	bäramsle	na	999	Bärams(e)le	na	999
20	Co Y 7	III_16_0119	Hütten, Hütten	7.94873, 47.62902	bäramsela	bäramsele	1	bäramsla	bäramsle	1	Bärams(e)le	Bärams(e)le	0
21	Co Y 9	III_16_0120	Bergalingen, Bergalingen	7.95943, 47.61266	bäramsele	bäramsele	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
22	Co Ya 2	III_17_0055, III_17_0048, III_17_0054, III_17_0052, III_17_0050, III_17_0051, III_17_0053	Obersäckingen, Säckingen	7.96171, 47.57476	bäramsle	bäramsle, bäramsele	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
23	Co Y 10	III_16_0125	Willaringen, Willaringen	7.97281, 47.60577	bäramsele	bäramsele	0	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
24	Co Y 4	na	Obergebisbach- Hornbach	7.97459, 47.65405	bäramsele	na	999	bäramsle	na	999	Bärams(e)le	na	999
25	Co Y 6	III_16_0123	Altenschwand, Altenschwand	7.976, 47.63697	bǟramselä	bäramsele	2	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
26	Co Y 8	III_16_0124	Rickenbach, Rickenbach	7.97772, 47.61891	bāramsele	beramsele	1	baramsle	bäramsle	1	Bärams(e)le	Bärams(e)le	0
