	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	KST D2	III_5_0122	Salmbach (bei Weißenburg), Salmbach	8.07143, 48.97818	saachemsa	saacheemse	2	sechemse	sachemse	1	Seichemes	Seichemes	0
1	KST D8	III_5_0114	Winzenbach (Winthenbach), Winzenbach	8.1038, 48.9341	sächemse	sachemase	2	sechemse	sachemase	2	Seichemes	Seichemes	0
2	KST D3/3, KST D3/1	III_5_0121	Niederlauterbach, Niederlauterbach	8.10398, 48.97233	sachemsa, sāchemse	sachems	1	sachemse, sechemse	sachemse	0	Seichemes	Seichemes	0
3	KST D5	III_5_0118	Neeweiler (Neewiller-près-Lauterbourg), Neeweiler	8.12624, 48.95491	sächäms	sächäms	0	sachemse	sachemse	0	Seichemes	Seichemes	0
4	KST D4	III_5_0119, III_5_0120	Scheibenhard, Scheibenhard, Scheibenhardt	8.13481, 48.97663	sächemse	sächems	1	sechemse	sachemse	1	Seichemes	Seichemes	0
5	KST D6	III_5_0117	Motern (Mothern), Motern	8.15128, 48.93354	saichämse	saichhämse	1	seichemse	seichhemse	1	Seichemes	Seichemes	0
6	TÜB c6	na	Bermersbach	8.34126, 48.69401	saichhämmesse	na	999	seichhemese	na	999	Seichemes	na	999
7	TÜB c8	III_25_0003, III_25_0004	Forbach, Forbach	8.3589, 48.67857	saichhämes	saichhemes, seichhemes	1	seichhemese	seichhemese	0	Seichemes	Seichemes	0
8	TÜB c5	III_25_0002	Langenbrand, Langenbrand	8.36334, 48.70441	saichhämise	saichhämese	1	seichhemise	seichhemese	1	Seichemes	Seichemes	0
9	MH C4	II_58_0116	Schloßau, Schloßau	9.15226, 49.53935	säichemez	säichemetz	1	seichemetse	seichemetse	0	Seichemes	Seichemes	0
10	MH D1	na	Mörschenhardt	9.17211, 49.56893	senchemez	na	999	senchemetse	na	999	Seichemes	na	999
11	MH D2	II_58_0107	Donebach, Donebach	9.19217, 49.56113	sǟïchemez	zēichēmez	4	seichemetse	seichemetse	0	Seichemes	Seichemes	0
