	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co Ub 2	III_17_0011	Mörnach (Mœrnach), Mörnach auf vierter Seite Mornach	7.25681, 47.50213	beardigung	beerdigung	1	beardigung	beerdigung	1	Beerdigung	Beerdigung	0
1	Co Vd 9	III_17_0077	Kiffis, Kiffis	7.35848, 47.4405	beardigung	beardigung	0	beardigung	beardigung	0	Beerdigung	Beerdigung	0
2	Co O7	III_15_0036	Landser, Landser	7.39601, 47.68637	beärdigung	beärdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
3	Co V 8	na	Stetten	7.42942, 47.6261	beardigung	na	999	beardigung	na	999	Beerdigung	na	999
4	Co Wa 1	na	Häsingen (Hésingue)	7.5211, 47.57633	beardigung	na	999	beardigung	na	999	Beerdigung	na	999
5	Co Wa 3	III_17_0035	Hegenheim (Hégenheim), Hegenheim	7.52344, 47.56115	beardigung	beardigung	0	beardigung	beerdigung	1	Beerdigung	Beerdigung	0
6	Co P8	III_15_0045	Bamlach, Bamlach	7.54942, 47.71753	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
7	Co H2	na	Neuenburg (am Rhein)	7.56012, 47.81393	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
8	Co P6	III_15_0057	Tannenkirch, Tannenkirch	7.6103, 47.71116	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
9	Co e 3	na	Leiselheim	7.6357, 48.12586	beardigung	na	999	beardigung	na	999	Beerdigung	na	999
10	Co t 2	na	Oberrimsingen	7.6594, 47.97942	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
11	Co Xa 5	III_17_0040	Wyhlen, Wyhlen	7.69103, 47.54989	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
12	Co Xa 1	III_17_0041	Degerfelden, Degerfelden	7.74584, 47.5696	beardigung	beardigung	0	beardigung	beardigung	0	Beerdigung	Beerdigung	0
13	Co Xa 3	III_17_0044	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
14	Co X 14	III_16_0104	Minseln, Minseln	7.79067, 47.60301	beardigung	beerdigung	1	beardigung	beerdigung	1	Beerdigung	Beerdigung	0
15	Co X 17	III_16_0105	Karzau (Karsau) , Karsau	7.79868, 47.58875	bierdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
16	Stra v 2	na	Marlen	7.8231, 48.52207	beardigung	na	999	beardigung	na	999	Beerdigung	na	999
17	Co g 8	na	Mundingen	7.8346, 48.13735	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
18	Co R9	na	Zell im Wiesental	7.85301, 47.70753	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
19	Stra S 3	na	Sulz	7.86031, 48.31851	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
20	Co Y 12	III_16_0168	Schwörstadt, Schwörstadt	7.87989, 47.59379	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
21	Stra w 11	na	Willstätt	7.89222, 48.53868	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
22	Co Y 9	III_16_0120	Bergalingen, Bergalingen	7.95943, 47.61266	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
23	Co Ya 2	III_17_0049, III_17_0055, III_17_0048	Obersäckingen, Säckingen	7.96171, 47.57476	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
24	Co Y 10	III_16_0125	Willaringen, Willaringen	7.97281, 47.60577	beä̅rdigung	beerdigung	2	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
25	Co Y 4	na	Obergebisbach- Hornbach	7.97459, 47.65405	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
26	Co Y 6	III_16_0123	Altenschwand, Altenschwand	7.976, 47.63697	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
27	Co Y 8	na	Rickenbach	7.97772, 47.61891	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
28	Co Y 5	na	Niedergebisbach	7.99251, 47.65054	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
29	TUTT S4	na	Hogschür	8.01475, 47.64742	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
30	TÜB h1/1	na	Gamshurst	8.0187, 48.66413	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
31	TUTT S2	III_16_0126	Segeten, Segeten	8.02357, 47.65954	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
32	TUTT S20	III_16_0138	Hänner, Hänner	8.03004, 47.59489	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
33	TUTT Sa5	III_16_0137	Oberhof, Oberhof	8.0324, 47.58493	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
34	TUTT Sa4	na	Niederhof	8.03951, 47.56938	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
35	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
36	TUTT L/S7, TUTT S1	III_15_0095, III_15_0093	Strittmatt, Strittmatt und Engelschwand, Engelschwand, Strittmatt	8.04718, 47.66382	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
37	TUTT Sa6	III_17_0062	Binzgen, Binzgen	8.06143, 47.57622	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
38	TUTT S19	III_16_0139	Rotzel, Rotzel	8.06151, 47.59473	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
39	TUTT L8	III_15_0097	Hartschwand, Hartschwand	8.0655, 47.67119	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
40	TUTT S7	III_16_0131	Niederwihl, Niederwihl	8.07095, 47.61851	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
41	TUTT S10	III_15_0096	Rotzingen, Rotzingen	8.0762, 47.66588	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
42	TUTT L17	III_15_0101	Fröhnd, Fröhnd	8.07717, 47.70011	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
43	TUTT S9	III_16_0134	Görwihl, Görwihl	8.07817, 47.64186	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
44	TUTT S18	III_16_0140	Hochsal, Hochsal	8.08003, 47.5887	beardigung	beerdigung	1	beardigung	beerdigung	1	Beerdigung	Beerdigung	0
45	TÜB a6	na	Oberbruch	8.08775, 48.72893	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
46	TUTT Sa7	III_17_0061	Laufenburg (Baden), Laufenburg	8.0908, 47.58055	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
47	TUTT L/8,9	III_15_0099	Hierbach - Wilfingen, Hierbach	8.09123, 47.686	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
48	TUTT S21	III_16_0141	Schachen, Schachen	8.09406, 47.60368	beärdigung	beerdigung	1	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
49	TUTT Sa8, TUTT S5	III_17_0060	Luttingen, Luttingen und Grunholz, Luttingen	8.09878, 47.57252	beärdigung, beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
50	TUTT L10	na	Wolpadingen	8.10774, 47.69861	beärdigung	na	999	beerdigung	na	999	Beerdigung	na	999
51	TUTT S17	na	Albert	8.11012, 47.58535	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
52	TUTT S15	na	Buch über Waldshut	8.11336, 47.61399	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
53	TUTT L16	III_15_0103	Schlageten, Schlageten	8.12512, 47.71178	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
54	TUTT L11	III_15_0102	Immeneich, Immeneich	8.12543, 47.69719	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
55	TUTT S14	na	Birndorf	8.13384, 47.62519	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
56	TUTT S16	III_16_0145	Albruck-Kiesenbach, Albruck	8.14411, 47.60046	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
57	TUTT L12	III_15_0106, III_15_0104, III_15_0107	Remetschwiel/Brunnadern, Brunnadern, Remetschwiel	8.14553, 47.68929	beärdigung	beärdigung, beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
58	TUTT S13	III_16_0169	Birkingen, Birkingen	8.1477, 47.62511	beerdigung	beeridung	2	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
59	TUTT L14, TUTT L13	III_15_0123	Remetschwiel und Bannholz, Bannholz, Bannholz	8.167, 47.67614	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
60	TUTT T4	na	Waldkirch	8.17132, 47.65851	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
61	TUTT T6	na	Dogern	8.17239, 47.60884	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
62	TUTT T5	III_16_0158	Eschbach, Eschbach	8.18086, 47.6336	beerdigung	bärdigung	2	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
63	TUTT T3	na	Schmitzingen	8.19315, 47.65491	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
64	KST M10/1	na	Rastatt	8.20142, 48.8573	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
65	TUTT T7	III_16_0152, III_16_0149	Waldshut, Waldshut	8.21445, 47.6237	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
66	TÜB E4	na	Oberwolfach	8.21698, 48.3174	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
67	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
68	TUTT T1	III_16_0161	Weilheim, Weilheim	8.24051, 47.65862	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
69	KST T14/2, KST T14/3	III_7_0131	Baden-Baden, Baden-Baden Weststadt	8.24094, 48.76273	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
70	TUTT M13	III_15_0128	Dietlingen, Dietlingen	8.24371, 47.67342	beerdigung	beerdigung	0	beerdigung	beerdigung	0	Beerdigung	Beerdigung	0
71	TÜB b1	na	Gerolsau	8.24536, 48.73474	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
72	KST M8	na	Rauental	8.24794, 48.8572	beerdigung	na	999	beerdigung	na	999	Beerdigung	na	999
