	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	bagrabnis	begräbnis	2	begrabnis	begräbnis	1	Begräbnis	Begräbnis	0
1	Co p 2	na	Wildenstein bei Krüt, Kreis Tann	6.96296, 47.98143	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
2	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
3	Co D7	na	Masmünster (Masevaux)	6.99386, 47.7727	begräbniß	na	999	begräbnis	na	999	Begräbnis	na	999
4	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	bagräbnis	bagrebnis	1	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
5	Co E13	na	Rammersmatt	7.07084, 47.78935	bgräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
6	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
7	Co T11	na	Mansbach (Manspach)	7.10508, 47.6176	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
8	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
9	Co T3	na	Büttweiler (Buethwiller)	7.14982, 47.65627	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
10	Co T15	na	Ballersdorf	7.1624, 47.625	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
11	Co Ua 5	na	Largitzen	7.1873, 47.56163	begrebnis	na	999	begräbnis	na	999	Begräbnis	na	999
12	Co N13	III_15_0029	Enschingen (Saint-Bernard), Enschingen	7.20293, 47.67101	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
13	Co Ub 1	na	Dürlinsdorf (Durlinsdorf)	7.24121, 47.48531	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
14	Hag N 6	na	Strut (Struth)	7.25475, 48.89009	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
15	Co Ua 13	III_17_0010	Köstlach (Kœstlach), Köstlach	7.27085, 47.5062	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
16	Co Ua 2	III_16_0036	Bettendorf, Bettendorf	7.27676, 47.58379	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
17	Co F6	na	Lutterbach	7.28171, 47.7605	begrebnis	na	999	begräbnis	na	999	Begräbnis	na	999
18	Co y 10	na	Rädersheim (Raedersheim)	7.28212, 47.88747	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
19	Co U 2	na	Lümschweiler (Luemschwiller) und Tagolsheim	7.28747, 47.65547	begräbnis	na	999	begräbnis	na	999	Begräbnis	na	999
20	Co k 4	III_13_0019	Wettolsheim, Wettolsheim	7.30629, 48.06133	begrabnis	begräbnis	1	begrabnis	begräbnis	1	Begräbnis	Begräbnis	0
21	Co Ua 3	III_16_0035	Weiler (Kreis Altkirch), Weiler	7.31925, 47.5857	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
22	Co O8	na	Niedersteinbrunn (Steinbrunn-Le-Bas)	7.36609, 47.67219	begrabnis	na	999	begrabnis	na	999	Begräbnis	na	999
23	Co V 11	III_16_0044	Jettingen, Jettingen	7.36877, 47.59592	begräbnis	begräbnis	0	begräbnis	begräbnis	0	Begräbnis	Begräbnis	0
