	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	licht	liecht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	lïchd	licht	2	licht	licht	0	Li(e)cht	Li(e)cht	0
2	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	liacht	liecht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
3	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	licht	licht	0	licht	licht	0	Li(e)cht	Li(e)cht	0
4	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	licht	licht	0	licht	licht	0	Li(e)cht	Li(e)cht	0
5	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	lichd	liecht	2	licht	licht	0	Li(e)cht	Li(e)cht	0
6	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	līcht	licht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
7	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	lichd	licht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
8	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	līcht	liecht	2	licht	licht	0	Li(e)cht	Li(e)cht	0
9	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	licht	na	999	licht	na	999	Li(e)cht	na	999
10	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	licht	līcht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
11	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	licht	lichd	1	licht	licht	0	Li(e)cht	Li(e)cht	0
12	Co w 3	na	Hüsseren-Wesserling (Husseren-Wesserling)	6.98836, 47.88519	licht	na	999	licht	na	999	Li(e)cht	na	999
13	Hag D 1	na	Hinsingen	6.99156, 48.9525	licht	na	999	licht	na	999	Li(e)cht	na	999
14	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	licht	licht	0	licht	licht	0	Li(e)cht	Li(e)cht	0
15	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	licht	liecht, licht	0	licht	licht	0	Li(e)cht	Li(e)cht	0
16	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	licht	licht	0	licht	licht	0	Li(e)cht	Li(e)cht	0
17	Hag E 10	na	Bissert	7.02465, 48.94167	lischt	na	999	lischt	na	999	Li(e)cht	na	999
18	Co E1	na	Oberburbach (Bourbach-Les-Haut)	7.02973, 47.7953	licht	na	999	licht	na	999	Li(e)cht	na	999
19	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	liacht	licht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
20	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	licha	licha	0	liche	liche	0	Li(e)cht	Li(e)cht	0
21	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	licht	liecht	1	licht	licht	0	Li(e)cht	Li(e)cht	0
22	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	lischd	licht	2	lischt	licht	1	Li(e)cht	Li(e)cht	0
