	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co p 2	na	Wildenstein bei Krüt, Kreis Tann	6.96296, 47.98143	hatzl	na	999	hatsel	na	999	Atzel	na	999
1	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	åtzel	atzel	1	atsel	atsel	0	Atzel	Atzel	0
2	Hag D 1	na	Hinsingen	6.99156, 48.9525	åtzel	na	999	atsel	na	999	Atzel	na	999
3	Hag E 10	na	Bissert	7.02465, 48.94167	åtzel	na	999	atsel	na	999	Atzel	na	999
4	Co E1	na	Oberburbach (Bourbach-Les-Haut)	7.02973, 47.7953	hatzel	na	999	hatsel	na	999	Atzel	na	999
5	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	atzel	atzel	0	atsel	atsel	0	Atzel	Atzel	0
6	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	åzzel	atzel	2	atsel	atsel	0	Atzel	Atzel	0
7	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	ātzel	atzel	1	atsel	atsel	0	Atzel	Atzel	0
8	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	atzel	atzel	0	atsel	atsel	0	Atzel	Atzel	0
9	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	åzel	atzel	2	atsel	atsel	0	Atzel	Atzel	0
10	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	åtzel	atzel	1	atsel	atsel	0	Atzel	Atzel	0
11	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	åtzel, atzel	åtzel	0	atsel	atsel	0	Atzel	Atzel	0
