	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
1	Co w 4	na	Mollau	6.97488, 47.87245	elschder	na	999	elschter	na	999	Elster	na	999
2	Co w 2	na	Fellerlingen (Fellering)	6.98613, 47.89621	elschter	na	999	elschter	na	999	Elster	na	999
3	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	elschter	elster	2	elschter	elschter	0	Elster	Elster	0
4	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	elschter	elster	2	elschter	elschter	0	Elster	Elster	0
5	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	elschter	elschder	1	elschter	elschter	0	Elster	Elster	0
6	Co q 4	na	Sondernach	7.07276, 47.99621	elschter	na	999	elschter	na	999	Elster	na	999
7	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	elschter	elschder	1	elschter	elschter	0	Elster	Elster	0
8	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
9	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	elschder	elschder	0	elschter	elschter	0	Elster	Elster	0
10	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	älschder	elschder	1	elschter	elschter	0	Elster	Elster	0
11	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	elster	elschter	2	elschter	elschter	0	Elster	Elster	0
12	Co q 3	na	Wasserburg Kreis Colmar (Wasserbourg)	7.15948, 48.00283	elster	na	999	elschter	na	999	Elster	na	999
13	Stra V 1	na	Markich (Sainte-Marie-Aux-Marines)	7.17972, 48.24483	eltster	na	999	elschter	na	999	Elster	na	999
14	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	älster, ålster	elster	1	elschter, alschter	elschter	0	Elster	Elster	0
15	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	elschdr	elster	3	elschter	elschter	0	Elster	Elster	0
16	Co Ua 1	na	Heimersdorf	7.24206, 47.57224	elschder	na	999	elschter	na	999	Elster	na	999
17	Stra z 2	III_10_0086	Natzweiler, Natzweiler	7.25895, 48.43628	elschdr	elster	3	elschter	elschter	0	Elster	Elster	0
18	Hag N 3	na	Frohmühl (Frohmuhl)	7.28007, 48.90754	elschter	na	999	elschter	na	999	Elster	na	999
19	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	elschter	elstr	3	elschter	elschter	0	Elster	Elster	0
20	Stra G 7	III_11_0001	Bassenberg (Bassemberg), Bassenberg	7.28546, 48.33566	elschdr	elschdr	0	elschter	elschter	0	Elster	Elster	0
21	Co c 2	na	Reichenweier (Riquewhir)	7.29975, 48.16568	elschter	na	999	elschter	na	999	Elster	na	999
22	Stra l 2	na	Wangenburg	7.30732, 48.6228	elschder	na	999	elschter	na	999	Elster	na	999
23	Stra z 1/2, Stra z 1/1	na	Grendelbruch	7.32375, 48.49241	elschter, alster	na	999	elschter, alschter	na	999	Elster	na	999
24	Stra G 1	III_11_0002	Le Hohwald, Hohwald	7.33005, 48.40339	elschdr	elschdr	0	elschter	elschter	0	Elster	Elster	0
25	Stra W 3	III_12_0011	Rodern, Rodern	7.35716, 48.22457	elster	elster	0	elschter	elschter	0	Elster	Elster	0
26	Hag O 4	III_6_0037	Erkartsweiler (Erckartswiller), Erkartsweiler	7.3596, 48.87532	elster	elschter	2	elschter	elschter	0	Elster	Elster	0
27	Co G6	na	Baldersheim	7.37806, 47.80152	elschter	na	999	elschter	na	999	Elster	na	999
28	Co s 7/2	na	Oberhergheim	7.39442, 47.96547	elster	na	999	elschter	na	999	Elster	na	999
29	Co d 3	III_12_0100	Bischweier, Bischweier	7.43735, 48.09944	elster	elster	0	elschter	elschter	0	Elster	Elster	0
30	Stra H 2/3	na	Barr	7.45244, 48.40651	elster	na	999	elschter	na	999	Elster	na	999
31	Co l 11	III_13_0033	Hettenschlag , Hettenschlag	7.45782, 48.00441	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
32	Co W 15/1	na	Boltzheim (Blotzheim)	7.49611, 47.60128	alsta	na	999	alschter	na	999	Elster	na	999
33	Co m 13	III_13_0046	Umgebung von Neubreisach (Weckolsheim), Weckolsheim	7.51347, 48.00264	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
34	Stra u 6/1	na	Ergersheim (wohnt seit 41 in Breitenau)	7.52806, 48.56941	elschter	na	999	elschter	na	999	Elster	na	999
35	Hag W 17	na	Hochfelden	7.57004, 48.75735	elschder	na	999	elschter	na	999	Elster	na	999
36	Co H13	na	Schliengen	7.57624, 47.75579	elstere	na	999	elschtere	na	999	Elster	na	999
37	Stra n 7	na	Wiwersheim	7.60738, 48.63994	elster	na	999	elschter	na	999	Elster	na	999
38	Hag P 14	III_6_0066	Pfaffenhofen, Pfaffenhofen	7.60881, 48.84422	elschdr	elschter	2	elschter	elschter	0	Elster	Elster	0
39	Co e 14	na	Jechtingen am Kaierstuhl	7.60965, 48.11815	elschtr	na	999	elschter	na	999	Elster	na	999
40	Co P15	III_15_0055	Holzen, Holzen	7.62775, 47.69538	elschtere	elschtre	1	elschtere	elschtere	0	Elster	Elster	0
41	Co H7	na	Müllheim	7.62923, 47.80821	elster	na	999	elschter	na	999	Elster	na	999
42	Co P5	III_15_0058	Riedlingen, Riedlingen	7.63561, 47.71579	elstere	elstere	0	elschter	elschtere	1	Elster	Elster	0
43	Co W 7, 9/2	na	Rümmingen	7.64143, 47.64099	elstere	na	999	elschtere	na	999	Elster	na	999
44	Co H12	III_14_0142	Obereggenen, Niedereggenen, Obereggenen, Niedereggenen	7.64434, 47.75677	elschdere	elstere	3	elschtere	elschtere	0	Elster	Elster	0
45	Co H6	na	Niederweiler	7.64763, 47.80664	elschder	na	999	elschter	na	999	Elster	na	999
46	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	elstere	elschder	4	elschtere	elschter	1	Elster	Elster	0
47	Co H5	na	Zunzingen	7.65195, 47.82164	elschder	na	999	elschter	na	999	Elster	na	999
48	Co W 21	III_16_0078	Tumringen, Tumringen	7.65564, 47.62739	elschder	eschter	2	elschter	eschter	1	Elster	Elster	0
49	Co P16	na	Kandern	7.66224, 47.71456	elschder	na	999	elschter	na	999	Elster	na	999
50	Co X 4	III_16_0092	Haagen, Haagen	7.67898, 47.63703	elster	elschter	2	elschter	elschter	0	Elster	Elster	0
51	Co X 16	III_16_0096	Inzlingen, Inzlingen	7.68772, 47.58811	elschder	elschter	1	elschter	elschter	0	Elster	Elster	0
52	Co X 5	III_16_0093	Hauingen, Hauingen	7.69375, 47.64287	elschder	elster	3	elschter	elschter	0	Elster	Elster	0
53	Co J3	na	Schweighof	7.69904, 47.80743	elschtr	na	999	elschter	na	999	Elster	na	999
54	Co B6	na	Sulzburg	7.70727, 47.84122	elster	na	999	elschter	na	999	Elster	na	999
55	Co J7	III_15_0061, III_14_0147	Malsburg, Malsburg	7.70866, 47.73257	elster	elschter, elschder	2	elschter	elschter	0	Elster	Elster	0
56	Hag B 3	na	Niedersteinbach	7.71501, 49.0295	elschder	na	999	elschter	na	999	Elster	na	999
57	Hag B 1	na	Wengelsbach	7.71622, 49.05104	elschder	na	999	elschter	na	999	Elster	na	999
58	Co B10	III_14_0057	Grunern bei Müllheim, Grunern	7.72184, 47.87162	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
59	Co B9	III_14_0060, III_14_0059, III_14_0061	Staufen (bei Freiburg), Staufen	7.72962, 47.88166	elstere	elschdere	3	elschtere	elschtere	0	Elster	Elster	0
60	Co Q8	III_15_0062	Endenburg, Endenburg	7.73306, 47.71161	elster	elschder	3	elschter	elschter	0	Elster	Elster	0
61	Co Q11	na	Schlächtenhaus-Hofen	7.73863, 47.69047	elstere	na	999	elschtere	na	999	Elster	na	999
62	Co X 7	III_16_0098	Steinen, Steinen	7.73911, 47.64447	elschder	elschter	1	elschter	elschter	0	Elster	Elster	0
63	Co X 9	III_16_0100	Hüsingen, Hüsingen	7.74114, 47.63121	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
64	Co X 8	III_16_0099	Höllstein, Höllstein	7.74574, 47.63943	elschter, elschtr	elschtěr	1	elschter	elschter	0	Elster	Elster	0
65	Co u 6	na	Pfaffenweiler	7.75445, 47.94133	elster	na	999	elschter	na	999	Elster	na	999
66	Co X 15	III_16_0102	Eichsel (GID von Obereichsel), Eichsel	7.75815, 47.59842	elster	elster	0	elschter	elschter	0	Elster	Elster	0
67	Stra R 4	na	Wittenweier	7.75888, 48.32591	alster	na	999	alschter	na	999	Elster	na	999
