	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	KST O2	na	Auerbach	8.53163, 48.91379	hätz	na	999	hets	na	999	Hetze	na	999
1	KST G5	na	Nöttingen	8.56916, 48.93008	hetz	na	999	hets	na	999	Hetze	na	999
2	KST G4	III_22_0017	Wilferdingen, Wilferdingen	8.57281, 48.9487	hetz	hätz	1	hets	hets	0	Hetze	Hetze	0
3	KST O4	III_23_0021	Ellmendingen, Ellmendingen	8.5761, 48.90131	hätz	hätz	0	hets	hets	0	Hetze	Hetze	0
4	KST G8	III_22_0019, III_22_0024, III_22_0018	Königsbach, Stein, Königsbach	8.61207, 48.96515	häz	hātze, hātz, hätz	1	hets	hets, hatse, hats	0	Hetze	Hetze	0
5	KST H4	III_22_0025	Eisingen, Eisingen	8.66865, 48.94773	hêtz	hätz	1	hets	hets	0	Hetze	Hetze	0
6	KST A5	na	Bretten	8.70657, 49.03456	hetze	na	999	hetse	na	999	Hetze	na	999
7	KST A4	na	Gölshausen	8.72322, 49.04608	hätzå	na	999	hetse	na	999	Hetze	na	999
8	KST A9	na	Ruit	8.72435, 49.00924	hetze	na	999	hetse	na	999	Hetze	na	999
9	KST t8	III_20_0040	Zaisenhausen, Zaisenhausen	8.81712, 49.10745	hetza	hätza	1	hetse	hetse	0	Hetze	Hetze	0
10	KST n11	na	Elsenz	8.83766, 49.17408	hatze	na	999	hetse	na	999	Hetze	na	999
11	KST B1	III_21_0033	Kürnbach, Kürnbach	8.84279, 49.07732	hädze	hatze	2	hetse	hatse	1	Hetze	Hetze	0
12	KST u5	III_20_0043, III_20_0042, III_20_0163, III_20_0045, III_20_0044	Sulzfeld, Sulzfeld	8.85671, 49.10336	häddza	hätze, hätza, häza	2	hetse	hetse	0	Hetze	Hetze	0
13	KST n10	III_20_0046	Adelshofen, Adelshofen	8.89073, 49.16806	hätze	hatzer	2	hetse	hatse	1	Hetze	Hetze	0
14	KST u3	III_20_0051, III_20_0050, III_20_0049, III_20_0047	Eppingen, Eppingen	8.9098, 49.13704	hetzä	hetzer, hedza, hädza	2	hetse	hetse, hatse	0	Hetze	Hetze	0
15	KST n9	III_19_0046	Ittlingen, Ittlingen	8.93691, 49.19224	heze	hetze	1	hetse	hetse	0	Hetze	Hetze	0
16	KST u2	III_20_0057	Stebbach, Stebbach	8.96448, 49.14676	hätzä	hätza	1	hetse	hetse	0	Hetze	Hetze	0
17	KST u1	na	Gemmingen	8.98358, 49.15633	hätza	na	999	hetse	na	999	Hetze	na	999
18	KST g11	na	Flinsbach	8.9996, 49.30946	hetze	na	999	hetse	na	999	Hetze	na	999
19	KST g9	III_18_0057	Bargen, Bargen	9.02233, 49.30537	hetze	hetze	0	hetse	hetse	0	Hetze	Hetze	0
20	KST v1	III_20_0066	Schluchtern, Schluchtern	9.1026, 49.14843	hätze	hätze	0	hetse	hetse	0	Hetze	Hetze	0
21	MH T11	II_60_0079	Diedesheim, Diedesheim	9.11367, 49.34933	hetze	hetze	0	hetse	hetse	0	Hetze	Hetze	0
22	MH U1	na	Neckarburken	9.165, 49.37662	hä̆tze	na	999	hetse	na	999	Hetze	na	999
23	MH M6	II_59_0110	Krumbach, Krumbach	9.18402, 49.45323	hetze	hetze	0	hetse	hetse	0	Hetze	Hetze	0
24	MH U2	II_60_0084	Dallau, Dallau	9.19192, 49.38655	hetze	hetze	0	hetse	hetse	0	Hetze	Hetze	0
25	MH M5	na	Limbach	9.21181, 49.46142	hetz	na	999	hets	na	999	Hetze	na	999
26	MH M2	na	Laudenberg	9.21457, 49.48066	hettze	na	999	hetse	na	999	Hetze	na	999
