	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	TUTT G7	na	Wiechs a. R.	8.64153, 47.78137	gegerst	na	999	kegerst	na	999	Kagerst	na	999
1	TUTT A3	na	Stetten (bei Engen)	8.71683, 47.87248	gägerschd	na	999	kägerscht	na	999	Kagerst	na	999
2	TUTT P2	III_37_0014	Bietingen, Bietingen	8.73023, 47.73862	gegerst	gägerscht	3	kegerst	kägerscht	3	Kagerst	Kagerst	0
3	TUTT A4	III_35_0028	Zimmerholz, Zimmerholz	8.74175, 47.86811	gägest	gägest	0	kägescht	kägescht	0	Kagerst	Kagerst	0
4	TUTT P1	na	Ebringen	8.75733, 47.75075	gägest	na	999	kägescht	na	999	Kagerst	na	999
5	TUTT H10	na	Welschingen	8.75772, 47.82306	gäggeͣ̈rsch	na	999	kägersch	na	999	Kagerst	na	999
6	TUTT A8	III_35_0029	Anselfingen, Anselfingen	8.76516, 47.84558	gäggerscht	gäggerst	2	kägerscht	kägerscht	0	Kagerst	Kagerst	0
7	TUTT A7	III_35_0033, III_35_0032, III_35_0034	Engen, Engen	8.76853, 47.85186	gägescht	gägerst	3	kägescht	kägerscht	1	Kagerst	Kagerst	0
8	TUTT H11	na	Weiterdingen	8.76917, 47.79954	gägerst	na	999	kägerscht	na	999	Kagerst	na	999
9	TUTT H3	III_36_0034	Duchtlingen, Duchtlingen	8.79029, 47.79154	gägerscht	gägerscht	0	kägerscht	kägerscht	0	Kagerst	Kagerst	0
10	TUTT H2	na	Mühlhausen	8.81866, 47.80792	gegerst	na	999	kegerst	na	999	Kagerst	na	999
11	TUTT J4	III_36_0150	Singen, Singen	8.83317, 47.76378	geggerschd, geggerst	gägerscht	3	kägerscht	kägerscht	0	Kagerst	Kagerst	0
12	TUTT J2 /1	III_36_0052	Schlatt (unter Krähen), Schlatt	8.83529, 47.80435	gägersch	gägerst	2	kägersch	kägerscht	1	Kagerst	Kagerst	0
13	TUTT J3	na	Hausen an der Aach	8.84574, 47.7917	gägerst	na	999	kägerscht	na	999	Kagerst	na	999
14	TUTT u5	III_34_0119	Emmingen, Emmingen	8.85302, 47.92883	gäggerschd	gäggerschd	0	kägerscht	kägerscht	0	Kagerst	Kagerst	0
15	TUTT Q3	na	Worblingen	8.86677, 47.72492	gäggerscht	na	999	kägerscht	na	999	Kagerst	na	999
