	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag K 2	III_5_0087	Bremmelbach, Bremmelbach	7.90023, 48.986	schbagmaus	speckmaus	5	schpakmaus	schpekmaus	1	Speckmaus	Speckmaus	0
1	Hag C 4	na	Rott	7.91304, 49.02495	spackmaus	na	999	schpakmaus	na	999	Speckmaus	na	999
2	Hag C 5	na	Oberhoffen-lès-Wisembourg	7.91832, 49.01679	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
3	Hag C 6	III_4_0092	Steinselz (Steinseltz), Steinselz	7.93035, 49.0109	spackmaus	spackmaus	0	schpakmaus	schpakmaus	0	Speckmaus	Speckmaus	0
4	Hag K 1	na	Riedselz (Riedseltz)	7.95195, 48.99281	schbåckmaus	na	999	schpakmaus	na	999	Speckmaus	na	999
5	Hag C 3	na	Altenstadt	7.96964, 49.03158	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
6	KST D11	III_5_0110, III_5_0112	Trimbach, Trimbach	8.0182, 48.94347	speckmaus	speckmaus	0	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
7	KST D12	na	Kaidenburg (Kaidenbourg)	8.03018, 48.94495	spǟckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
8	KST D10	III_5_0125	Siegen (Weisenburg), Siegen	8.04269, 48.9581	speckmaus	speckmaus	0	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
9	KST D1	III_5_0123	Schleital (Schleithal), Schleithal	8.04688, 48.98799	speckmaus	spackmaus	1	schpekmaus	schpakmaus	1	Speckmaus	Speckmaus	0
10	KST D14	III_5_0113	Eberbach-Selz, Eberbach-Selz	8.06718, 48.92481	speckmaus	speckmaus	0	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
11	KST D9	na	Oberlauterbach	8.07041, 48.94851	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
12	KST L3	na	Schaffhausen (Schaffhouse-près-Selz)	8.10006, 48.9087	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
13	KST D8	III_5_0114	Winzenbach (Winthenbach), Winzenbach	8.1038, 48.9341	schpeckmaus	speckmaus	2	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
14	KST L4	na	Selz (Seltz)	8.10383, 48.89457	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
15	KST D3/3, KST D3/2, KST D3/1	III_5_0121	Niederlauterbach, Niederlauterbach	8.10398, 48.97233	speckmaus, spackmaus	speckmaus	0	schpekmaus, schpakmaus	schpekmaus	0	Speckmaus	Speckmaus	0
16	KST D5	na	Neeweiler (Neewiller-près-Lauterbourg)	8.12624, 48.95491	späckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
17	KST D4	III_5_0120	Scheibenhard, Scheibenhardt	8.13481, 48.97663	späckmaus	speckmaus	1	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
18	KST D6	III_5_0117	Motern (Mothern), Motern	8.15128, 48.93354	späckmaus	späckmaus	0	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
19	KST L5	na	Plittersdorf bei Rastatt	8.15649, 48.88249	schbeckmūs	na	999	schpekmus	na	999	Speckmaus	na	999
20	KST M5	III_6_0103	Waldprechtsweier, Waldprechtsweier	8.33173, 48.8612	schpeckmaus	speckmaus	2	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
21	KST N2	na	Sulzbach	8.35791, 48.80596	schbeckmåus	na	999	schpekmaus	na	999	Speckmaus	na	999
22	KST F14/1	na	Ettlingen	8.40245, 48.94247	speckmaus	na	999	schpekmaus	na	999	Speckmaus	na	999
23	KST r3	III_20_0005	Linkenheim, Linkenheim	8.40844, 49.12418	speckmaus	speckmaus	0	schpekmaus	schpekmaus	0	Speckmaus	Speckmaus	0
