	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co W 10	na	Binzen	7.62403, 47.63133	gurke	na	999	gurke	na	999	Gurke	na	999
1	Co e 3	na	Leiselheim	7.6357, 48.12586	kurke	na	999	gurke	na	999	Gurke	na	999
2	Co J4	na	Marzell bei Kandern	7.72688, 47.77116	gurke	na	999	gurke	na	999	Gurke	na	999
3	Stra C 5	na	Altenheim	7.81393, 48.46505	gurge	na	999	gurke	na	999	Gurke	na	999
4	Stra v 3	na	Goldscheuer	7.81911, 48.51308	gurk	na	999	gurk	na	999	Gurke	na	999
5	Stra v 2	na	Marlen	7.8231, 48.52207	gurk	na	999	gurk	na	999	Gurke	na	999
6	Stra K 9	na	Langenwinkel	7.82557, 48.3325	gūrig	na	999	gurik	na	999	Gurke	na	999
7	Co g 8	na	Mundingen	7.8346, 48.13735	gurga	na	999	gurke	na	999	Gurke	na	999
8	Co R8	na	Adelsberg	7.83666, 47.71725	gurge	na	999	gurke	na	999	Gurke	na	999
9	Stra w 1	na	Neumühl	7.84392, 48.57012	gurg	na	999	gurk	na	999	Gurke	na	999
10	Co g 1	na	Emmendingen	7.84951, 48.1209	gurke̊	na	999	gurke	na	999	Gurke	na	999
11	Stra L 9	na	Schuttern	7.85268, 48.38219	gurik	na	999	gurik	na	999	Gurke	na	999
12	Co R9	na	Zell im Wiesental	7.85301, 47.70753	gurge	na	999	gurke	na	999	Gurke	na	999
13	Stra L 11	na	Dinglingen	7.85875, 48.34966	gurri	na	999	guri	na	999	Gurke	na	999
14	Stra S 3	na	Sulz	7.86031, 48.31851	gurk	na	999	gurk	na	999	Gurke	na	999
15	Stra D 2	na	Hohnhurst	7.86191, 48.49204	gurke	na	999	gurke	na	999	Gurke	na	999
16	Stra p 3	III_9_0078	Honau, Honau	7.87132, 48.64025	gurk	gurg	1	gurk	gurk	0	Gurke	Gurke	0
17	Stra w 2	III_10_0051	Odelshofen, Odelshofen	7.88021, 48.56001	gurk	gurk	0	gurk	gurk	0	Gurke	Gurke	0
18	Co R7	na	Häg-Rohrberg	7.90412, 47.7181	guerke	na	999	gurke	na	999	Gurke	na	999
19	Stra L 13	na	Kuhbach	7.90787, 48.33884	gurk	na	999	gurk	na	999	Gurke	na	999
20	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	gůrgä	gurke	3	gurke	gurke	0	Gurke	Gurke	0
21	Co R11	III_15_0083	Gersbach, Gersbach	7.93271, 47.69725	gurge	gurgä	1	gurke	gurke	0	Gurke	Gurke	0
22	Stra D 5	na	Bohlsbach	7.94796, 48.49264	gurik	na	999	gurik	na	999	Gurke	na	999
23	Co R4	na	Happach	7.95137, 47.7412	gurge	na	999	gurke	na	999	Gurke	na	999
24	Stra D 13	na	Ohlsbach	7.99275, 48.43199	gurik	na	999	gurik	na	999	Gurke	na	999
25	TUTT S3	na	Herrischried	8.00161, 47.66587	gurke	na	999	gurke	na	999	Gurke	na	999
26	TUTT L4/1, TUTT D5, Co R15, Co K12, TUTT L4/2	III_15_0073, III_14_0176	Todtmoos (-Rütte), Todtmoos , Todtmoos, Todtmoos	8.00438, 47.74133	gurge, gurge	gurge, gurka	0	gurke	gurke	0	Gurke	Gurke	0
27	TUTT L6	III_15_0090	Grossherrischwand, Grossherrischwand	8.01017, 47.6797	gurke	gurke	0	gurke	gurke	0	Gurke	Gurke	0
28	TUTT L5	na	Wehrhalden	8.01061, 47.70213	gurke	na	999	gurke	na	999	Gurke	na	999
29	Co R14	na	Rütte (bei Todtmoos; es gibt auch noch eines bei Herreschrie und eines bei Todtnauberg)	8.01336, 47.76141	gurke	na	999	gurke	na	999	Gurke	na	999
30	TÜB a2	na	Ulm (bei Bühl)	8.01434, 48.727	gurk	na	999	gurk	na	999	Gurke	na	999
31	TUTT D2/1	na	Bernau(-Hof)	8.01571, 47.82095	gūrge	na	999	gurke	na	999	Gurke	na	999
32	TÜB h1/2	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	gurk	gurk	0	gurk	gurk	0	Gurke	Gurke	0
33	TUTT S20	na	Hänner	8.03004, 47.59489	gurkche	na	999	gurkche	na	999	Gurke	na	999
34	KST L2	III_6_0087	Niederrödern/Elsass, Niederrödern	8.04105, 48.90576	gurke	gurke	0	gurke	gurke	0	Gurke	Gurke	0
35	TÜB a3	III_7_0119	Schwarzach (bei Bühl), Schwarzach	8.04423, 48.74717	gūrg	gurge	2	gurk	gurke	1	Gurke	Gurke	0
36	TUTT L/S7, TUTT S1	na	Strittmatt, Strittmatt und Engelschwand	8.04718, 47.66382	guarkcha	na	999	gurkche	na	999	Gurke	na	999
37	KST S7	na	Söllingen	8.05486, 48.78147	gurk	na	999	gurk	na	999	Gurke	na	999
38	TÜB D5	na	Zell am Harmersbach/Neuhausen	8.06267, 48.3591	gurke	na	999	gurke	na	999	Gurke	na	999
39	TUTT L8	na	Hartschwand	8.0655, 47.67119	gurka	na	999	gurke	na	999	Gurke	na	999
40	TÜB a5	na	Moos	8.06679, 48.71918	gurge	na	999	gurke	na	999	Gurke	na	999
41	TUTT L3	na	Ibach	8.07077, 47.73259	gurkche	na	999	gurkche	na	999	Gurke	na	999
42	TUTT L/8,9	III_15_0098	Hierbach - Wilfingen, Wilfingen	8.09123, 47.686	gurke	gūrge	2	gurke	gurke	0	Gurke	Gurke	0
43	TUTT w3	III_14_0072	Bärental, Bärental	8.0952, 47.86975	gurke	gurge	1	gurke	gurke	0	Gurke	Gurke	0
44	TÜB a7	III_8_0105	Balzhofen, Balzhofen	8.09765, 48.71247	gurk	gurke	1	gurk	gurke	1	Gurke	Gurke	0
45	TUTT L2	na	Wittenschwand	8.10083, 47.72846	gurke	na	999	gurke	na	999	Gurke	na	999
46	KST S14	III_7_0113	Hügelsheim, Hügelsheim	8.10904, 48.79654	gurge	gurg	1	gurke	gurk	1	Gurke	Gurke	0
47	TÜB a8	III_8_0106	Vimbuch, Vimbuch	8.11501, 48.71676	gurg	gurg	0	gurk	gurk	0	Gurke	Gurke	0
48	TUTT w4	na	Falkau	8.12453, 47.8699	gurke	na	999	gurke	na	999	Gurke	na	999
49	TÜB a9	na	Weitenung	8.12886, 48.73998	gurke	na	999	gurke	na	999	Gurke	na	999
50	KST L7	na	Wintersdorf	8.13451, 48.84595	guorke	na	999	gurke	na	999	Gurke	na	999
51	TUTT S12	na	Unteralpfen	8.13573, 47.64543	gūrge	na	999	gurke	na	999	Gurke	na	999
52	TUTT S16	na	Albruck-Kiesenbach	8.14411, 47.60046	gurke	na	999	gurke	na	999	Gurke	na	999
