	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	MH n1	II_55_0129, II_55_0128	Freudenberg, Freudenberg	9.32533, 49.75145	kimmerling	kimmerle	3	kümmerling	kümmerle	3	Kümmerle	Kümmerle	0
1	MH o8/1, MH o8/2	na	Ebenheid	9.36095, 49.7158	kümmerli , kümmerle	na	999	kümmerli, kümmerle	na	999	Kümmerle	na	999
2	MH N4/2	na	Zimmern	9.37304, 49.43313	kümerla	na	999	kümmerla	na	999	Kümmerle	na	999
3	MH o1	II_89_0016	Rauenberg, Rauenberg	9.38407, 49.74117	kümmerli	kümmerle	1	kümmerli	kümmerle	1	Kümmerle	Kümmerle	0
4	MH w4	II_90_0005	Höpfingen, Höpfingen	9.42753, 49.60185	kümmerli	kümmerli	0	kümmerli	kümmerli	0	Kümmerle	Kümmerle	0
5	MH E5	II_91_0004	Waldstetten, Waldstetten	9.44893, 49.5647	kümmerli	kümmerli	0	kümmerli	kümmerli	0	Kümmerle	Kümmerle	0
6	MH o4	II_89_0014	Hundheim, Hundheim	9.46691, 49.69109	kümmerli	kümrle	3	kümmerli	kümmerle	1	Kümmerle	Kümmerle	0
7	MH q1	na	Steinbach	9.47108, 49.68011	kümmerle	na	999	kümmerle	na	999	Kümmerle	na	999
8	MH w3	II_90_0007	Hardheim, Hardheim	9.47457, 49.60804	kümmerli	kümmerlė	1	kümmerli	kümmerle	1	Kümmerle	Kümmerle	0
9	MH w5	II_90_0008	Steinfurt, Steinfurt	9.48425, 49.64828	kümmerli	kümmerli	0	kümmerli	kümmerli	0	Kümmerle	Kümmerle	0
10	MH E6	II_91_0005, II_91_0123	Bretzingen, Bretzingen	9.48682, 49.57826	kůmmerle	gumerle, kummerle	1	kummerle	kummerle	0	Kümmerle	Kümmerle	0
11	MH E8	II_91_0006	Erfeld, Erfeld	9.49597, 49.55416	kümmerle	kümmerli	1	kümmerle	kümmerli	1	Kümmerle	Kümmerle	0
12	MH p4	II_89_0013	Dörlesberg, Dörlesberg	9.501, 49.71273	kümmerling	kümmerlïng	1	kümmerling	kümmerling	0	Kümmerle	Kümmerle	0
13	MH g3	na	Wertheim-Bastenheid	9.5029, 49.78173	gümmerli	na	999	kümmerli	na	999	Kümmerle	na	999
14	MH p1	II_89_0018	Waldenhausen, Waldenhausen	9.52298, 49.74357	kümmerlie	kümrle	3	kümmerli	kümmerle	1	Kümmerle	Kümmerle	0
15	MH p5	II_89_0024	Külsheim, Külsheim	9.5236, 49.66947	kümerling	kümmerling	1	kümmerling	kümmerling	0	Kümmerle	Kümmerle	0
16	MH x7	II_90_0009	Schweinberg, Schweinberg	9.52459, 49.61864	kümmerle	kümmerle	0	kümmerle	kümmerle	0	Kümmerle	Kümmerle	0
17	MH F1	II_91_0008	Pülfringen, Pülfringen	9.52624, 49.58149	kümerli	kümmerle	2	kümmerli	kümmerle	1	Kümmerle	Kümmerle	0
18	MH p2	II_89_0022	Reicholzheim, Reicholzheim	9.53393, 49.72663	kümmerle	kümmerling	3	kümmerle	kümmerling	3	Kümmerle	Kümmerle	0
19	MH p3	II_89_0023	Bronnbach, Bronnbach	9.54654, 49.71348	kümmerling	kümmerling	0	kümmerling	kümmerling	0	Kümmerle	Kümmerle	0
20	MH F2	na	Brehmen	9.55454, 49.56839	kümmerlä	na	999	kümmerle	na	999	Kümmerle	na	999
21	MH g4	II_88_0022	Bettingen, Bettingen	9.5642, 49.77261	kümmerli	kümmerla	1	kümmerli	kümmerla	1	Kümmerle	Kümmerle	0
