	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag A 1	III_4_0077	Dambach, Dambach	7.63179, 49.00256	årschkitzle	årschkitzel	2	arschkitzle	arschkitzl	1	Arschkitzel	Arschkitzel	0
1	Hag B 1	na	Wengelsbach	7.71622, 49.05104	arschkitzler	na	999	arschkitzler	na	999	Arschkitzel	na	999
2	Hag B 5	na	Lembach	7.78942, 49.00701	årschkitzler	na	999	arschkitzler	na	999	Arschkitzel	na	999
3	Hag B 4	III_4_0087	Wingen, Wingen	7.81729, 49.02601	årschkitzel	årschkitzel	0	arschkitzl	arschkitzl	0	Arschkitzel	Arschkitzel	0
4	Hag J 1	na	Lembach-Pfaffenbronn (Pfaffenbronn)	7.83111, 48.99355	årschkitzel	na	999	arschkitzl	na	999	Arschkitzel	na	999
5	Hag C 8	III_4_0088	Klimbach (Climbach), Klimbach	7.85041, 49.01803	arschkitzel	årschkitzel	1	arschkitzl	arschkitzl	0	Arschkitzel	Arschkitzel	0
6	Hag K 20	III_5_0086	Drachenbronn, Drachenbronn	7.87037, 48.98626	årschkitzle	årschkizle	1	arschkitzle	arschkitzle	0	Arschkitzel	Arschkitzel	0
7	Hag K 18	III_5_0091	Keffenach, Keffenach	7.88225, 48.96489	arschkitzle	arschkitzle	0	arschkitzle	arschkitzle	0	Arschkitzel	Arschkitzel	0
8	Hag C 7	na	Kleeburg (Cleebourg)	7.89318, 49.00093	arschkitzle	na	999	arschkitzle	na	999	Arschkitzel	na	999
9	Hag K 2	na	Bremmelbach	7.90023, 48.986	å̄rschkitzel	na	999	arschkitzl	na	999	Arschkitzel	na	999
10	Hag C 1	III_4_0100	Weißenburg-Weiler, Weissenburg-Weiler	7.91271, 49.0377	ŏschkitzle	årschkitzle	2	arschkitzle	arschkitzle	0	Arschkitzel	Arschkitzel	0
11	Hag C 5	na	Oberhoffen-lès-Wissembourg	7.91832, 49.01679	arschkitzel	na	999	arschkitzl	na	999	Arschkitzel	na	999
12	Hag C 6	III_4_0092	Steinselz (Steinseltz), Steinselz	7.93035, 49.0109	arschkitzel	arschkitzle	2	arschkitzl	arschkitzle	1	Arschkitzel	Arschkitzel	0
13	Hag K 5	III_5_0097	Hunspach, Hunspach	7.94316, 48.9536	arschkitzle	arschkitzle	0	arschkitzle	arschkitzle	0	Arschkitzel	Arschkitzel	0
14	Hag K 9	III_5_0103	Leitersweiler (Leiterswiller), Leitersweiler	7.94768, 48.92407	årschkitzler	årschkitzler	0	arschkitzler	arschkitzler	0	Arschkitzel	Arschkitzel	0
15	Hag C 2	III_4_0093	Weißenburg (Wissembourg), Weißenburg	7.9521, 49.03733	arschkitzel	arschkitzle	2	arschkitzl	arschkitzle	1	Arschkitzel	Arschkitzel	0
16	Hag K 4	III_5_0098	Oberseebach, Oberseebach	7.98947, 48.9672	aschkitzler	ârschkilzle	4	arschkitzler	arschkitzle	1	Arschkitzel	Arschkitzel	0
17	Hag K 7	III_5_0105	Stundweiler (Stundwiller), Stundweiler	7.99256, 48.92477	arschkitzle	arschkitzle	0	arschkitzle	arschkitzle	0	Arschkitzel	Arschkitzel	0
18	KST L1	III_5_0111	Bühl (Buhl), Bühl	8.00666, 48.91753	arschkitzel	arschkitzle	2	arschkitzl	arschkitzle	1	Arschkitzel	Arschkitzel	0
19	KST D11	III_5_0110, III_5_0112	Trimbach, Trimbach	8.0182, 48.94347	årschkitzler	arschkitzler	1	arschkitzler	arschkitzler	0	Arschkitzel	Arschkitzel	0
20	KST D12	na	Kaidenburg (Kaidenbourg)	8.03018, 48.94495	oaschkizler	na	999	arschkitzler	na	999	Arschkitzel	na	999
21	KST D13	na	Kröttweiler (Croettwiller)	8.03043, 48.93123	arschkitzle	na	999	arschkitzle	na	999	Arschkitzel	na	999
22	KST D10	III_5_0125	Siegen (Weissenburg), Siegen	8.04269, 48.9581	arschkitzel	arschkitzel	0	arschkitzl	arschkitzl	0	Arschkitzel	Arschkitzel	0
23	KST D14	III_5_0113	Eberbach-Selz, Eberbach-Selz	8.06718, 48.92481	arschkitzel	aschkitzl	2	arschkitzl	arschkitzl	0	Arschkitzel	Arschkitzel	0
24	KST D9	III_5_0124	Oberlauterbach, Oberlauterbach	8.07041, 48.94851	aͤrschkitzel	arschkitzl	2	arschkitzl	arschkitzl	0	Arschkitzel	Arschkitzel	0
