	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	butte	butte	0	butte	butte	0	Butte	Butte	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	budda	budda	0	butte	butte	0	Butte	Butte	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	bodde	butte	3	botte	butte	1	Butte	Butte	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	butta	butte	1	butte	butte	0	Butte	Butte	0
4	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	butta	butte	1	butte	butte	0	Butte	Butte	0
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	budde	butta	3	butte	butte	0	Butte	Butte	0
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	bo̊ta	buda, butte	3	botte	butte	1	Butte	Butte	0
7	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	butta	butta	0	butte	butte	0	Butte	Butte	0
8	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	buddä	budde	1	butte	butte	0	Butte	Butte	0
9	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	bǔttä	butt, buttä	1	butte	butt, butte	0	Butte	Butte	0
10	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	butta	na	999	butte	na	999	Butte	na	999
11	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	budda	budda	0	butte	butte	0	Butte	Butte	0
12	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	butta	butte	1	butte	butte	0	Butte	Butte	0
13	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	butta	butte	1	butte	butte	0	Butte	Butte	0
14	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	butt	butta	1	butt	butte	1	Butte	Butte	0
15	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	butta	budda	2	butte	butte	0	Butte	Butte	0
16	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	butta	buda	2	butte	butte	0	Butte	Butte	0
17	Co E1	na	Oberburbach (Bourbach-Les-Haut)	7.02973, 47.7953	bötta	na	999	bütte	na	999	Butte	na	999
18	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	buta	buda	1	butte	butte	0	Butte	Butte	0
19	Co x 3	na	Malmerspach	7.03487, 47.86486	butta	na	999	butte	na	999	Butte	na	999
20	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	butta	na	999	butte	na	999	Butte	na	999
