	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co w 5	na	Urbis, St. Amarintal (Urbès)	6.95521, 47.88255	hagebutt	na	999	hagebutt	na	999	Hagebutte	na	999
1	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	hagebutt	na	999	hagebutt	na	999	Hagebutte	na	999
2	Co x 5	na	St. Amarin	7.03186, 47.87365	hā̊gebutte	na	999	hagebutte	na	999	Hagebutte	na	999
3	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	hågäbuttā̄	na	999	hagebutte	na	999	Hagebutte	na	999
4	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	hågabudda	hagabudda	1	hagebutte	hagebutte	0	Hagebutte	Hagebutte	0
5	Co T2	na	Niedertraubach (traubach-Le-Haute)	7.09169, 47.66903	hegbutte	na	999	hegbutte	na	999	Hagebutte	na	999
6	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	hågebuddă	hågabutta	4	hagebutte	hagebutte	0	Hagebutte	Hagebutte	0
7	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	haagebudda	hagabutta	4	hagebutte	hagebutte	0	Hagebutte	Hagebutte	0
8	Co T3	na	Büttweiler (Buethwiller)	7.14982, 47.65627	hågabutta	na	999	hagebutte	na	999	Hagebutte	na	999
9	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	hagebutte	hagabudda	4	hagebutte	hagebutte	0	Hagebutte	Hagebutte	0
10	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	hāgebutte	haupütt	6	hagebutte	haubütte	3	Hagebutte	Hagebutte	0
11	Hag N 10	na	Dürstel (Durstel)	7.19745, 48.89156	hagebutte	na	999	hagebutte	na	999	Hagebutte	na	999
12	Co r 4	na	Winzfelden (Wintzfelden)	7.19806, 47.97442	hā̊gebutta	na	999	hagebutte	na	999	Hagebutte	na	999
13	Co U 12	III_16_0021, III_16_0020	Hirzbach (Hirtzbach), Hirzbach	7.22017, 47.59449	hagebutte	hagebutte	0	hagebutte	hagebutte	0	Hagebutte	Hagebutte	0
14	Co U 5	na	Aspach	7.23354, 47.6401	hāgabūtta	na	999	hagebutte	na	999	Hagebutte	na	999
15	Co k 15	na	Zimmerbach	7.23755, 48.07261	håjebudde	na	999	hajebutte	na	999	Hagebutte	na	999
16	Co F3/1, Co F3/2	na	Wittelsheim	7.24063, 47.81047	hagebutte	na	999	hagebutte	na	999	Hagebutte	na	999
