	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	MH D9	na	Hornbach (Hettingenbeuern)	9.29012, 49.591	häffelder	na	999	hefelder	na	999	Hifelder	na	999
1	MH v2	II_57_0138	Rippberg, Rippberg	9.29762, 49.62253	hiffelder	hiffelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
2	MH v3	II_57_0139	Gerolzahn, Gerolzahn	9.31895, 49.62645	hüffelter	hifelter	2	hifelder	hifelder	0	Hifelder	Hifelder	0
3	MH D6	na	Buchen	9.32603, 49.52041	hiffelder	na	999	hifelder	na	999	Hifelder	na	999
4	MH w1	II_90_0001	Reichenhardsachsen, Reichenhardsachsen	9.34508, 49.64003	hiffelder	hiffelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
5	MH o8/1, MH o8/2	II_89_0005	Ebenheid, Ebenheid	9.36095, 49.7158	hiffelder	hiffelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
6	MH w6	na	Glashofen	9.36648, 49.62382	hivelder	na	999	hifelder	na	999	Hifelder	na	999
7	MH N4/2	na	Zimmern	9.37304, 49.43313	hiffelder	na	999	hifelder	na	999	Hifelder	na	999
8	MH o1	II_89_0016	Rauenberg, Rauenberg	9.38407, 49.74117	hiffelder	hiffelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
9	MH w7	II_90_0003	Wettersdorf, Wettersdorf	9.38743, 49.63075	hivelder	hivelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
10	MH f2	II_88_0005	Boxtal, Boxtal	9.40146, 49.76416	hiffelder	hifelder	1	hifelder	hifelder	0	Hifelder	Hifelder	0
11	MH o2	II_89_0006	Wessental, Wessental	9.41215, 49.73004	hiffelter	hiffelter	0	hifelder	hifelder	0	Hifelder	Hifelder	0
12	MH w4	II_90_0005	Höpfingen, Höpfingen	9.42753, 49.60185	hiffelder	hiffelder	0	hifelder	hifelder	0	Hifelder	Hifelder	0
13	MH w2	II_90_0006	Dornberg, Dornberg	9.42843, 49.62542	hiffelder	hiffelter	1	hifelder	hifelder	0	Hifelder	Hifelder	0
14	MH o3	II_89_0012	Sonderriet, Sonderriet	9.43938, 49.71753	hiffeter	hiffelter	1	hifeder	hifelder	1	Hifelder	Hifelder	0
15	MH E5	II_91_0004	Waldstetten, Waldstetten	9.44893, 49.5647	hiffeldern	hiffelder	1	hifelder	hifelder	0	Hifelder	Hifelder	0
16	MH o7	na	Nassig	9.45146, 49.73582	hifelder	na	999	hifelder	na	999	Hifelder	na	999
17	MH q1	na	Steinbach	9.47108, 49.68011	hiffelder	na	999	hifelder	na	999	Hifelder	na	999
18	MH f3	II_88_0014	Grünenwört, Grünenwört	9.47135, 49.77438	hiffelder	hiffelde	1	hifelder	hifelder	0	Hifelder	Hifelder	0
19	MH w3	II_90_0007	Hardheim, Hardheim	9.47457, 49.60804	hiffelter	hiffelter	0	hifelder	hifelder	0	Hifelder	Hifelder	0
20	MH w5	na	Steinfurt	9.48425, 49.64828	häfelter	na	999	hefelder	na	999	Hifelder	na	999
