	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag N 3	na	Frohmühl (Frohmuhl)	7.28007, 48.90754	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
1	Stra n 6	na	Pfettisheim	7.64331, 48.66042	juckpulvär	na	999	jukpulver	na	999	Juckpulver	na	999
2	Stra R 13	na	Rust	7.72571, 48.26873	juckbulver	na	999	jukpulver	na	999	Juckpulver	na	999
3	Co f 2	III_12_0113	Riegel, Riegel	7.7507, 48.15056	juckbulver	juckbulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
4	Stra C 7	na	Ichenheim	7.81161, 48.43161	jugbulver	na	999	jukpulver	na	999	Juckpulver	na	999
5	Stra C 6	na	Dundenheim	7.81569, 48.44904	jugbulvr	na	999	jukpulver	na	999	Juckpulver	na	999
6	Stra v 3	na	Goldscheuer	7.81911, 48.51308	jugbulver	na	999	jukpulver	na	999	Juckpulver	na	999
7	Stra v 2	na	Marlen	7.8231, 48.52207	juckbulver	na	999	jukpulver	na	999	Juckpulver	na	999
8	Stra D 15	III_10_0119	Hofweier, Hofweier	7.90797, 48.42392	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
9	Stra p 6	na	Holzhausen	7.92018, 48.62595	juggbulwer	na	999	jukpulver	na	999	Juckpulver	na	999
10	Stra Z 2	III_12_0049	Dörlinbach, Dörlinbach	7.95383, 48.24804	juckpulver	juckbulver	1	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
11	Stra w 6	na	Ebersweier	7.98301, 48.50723	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
12	Stra p 7	na	Wagshurst	7.99491, 48.62035	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
13	Stra h 5	na	Scherzheim	7.99655, 48.7137	jugbulvr	na	999	jukpulver	na	999	Juckpulver	na	999
14	TÜB w1/1, TÜB w1/2	III_10_0135	Durbach, Durbach	8.01775, 48.49407	juckbulfer, juckbulver	juckpulver	1	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
15	TÜB h1/2	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
16	TÜB p12	III_10_0068	Nussbach, Nussbach	8.02103, 48.53543	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
17	TÜB p10	III_10_0077	Bottenau/Oberkirch, Bottenau	8.04409, 48.5298	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
18	KST S7	na	Söllingen	8.05486, 48.78147	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
19	TÜB h9	na	Mösbach	8.06514, 48.5964	jůckbůlver	na	999	jukpulver	na	999	Juckpulver	na	999
20	TÜB h3	na	Sasbachried	8.08648, 48.65688	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
21	TÜB a6	na	Oberbruch	8.08775, 48.72893	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
22	TÜB a8	III_8_0106	Vimbuch, Vimbuch	8.11501, 48.71676	juckbulvr	juckbulvr	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
23	KST L5	na	Plittersdorf bei Rastatt	8.15649, 48.88249	juggbulver	na	999	jukpulver	na	999	Juckpulver	na	999
24	TÜB x1	III_10_0082	Lierbach, Lierbach	8.19298, 48.52477	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
25	KST M1	na	Steinmauern	8.19956, 48.90045	juckbulver	na	999	jukpulver	na	999	Juckpulver	na	999
26	KST T9	III_7_0127, III_7_0126	Haueneberstein, Haueneberstein	8.22194, 48.80626	juckpulver	juckbulver	1	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
27	KST M8	III_6_0107	Rauental, Rauental	8.24794, 48.8572	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
28	KST T7	III_7_0132	Ebersteinburg, Ebersteinburg	8.26889, 48.77997	juckpulver	juckpulver	0	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
29	KST y 9, KST y 10	III_21_0001	Neureut, Neureut	8.37902, 49.05267	juckbulver	juckpulver	1	jukpulver	jukpulver	0	Juckpulver	Juckpulver	0
30	KST N12	na	Moosbronn	8.38849, 48.83638	juggebulver	na	999	jukpulver	na	999	Juckpulver	na	999
31	KST N5	na	Schöllbronn bei Ettlingen	8.42179, 48.89892	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
32	KST y 2	na	Büchig	8.46824, 49.04811	juckpulver	na	999	jukpulver	na	999	Juckpulver	na	999
