	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	TÜB c1	na	Obertsrot und Hilpertsau	8.34633, 48.74303	amm	na	999	amm	na	999	Amme	na	999
1	Ma f1/2	na	Mannheim-Sandhofen	8.44789, 49.5433	oͣm	na	999	amm	na	999	Amme	na	999
2	Ma h1/2	II_59_0048, II_59_0061, II_59_0059, II_59_0040	Mannheim, Mannheim	8.46678, 49.4865	amm	amme, åmm, omm, amm	0	amm	amme, amm	0	Amme	Amme	0
3	KST c2	na	Oberhausen	8.48324, 49.26035	amme	na	999	amme	na	999	Amme	na	999
4	Ma h2/3, Ma h2/2	II_59_0064	Neckarau, Mannheim	8.49104, 49.45335	amm	amm	0	amm	amm	0	Amme	Amme	0
5	MH z4/2	II_58_0065, II_58_0066	Mannheim-Käfertal, Käferthal	8.51715, 49.51259	amm	amme, amm	0	amm	amme, amm	0	Amme	Amme	0
6	KST d8	na	Waghäusel	8.51733, 49.25118	amme	na	999	amme	na	999	Amme	na	999
7	MH H10/1	na	Rheinau	8.53056, 49.42924	amm	na	999	amm	na	999	Amme	na	999
8	MH H2	na	Feudenheim	8.53299, 49.4864	amm	na	999	amm	na	999	Amme	na	999
9	MH H1	na	Wennheim-Wallstadt	8.5484, 49.4957	amm	na	999	amm	na	999	Amme	na	999
10	MH H6	na	Seckenheim	8.56313, 49.46724	amm	na	999	amm	na	999	Amme	na	999
11	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	amm	amme	1	amm	amme	1	Amme	Amme	0
12	MH Q2	II_60_0035, II_60_0034	Schwetzingen, Schwetzingen	8.57064, 49.38567	åmm	amm	1	amm	amm	0	Amme	Amme	0
13	MH H7	na	Mannheim-Friedrichsfeld	8.57534, 49.44026	åmm	na	999	amm	na	999	Amme	na	999
14	MH Q6	na	Oftersheim	8.58107, 49.36823	amm	na	999	amm	na	999	Amme	na	999
15	MH z3	na	Heddesheim	8.60327, 49.50529	amm	na	999	amm	na	999	Amme	na	999
16	KST d5	na	Walldorf	8.64294, 49.3028	amm	na	999	amm	na	999	Amme	na	999
17	MH R1/2	na	Heidelberg-Pfaffengrund	8.64698, 49.40282	amm	na	999	amm	na	999	Amme	na	999
18	MH Q5	II_60_0038	Sandhausen, Sandhausen	8.65837, 49.34236	amm	amm	0	amm	amm	0	Amme	Amme	0
19	MH z2	na	Großsachsen	8.6595, 49.51193	amm	na	999	amm	na	999	Amme	na	999
