	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	héwåmm	hewåmm	1	hewamm	hewamm	0	Hebamme	Hebamme	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	hewamm	hewann	2	hewamm	hewann	2	Hebamme	Hebamme	0
2	Co D2	na	Oberbruck	6.94324, 47.80838	häwåmm	na	999	hewamm	na	999	Hebamme	na	999
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	hewamm	hebamme	2	hewamm	hebamme	2	Hebamme	Hebamme	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	hebåmme	hebamm	2	hebamme	hebamm	1	Hebamme	Hebamme	0
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	hewamm	hewamm, hebamme	0	hewamm	hewamm, hebamme	0	Hebamme	Hebamme	0
7	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	hewāmma	hewamma	1	hewamme	hewamme	0	Hebamme	Hebamme	0
8	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	hewamm	hebamm	1	hewamm	hebamm	1	Hebamme	Hebamme	0
9	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	hēwam	na	999	hewamm	na	999	Hebamme	na	999
10	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	hewång	hebamme	5	hewang	hebamme	4	Hebamme	Hebamme	0
