	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	KST G2	na	Kleinsteinbach	8.55383, 48.96613	ebbiere	na	999	erbire	na	999	Erdbirne	na	999
1	MH R4	na	Leimen	8.68891, 49.34902	ebire	na	999	erbire	na	999	Erdbirne	na	999
2	KST t5	III_20_0030	Oberacker, Oberacker	8.71399, 49.1087	äbire	äbiere	1	erbire	erbire	0	Erdbirne	Erdbirne	0
3	KST t6	III_20_0032	Gochsheim, Gochsheim	8.74551, 49.10407	erbiere	erbiere	0	erbire	erbire	0	Erdbirne	Erdbirne	0
4	KST t10	III_20_0031	Menzingen, Menzingen	8.77067, 49.13931	erbīre	ärbierä	4	erbire	erbire	0	Erdbirne	Erdbirne	0
5	KST m5	III_19_0030, III_19_0031	Michelfeld, Michelfeld	8.7808, 49.22723	erbīere	erbire, erbiere	1	erbire	erbire	0	Erdbirne	Erdbirne	0
6	KST t9	III_20_0034	Bahnbrücken, Bahnbrücken	8.78671, 49.11865	ärbiere	äbiere	1	erbire	erbire	0	Erdbirne	Erdbirne	0
7	KST t11	III_20_0033	Landshausen, Landshausen	8.80627, 49.14899	erbiere	erbier	1	erbire	erbire	0	Erdbirne	Erdbirne	0
8	KST t8	III_20_0040	Zaisenhausen, Zaisenhausen	8.81712, 49.10745	äbiera	äbira	1	erbire	erbire	0	Erdbirne	Erdbirne	0
9	KST e6	na	Zuzenhausen	8.82176, 49.29778	erbirre	na	999	erbire	na	999	Erdbirne	na	999
10	KST n1	III_19_0034	Dühren, Dühren	8.83562, 49.24557	erbira	erbiere	2	erbire	erbire	0	Erdbirne	Erdbirne	0
11	KST n11	III_19_0042, III_19_0041, III_19_0043	Elsenz, Elsenz	8.83766, 49.17408	erbiere	erbiere	0	erbire	erbire	0	Erdbirne	Erdbirne	0
12	KST B1	III_21_0033	Kürnbach, Kürnbach	8.84279, 49.07732	arbierä	erbiere	2	arbire	erbire	1	Erdbirne	Erdbirne	0
13	KST u4	III_20_0041	Rohrbach (am Giesshübel), Rohrbach	8.85649, 49.14055	erbire	erbiere	1	erbire	erbire	0	Erdbirne	Erdbirne	0
14	KST u5	III_20_0043, III_20_0042, III_20_0163, III_20_0045, III_20_0044	Sulzfeld, Sulzfeld	8.85671, 49.10336	erbira	erbira, erbiera, erbiere	0	erbire	erbire	0	Erdbirne	Erdbirne	0
15	KST n13	III_19_0037	Weiler, Weiler	8.87587, 49.20862	erbire	erdbire	1	erbire	erdbire	1	Erdbirne	Erdbirne	0
16	KST n10	III_20_0046	Adelshofen, Adelshofen	8.89073, 49.16806	äbbiere	erbiere	2	erbire	erbire	0	Erdbirne	Erdbirne	0
17	KST u6	III_20_0052	Mühlbach, Mühlbach	8.90301, 49.09703	ärbirre	ärbiere	1	erbire	erbire	0	Erdbirne	Erdbirne	0
18	KST u3	III_20_0047, III_20_0048, III_20_0050, III_20_0049, III_20_0051	Eppingen, Eppingen	8.9098, 49.13704	erbiere	ärbira, ärbiere, ärbiera, erbiere	0	erbire	erbire	0	Erdbirne	Erdbirne	0
19	KST f3	na	Waibstadt	8.9198, 49.29982	erbire	na	999	erbire	na	999	Erdbirne	na	999
20	KST n9	III_19_0046	Ittlingen, Ittlingen	8.93691, 49.19224	erbiere	erdbire	2	erbire	erdbire	1	Erdbirne	Erdbirne	0
21	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	erbīre	ärbierä	4	erbire	erbire	0	Erdbirne	Erdbirne	0
22	KST f7	na	Adersbach	8.95454, 49.2632	erbire	na	999	erbire	na	999	Erdbirne	na	999
23	KST u2	na	Stebbach	8.96448, 49.14676	äbirä	na	999	erbire	na	999	Erdbirne	na	999
24	KST n7	III_19_0048	Berwangen, Berwangen	8.98098, 49.18431	äbire	erdbiere	4	erbire	erdbire	1	Erdbirne	Erdbirne	0
25	KST n4	na	Ehrstädt	8.98266, 49.24404	erbira	na	999	erbire	na	999	Erdbirne	na	999
26	KST u1	III_20_0056, III_20_0053, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	äbiere	erbire	3	erbire	erbire	0	Erdbirne	Erdbirne	0
27	KST n6	III_19_0049	Kirchardt, Kirchardt	8.9918, 49.20667	erbire	erbire	0	erbire	erbire	0	Erdbirne	Erdbirne	0
28	TÜB g1	III_25_0044	Sindelfingen, Sindelfingen	9.00194, 48.70797	a͜ebirâ	erdbirn	4	erbire	erdbirne	2	Erdbirne	Erdbirne	0
29	KST g6	na	Obergimpern	9.04013, 49.25574	ärdbi̊ere	na	999	erdbire	na	999	Erdbirne	na	999
30	KST g3	III_18_0062	Hüffenhardt, Hüffenhardt	9.08386, 49.2913	erdbieren	erbieren	1	erdbire	erbire	1	Erdbirne	Erdbirne	0
31	KST o3	III_19_0057, III_19_0058	Bad Rappenau, Bad Rappenau	9.10212, 49.24032	erbiire	erbiire, erbiere	0	erbire	erbire	0	Erdbirne	Erdbirne	0
32	KST v1	III_20_0066	Schluchtern, Schluchtern	9.1026, 49.14843	erbiere	erdbirne	3	erbire	erdbirne	2	Erdbirne	Erdbirne	0
