	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	ardäpfel	ardäpfel, hardäpfel	0	ardäpfel	ardäpfel, hardäpfel	0	Erdäpfel	Erdäpfel	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	hārdäpfel	hardäpfel	1	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	hardäpfel	herdäpfel	1	hardäpfel	herdäpfel	1	Erdäpfel	Erdäpfel	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	ardäpfel	erdäpfel	1	ardäpfel	erdäpfel	1	Erdäpfel	Erdäpfel	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	hardäpfel	hardäpfel	0	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	herdäpfel	hardäpfel	1	herdäpfel	hardäpfel	1	Erdäpfel	Erdäpfel	0
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	hārdepfl	hardäpfel	3	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	hardäpfel	hardäpfel	0	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	hardäpfel	hardäpfel	0	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	härdepfel	härdepfel	0	herdäpfel	herdäpfel	0	Erdäpfel	Erdäpfel	0
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	härdepfel	hardepfel	1	herdäpfel	hardäpfel	1	Erdäpfel	Erdäpfel	0
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	hardäpfel	na	999	hardäpfel	na	999	Erdäpfel	na	999
12	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	hardepfel	hardepfel	0	hardäpfel	hardäpfel	0	Erdäpfel	Erdäpfel	0
