	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	grumbēre	grumbiere	2	grumbere	grumbire	1	Grundbirne	Grundbirne	0
1	Hag D 1	na	Hinsingen	6.99156, 48.9525	krumbier	na	999	grumbire	na	999	Grundbirne	na	999
2	Hag E 10	na	Bissert	7.02465, 48.94167	krumber	na	999	grumbere	na	999	Grundbirne	na	999
3	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	grundbirne	grumbera	5	grundbirne	grumbere	4	Grundbirne	Grundbirne	0
4	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	grummber	grumbeer	2	grumbere	grumbere	0	Grundbirne	Grundbirne	0
5	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	grumbire	grumbier	2	grumbire	grumbire	0	Grundbirne	Grundbirne	0
6	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	grumbeere	grumbeer	1	grumbere	grumbere	0	Grundbirne	Grundbirne	0
7	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	grumbeer	grundbirne, grumbeere	1	grumbere	grumbere, grundbirne	0	Grundbirne	Grundbirne	0
8	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	grumbier	grumbirr	1	grumbire	grumbire	0	Grundbirne	Grundbirne	0
9	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	grumbier	krummbire	4	grumbire	grumbire	0	Grundbirne	Grundbirne	0
10	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	krummbeer, grumbeer	grumbeer	0	grumbere	grumbere	0	Grundbirne	Grundbirne	0
11	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	grůmbeer	grummberre	4	grumbere	grumbere	0	Grundbirne	Grundbirne	0
12	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	grumbier	grumbiere	1	grumbire	grumbire	0	Grundbirne	Grundbirne	0
13	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	grumbeere	grumbier	2	grumbere	grumbire	1	Grundbirne	Grundbirne	0
14	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	grumbēre	grumbär	2	grumbere	grumbere	0	Grundbirne	Grundbirne	0
15	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	krummbir	krumbier	2	grumbire	grumbire	0	Grundbirne	Grundbirne	0
16	Hag E 6/2, Hag E 6/1	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	grůmbiͤr, grumbeer	grumbier, grumbeer	0	grumbere, grumbire	grumbere, grumbire	0	Grundbirne	Grundbirne	0
17	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	grumbiere	grumbeern	2	grumbire	grumberne	2	Grundbirne	Grundbirne	0
18	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	grummbeere	grumbeere	1	grumbere	grumbere	0	Grundbirne	Grundbirne	0
19	Hag M 3	III_6_0004	Burbach, Burbach	7.11226, 48.90144	grumbeer	grummbeer	1	grumbere	grumbere	0	Grundbirne	Grundbirne	0
20	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	grumbeere	grumbeere	0	grumbere	grumbere	0	Grundbirne	Grundbirne	0
21	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	grumbiere	grummbiere	1	grumbire	grumbire	0	Grundbirne	Grundbirne	0
22	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	krummbier	grumber	3	grumbire	grumbere	1	Grundbirne	Grundbirne	0
23	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	grumbeͥr	grumbeeͥr	1	grumbere	grumbere	0	Grundbirne	Grundbirne	0
24	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	grummbeer	grumbeere	2	grumbere	grumbere	0	Grundbirne	Grundbirne	0
25	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen), Völlerdingen	7.14098, 48.9622	grůmbeer	grumberre	3	grumbere	grumbere	0	Grundbirne	Grundbirne	0
