	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	KST L2	III_6_0087	Niederrödern/Elsass, Niederrödern	8.04105, 48.90576	kartoffel	kartoffel	0	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
1	KST T14/2, KST T14/3, KST T14/4	na	Baden-Baden, Baden-Baden-West	8.24094, 48.76273	kardoffl, kadoffl	na	999	kadoffel	na	999	Kartoffel	na	999
2	KST M7	na	Bischweier	8.28478, 48.83768	kartoffle	na	999	kadoffle	na	999	Kartoffel	na	999
3	KST T3	na	(Bad) Rotenfels (Ortsteil von Gaggenau)	8.30895, 48.81087	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
4	KST y 7	na	Karlsruhe-Grünwinkel	8.35529, 49.0032	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
5	KST F13	na	Bruchhausen bei Ettlingen	8.371, 48.92716	kartoffel	na	999	kadoffel	na	999	Kartoffel	na	999
6	KST N13	na	Völkersbach	8.39644, 48.8701	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
7	KST y 6	na	Karlsruhe	8.40919, 49.01038	kardoffel	na	999	kadoffel	na	999	Kartoffel	na	999
8	Ma f1/1, Ma f1/2	na	Mannheim-Sandhofen	8.44789, 49.5433	kartooffle, kadoffl	na	999	kadoffel, kadoffle	na	999	Kartoffel	na	999
9	Ma h1/1	na	Siedlung Schönau (Mannheim)	8.47602, 49.54338	kardoffle	na	999	kadoffle	na	999	Kartoffel	na	999
10	Ma f2	na	Mannheim-Waldhof (Luzenberg)	8.47981, 49.52527	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
11	Ma h2/3, Ma h2/2, Ma h2/1	II_59_0064	Neckarau, Mannheim-Neckarau, Mannheim	8.49104, 49.45335	kadoffel, kadoffl, kardoffel, kartoffel	katoffle	2	kadoffel	kadoffle	2	Kartoffel	Kartoffel	0
12	KST d2	na	Altlußheim	8.49951, 49.30106	kartoffel	na	999	kadoffel	na	999	Kartoffel	na	999
13	MH za1	na	Mannheim-Gartenstadt	8.50016, 49.5305	kartoffl	na	999	kadoffel	na	999	Kartoffel	na	999
14	MH z4/1, MH z4/2	II_58_0065, II_58_0066	Mannheim-Käfertal, Käferthal	8.51715, 49.51259	kadoffel	kartoffelä, kartoffel	2	kadoffel	kadoffel, kadoffle	0	Kartoffel	Kartoffel	0
15	KST d3	na	Neulußheim	8.522, 49.29291	kartoffl	na	999	kadoffel	na	999	Kartoffel	na	999
16	MH Q7	II_60_0033	Ketsch, Ketsch	8.52432, 49.3678	kadoffl	kartoffel	3	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
17	MH H10/2	na	Mannheim-Rheinau	8.53056, 49.4292	gadoffä	na	999	kadoffe	na	999	Kartoffel	na	999
18	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	kardoffl	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
19	MH Q1	II_60_0032	Brühl, Brühl	8.53485, 49.3951	kartoffel	kadoffl	3	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
20	KST d1	III_18_0015	Hockenheim, Hockenheim	8.54755, 49.31857	kadoffl	katoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
21	MH H1	na	Wennheim-Wallstadt	8.5484, 49.4957	kadoffl	na	999	kadoffel	na	999	Kartoffel	na	999
22	MH H6	II_59_0068	Seckenheim, Seckenheim	8.56313, 49.46724	katoffl	kadoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
23	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	kadoffel	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
24	KST G3	na	Singen bei Pforzheim	8.56804, 48.95764	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
25	KST d4	III_18_0018	Reilingen, Reilingen	8.56943, 49.29368	kårtoffl	kartoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
26	MH Q2	II_60_0035, II_60_0034	Schwetzingen, Schwetzingen	8.57064, 49.38567	kardoffl	kadoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
27	MH H7	na	Mannheim-Friedrichsfeld	8.57534, 49.44026	kartoffel	na	999	kadoffel	na	999	Kartoffel	na	999
28	MH Q6	II_60_0092	Oftersheim, Oftersheim	8.58107, 49.36823	kartoffel	kardoffl	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
29	MH Q3	II_60_0036	Plankstadt, Plankstadt	8.59271, 49.39179	katoffel	kartoffel	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
30	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	kadoffl	kartoffel	3	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
31	MH z3	II_58_0067	Heddesheim, Heddesheim	8.60327, 49.50529	kadofl	kartoffel	4	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
32	MH H4	II_59_0070	Ladenburg, Ladenburg	8.61098, 49.47244	kardoffl	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
33	MH H8	II_59_0073	Edingen, Edingen	8.61196, 49.44847	katoffeln	kartoffeln	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
34	MH Q4	II_60_0037	Eppelheim, Eppelheim	8.62885, 49.40164	kardoffel	kadofl	3	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
35	KST d5	III_18_0020	Walldorf, Walldorf	8.64294, 49.3028	kadoffel	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
36	MH R1/2	na	Heidelberg-Pfaffengrund	8.64698, 49.40282	kartoffle	na	999	kadoffle	na	999	Kartoffel	na	999
37	MH r2	na	Hemsbach	8.64707, 49.59198	kadoffl	na	999	kadoffel	na	999	Kartoffel	na	999
38	MH H9	na	Heidelberg-Wieblingen	8.64805, 49.42539	kadoffl	na	999	kadoffel	na	999	Kartoffel	na	999
39	MH r1	II_57_0082, II_57_0081	Laudenbach, Laudenbach	8.65434, 49.6119	kardoffl	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
40	MH H11	II_58_0068	Leutershausen, Leutershausen	8.65616, 49.49821	kadoffl	kartoffl	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
41	MH Q5	II_60_0038	Sandhausen, Sandhausen	8.65837, 49.34236	kartoffel	kartoffel	0	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
42	MH z1	II_58_0072	Sulzbach, Sulzbach	8.661, 49.57763	kardoffl	kartoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
43	MH J1	II_59_0071	Schrießheim, Schriesheim	8.66514, 49.47649	kardoffl	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
44	MH A2	II_58_0071	Lützelsachsen, Lützelsachsen	8.66627, 49.52737	kadoffel	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
45	MH R2	na	Heidelberg-Kirchheim	8.66773, 49.37837	katoffel	na	999	kadoffel	na	999	Kartoffel	na	999
46	KST P2	na	Brötzingen	8.66799, 48.889	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
47	MH J2	II_59_0076	Dossenheim, Dossenheim	8.66806, 49.44988	kadoffl	katoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
48	MH A3	II_58_0070	Hohensachsen, Hohensachsen	8.66935, 49.51919	kadoffl	kadoffl	0	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
49	MH A1	II_58_0073	Weinheim, Weinheim	8.67068, 49.55495	kadoffel	kartoffel	2	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
50	MH J3/2, MH J3/1	II_59_0077	Handschuhsheim, Heidelberg-Handschuhsheim, Heidelberg-Handschuhsheim	8.68613, 49.42774	kardoffl, kartoffel	katoffl, kartoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
51	MH R5, MH R4	II_60_0042	Leimen, Leimen	8.68891, 49.34902	kardoffl, kadoffl	kardoffl	0	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
52	KST e1	III_18_0022	Nussloch, Nussloch	8.69576, 49.32301	katoffl, kartoffl	katoffl, kartoffl	0	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
53	KST P3/3, KST P3/4	III_23_0045, III_23_0040, III_23_0052, III_23_0049	Pforzheim, Pforzheim	8.70025, 48.89013	kardoffl	kartoffli, kartoffel, kartoffl	1	kadoffel	kadoffel, kadoffli	0	Kartoffel	Kartoffel	0
54	KST e2/2, KST e2/1	III_18_0036	Wiesloch, Wiesloch	8.70178, 49.29504	kartoffel	kartoffl	1	kadoffel	kadoffel	0	Kartoffel	Kartoffel	0
55	MH R1/1	na	Heidelberg	8.70819, 49.41349	kadoffel	na	999	kadoffel	na	999	Kartoffel	na	999
56	MH A4	na	Rippenweier	8.70861, 49.50646	kadoffl	na	999	kadoffel	na	999	Kartoffel	na	999
57	KST A2	na	Büchig (bei Bretten)	8.70984, 49.0742	katoffl	na	999	kadoffel	na	999	Kartoffel	na	999
58	KST m11	na	Östringen	8.7137, 49.22037	kardoffl	na	999	kadoffel	na	999	Kartoffel	na	999
59	MH J8	na	Ursenbach	8.72439, 49.49399	kardoffel	na	999	kadoffel	na	999	Kartoffel	na	999
