	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D3	na	Rimbach-Pès-Masevaux)	6.9473, 47.82212	mülwarfer	na	999	mülwarfer	na	999	Maulwerfer	na	999
1	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	müllwärfer	mülwerfer	2	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
2	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	mullwerfer	mullwerfer	0	mulwerfer	mulwerfer	0	Maulwerfer	Maulwerfer	0
3	Hag E 6/1	na	Saarbuckenheim (Sarre-Union)	7.08686, 48.93919	müllwärfer	na	999	mülwerfer	na	999	Maulwerfer	na	999
4	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	müllwerfer	mülwerfer	1	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
5	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	mülwerfer	mülwerfer	0	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
6	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	mülwerfer	mǖlwerfer	1	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
7	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	müllwerfer	müllwärfer	1	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
8	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452, 48.90983	müllwärfer	na	999	mülwerfer	na	999	Maulwerfer	na	999
9	Hag M 9	na	Weyer	7.15976, 48.85488	mülwärfer	na	999	mülwerfer	na	999	Maulwerfer	na	999
10	Hag N 11	III_6_0025	Bettweiler (Bettwiller), Bettweiler	7.17993, 48.88617	müllwärfer	müllwärfer	0	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
11	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	müllwerfer	müllwerfer	0	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
12	Hag N 10	III_6_0024	Dürstel (Durstel), Durstel	7.19745, 48.89156	mülwerfer	mülwerfer	0	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
13	Co r 4	na	Winzfelden (Wintzfelden)	7.19806, 47.97442	mülwarfer	na	999	mülwarfer	na	999	Maulwerfer	na	999
14	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	mǖlwerfr	mülwerfer	2	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
15	Hag N 16	III_6_0028	Sieweiler (Siewiller), Sieweiler	7.20676, 48.84318	mülwerfer	müllwerfer	1	mülwerfer	mülwerfer	0	Maulwerfer	Maulwerfer	0
