	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag D 1	na	Hinsingen	6.99156, 48.9525	mülwolf	na	999	mülwolf	na	999	Maulwurf	na	999
1	Hag E 10	na	Bissert	7.02465, 48.94167	mürwolf	na	999	mürwolf	na	999	Maulwurf	na	999
2	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	murwolf	murwolf	0	murwolf	murwolf	0	Maulwurf	Maulwurf	0
3	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	murwolf	murwolf	0	murwolf	murwolf	0	Maulwurf	Maulwurf	0
4	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	mulwurf	murwolf	3	mulwurf	murwolf	3	Maulwurf	Maulwurf	0
5	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	mürwölf	mülwurf	3	mürwölf	mülwurf	3	Maulwurf	Maulwurf	0
6	Hag F 1	III_5_0037	Dehlingen, Dehlingen	7.19095, 48.98016	mürwolf	mürwolf	0	mürwolf	mürwolf	0	Maulwurf	Maulwurf	0
7	Co y 4	III_14_0019	Wünheim, Wünheim	7.20969, 47.87406	mülwurf	mülwurf	0	mülwurf	mülwurf	0	Maulwurf	Maulwurf	0
8	Hag F 2	III_5_0042	Bütten (Butten), Bütten	7.2205, 48.97095	mürwolf	mürwolf	0	mürwolf	mürwolf	0	Maulwurf	Maulwurf	0
9	Stra G 3	III_11_0009, III_11_0010	Meisengott (Maisonsgoutte), Meisengott	7.26349, 48.3533	mürwolf	mürwolf	0	mürwolf	mürwolf	0	Maulwurf	Maulwurf	0
10	Stra G 2	III_11_0004, III_11_0003	Breitenbach, Breitenbach	7.2921, 48.36514	mürwolf	murwolf	1	mürwolf	murwolf	1	Maulwurf	Maulwurf	0
11	Stra G 6	III_11_0005	Weiler (Villé), Weiler, ortsteil Erlenbach	7.30273, 48.34253	müllwolf	mürwolf	2	mülwolf	mürwolf	1	Maulwurf	Maulwurf	0
12	Stra G 5	na	Erlenbach (Albé)	7.31832, 48.35651	mǖrwulf	na	999	mürwulf	na	999	Maulwurf	na	999
13	Stra G 8	III_11_0006	Triembach (Triembach-Au-Val), Triembach	7.32386, 48.33763	mürwalf	mürwolf	1	mürwolf	mürwolf	0	Maulwurf	Maulwurf	0
14	Co F7/2	III_14_0109, III_14_0108, III_14_0112, III_14_0116	Mülhausen, Mülhausen	7.34375, 47.7517	mülwurf	mulwurf, mülwurf	0	mülwurf	mulwurf, mülwurf	0	Maulwurf	Maulwurf	0
15	Co l 1/1, Co l 1/3, Co l 1/2	III_13_0030	Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar	7.36359, 48.08198	mülworf, mülwurf	mulwurf	1	mülworf, mülwurf	mulwurf	1	Maulwurf	Maulwurf	0
16	Stra e 3	na	Ottersweiler (Otterswiller)	7.37883, 48.7258	müllwurf	na	999	mülwürf	na	999	Maulwurf	na	999
17	Stra u 18	na	Wolxheim	7.51077, 48.56903	mülwurf	na	999	mülwurf	na	999	Maulwurf	na	999
18	Co P8	III_15_0045	Bamlach, Bamlach	7.54942, 47.71753	mulwurf	mŭlwŭrf	2	mulwurf	mulwurf	0	Maulwurf	Maulwurf	0
19	Co A10	na	Zienken (Müllheim)	7.57779, 47.84303	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
20	Co W 17	III_16_0066	Hüningen (Huningue), Hüningen	7.58374, 47.5912	mülwurf	mülwurf	0	mülwurf	mülwurf	0	Maulwurf	Maulwurf	0
21	Hag P 14	III_6_0066	Pfaffenhofen, Pfaffenhofen	7.60881, 48.84422	mǖlwurf	mülwurf	1	mülwurf	mülwurf	0	Maulwurf	Maulwurf	0
22	Co e 14	na	Jechtingen am Kaierstuhl	7.60965, 48.11815	mülwurf	na	999	mülwurf	na	999	Maulwurf	na	999
23	Co H3	na	Hügelheim	7.6208, 47.82868	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
24	Co A8	na	Bremgarten (Hartheim)	7.62385, 47.91694	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
25	Co m 4	na	Achkarren	7.62448, 48.06769	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
26	Stra J 8	na	Herbsheim	7.6323, 48.3467	mülwarf	na	999	mülwarf	na	999	Maulwurf	na	999
27	Co e 3	na	Leiselheim	7.6357, 48.12586	mülwurf	na	999	mülwurf	na	999	Maulwurf	na	999
28	Co H6	na	Niederweiler	7.64763, 47.80664	mūlwurf	na	999	mulwurf	na	999	Maulwurf	na	999
29	Co W 21	III_16_0078	Tumringen, Tumringen	7.65564, 47.62739	mulwurf	mulwurf	0	mulwurf	mulwurf	0	Maulwurf	Maulwurf	0
30	Co J2	III_14_0145	Badenweiler, Badenweiler	7.67934, 47.80555	mulwurf	mulwurf	0	mulwurf	mulwurf	0	Maulwurf	Maulwurf	0
31	Co f 6	III_12_0124	Schelingen am Kaiserstuhl, Schelingen	7.68308, 48.10435	mülwurf	muhlwurf	2	mülwurf	mulwurf	1	Maulwurf	Maulwurf	0
32	Hag B 1	na	Wengelsbach	7.71622, 49.05104	maulwurf	na	999	maulwurf	na	999	Maulwurf	na	999
33	Co B9	na	Staufen (bei Freiburg)	7.72962, 47.88166	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
34	Co X 7	na	Steinen	7.73911, 47.64447	mūlwurf	na	999	mulwurf	na	999	Maulwurf	na	999
35	Co f 2	na	Riegel	7.7507, 48.15056	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
36	Co X 10	na	Maulburg	7.77782, 47.64075	muulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
37	Co u 19/1	na	Bollschweil	7.77924, 47.91994	müllwurf	na	999	mülwurf	na	999	Maulwurf	na	999
38	Stra Y 4	na	Ringsheim	7.78041, 48.24632	mǖlwurf	na	999	mülwurf	na	999	Maulwurf	na	999
39	Co Xa 3	na	Rheinfelden-Stadt (Baden)	7.78875, 47.55945	maulwurf	na	999	maulwurf	na	999	Maulwurf	na	999
40	Co X 14	III_16_0103, III_16_0104	Minseln, Minseln	7.79067, 47.60301	mulwurf	mulwurf	0	mulwurf	mulwurf	0	Maulwurf	Maulwurf	0
41	Co f 11	III_12_0116	Teningen, Teningen	7.80344, 48.12897	mülwurf	mülwurf	0	mülwurf	mülwurf	0	Maulwurf	Maulwurf	0
42	Stra R 5	na	Kippenheim	7.82466, 48.29439	mülwurf	na	999	mülwurf	na	999	Maulwurf	na	999
43	Co u 11	na	Merzhausen	7.82532, 47.96635	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
44	Stra Y 10	na	Bleichheim	7.8306, 48.20842	mühlwurf	na	999	mülwurf	na	999	Maulwurf	na	999
45	Stra w 1	na	Neumühl	7.84392, 48.57012	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
46	Co v 9	na	Horben	7.85911, 47.93223	muulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
47	Hag R 4	III_6_0080	Schwabweiler, Schwabweiler	7.87665, 48.90207	mülwalf	mülwalf	0	mülwolf	mülwalf	1	Maulwurf	Maulwurf	0
48	Hag C 7	III_4_0090	Kleeburg (Cleebourg), Kleeburg	7.89318, 49.00093	maulwurf	maulwurf	0	maulwurf	maulwurf	0	Maulwurf	Maulwurf	0
49	Co K8	na	Schönau	7.89443, 47.78637	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
50	Stra L 6	na	Oberweier	7.89815, 48.37746	mulwurf	na	999	mulwurf	na	999	Maulwurf	na	999
51	Co v 1	na	Littenweiler	7.90338, 47.97778	muhlwurf	na	999	mulwurf	na	999	Maulwurf	na	999
52	Hag K 13	na	Schönenburg (Schoenenbourg)	7.91332, 48.95207	maulwurf	na	999	maulwurf	na	999	Maulwurf	na	999
53	Co Ya 1	III_17_0047	Wallbach, Wallbach	7.91336, 47.56871	mulwurf	mulwurf	0	mulwurf	mulwurf	0	Maulwurf	Maulwurf	0
