	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	scharer	scharer	0	scharer	scharer	0	Schär	Schär	0
1	Co T1	na	Brückensweiler (Bréchaumont)	7.0684, 47.66973	schar	na	999	schar	na	999	Schär	na	999
2	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	schärer	scharer	1	schärer	scharer	1	Schär	Schär	0
3	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	schārer	scharer	1	scharer	scharer	0	Schär	Schär	0
4	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	scharer	scharer	0	scharer	scharer	0	Schär	Schär	0
5	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	schaar	schaar	0	schar	schar	0	Schär	Schär	0
6	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	schārer	scherer, scharer	1	scharer	scharer	0	Schär	Schär	0
7	Co i 9	III_13_0004, III_13_0003	Stossweier, Stossweier	7.10163, 48.05432	schaarer	scharer, schaara	1	scharer	scharer	0	Schär	Schär	0
8	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	schārer	scharer	1	scharer	scharer	0	Schär	Schär	0
9	Co T11	III_16_0019	Mansbach (Manspach), Mansbach	7.10508, 47.6176	schar	schar	0	schar	schar	0	Schär	Schär	0
10	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	schar	schar	0	schar	schar	0	Schär	Schär	0
11	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	scharer	scharer	0	scharer	scharer	0	Schär	Schär	0
12	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	scharer	scharer	0	scharer	scharer	0	Schär	Schär	0
13	Co i 1/2, Co i 1/1	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	scharer, schār	scharer	0	schar, scharer	scharer	0	Schär	Schär	0
14	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	schaar	schaar	0	schar	schar	0	Schär	Schär	0
15	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	scharrer	schàrrer	1	scharer	scharer	0	Schär	Schär	0
16	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	schaar	chahr	2	schar	char	1	Schär	Schär	0
17	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	scharer	scharer	0	scharer	scharer	0	Schär	Schär	0
