	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	schōrmüß	scharrmüß	2	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	schōrmüss	schormüss	1	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	schormǖs	scharmaus	3	scharmüs	scharmaus	2	Schärmaus	Schärmaus	0
3	Co w 5	III_14_0001	Urbis, St, Amarintal (Urbès), Urbis	6.95521, 47.88255	scharrmus	scharmüss	3	scharmus	scharmüs	1	Schärmaus	Schärmaus	0
4	Co D4	na	Kirchberg-Wegscheid	6.95965, 47.79904	scharmus	na	999	scharmus	na	999	Schärmaus	na	999
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	scharmüs	scharmüs	0	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	scharmus	scharmüs	1	scharmus	scharmüs	1	Schärmaus	Schärmaus	0
7	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	scharrmüs	scharmüs	1	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
8	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	schärrmuss	schermus	3	schärmus	schermus	1	Schärmaus	Schärmaus	0
9	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	schärmuus	scharrmus	3	schärmus	scharmus	1	Schärmaus	Schärmaus	0
10	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	scharmüs	na	999	scharmüs	na	999	Schärmaus	na	999
11	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	scharmus, scharmüs	scharmüs	0	scharmus, scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
12	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	scharmus	schermaus	2	scharmus	schermaus	2	Schärmaus	Schärmaus	0
13	Co D7	na	Masmünster (Masevaux)	6.99386, 47.7727	scharmüß	na	999	scharmüs	na	999	Schärmaus	na	999
14	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	scharrmūs	scharrmus	1	scharmus	scharmus	0	Schärmaus	Schärmaus	0
15	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	scharmus	scharmuss	1	scharmus	scharmus	0	Schärmaus	Schärmaus	0
16	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	scharmüs	scharmüs	0	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
17	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	schaarmüs	na	999	scharmüs	na	999	Schärmaus	na	999
18	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	scharmüs	scharmüs	0	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
19	Co x 5	III_14_0009	St, Amarin, St, Amarin	7.03186, 47.87365	scharmüs	scharmüs	0	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
20	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	scharmuß	scharmüs	2	scharmus	scharmüs	1	Schärmaus	Schärmaus	0
21	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	scharmüs	na	999	scharmüs	na	999	Schärmaus	na	999
22	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	scharrmüs	scha̠rrmüß	2	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
23	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	scharmüs	na	999	scharmüs	na	999	Schärmaus	na	999
24	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	schārmǖs	schǟrmuus	3	scharmüs	schärmus	2	Schärmaus	Schärmaus	0
25	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S,1	7.05724, 47.73372	schārmüs	scharmüs	1	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
26	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	scharmus	schårmus	1	scharmus	scharmus	0	Schärmaus	Schärmaus	0
27	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	scharrmüs	scharmüs	1	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
28	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	scharmüs	scharmüs	0	scharmüs	scharmüs	0	Schärmaus	Schärmaus	0
