	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co M7	na	St Kosman (Saint-Cosme)	7.06248, 47.68339	schārnüaler	na	999	scharnüeler	na	999	Schärnuler	na	999
1	Co T7	na	Wolfersdorf	7.1132, 47.63625	scharrnialer	na	999	scharnieler	na	999	Schärnuler	na	999
2	Stra V 1, Stra U 1/2, Stra U 1/1	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	scharrnialer, scharniäler, scharrnealer	scharrnealer	0	scharnieler	scharnealer	2	Schärnuler	Schärnuler	0
3	Co k 11	III_13_0027	Sulzbach (Soultzbach-Les-Bains), Sulzbach	7.20324, 48.03797	scharneiler	scharrnïeler	3	scharneiler	scharnieler	2	Schärnuler	Schärnuler	0
4	Co k 9	III_13_0014	Weier (Wihr-Au-Val), Weier im Tal	7.20558, 48.05217	scharrnealer	scharrnealer	0	scharnieler	scharmaler	3	Schärnuler	Schärnuler	0
5	Co y 13	III_14_0027	Gebweiler (Guebwiller) , Gebweiler	7.21078, 47.9095	scharnialer	scharnialer	0	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
6	Co k 8	III_13_0013	Walbach, Walbach	7.22416, 48.06257	scharnialer	scharrnialer	1	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
7	Co r 8/1, Co r 8/2	III_13_0108	Sulzmatt (Soultzmatt), Sulzmatt	7.23437, 47.96595	schārnialr, scharnialer	scharnialer	0	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
8	Co r 7/1	na	Bergholzzell, Orschweier (Bergholtzzell, Orschwihr)	7.23501, 47.9292	scharniali	na	999	scharnieler	na	999	Schärnuler	na	999
9	Co k 15	III_13_0012	Zimmerbach, Zimmerbach	7.23755, 48.07261	scharnealer	scharrniler	3	scharnieler	scharniler	1	Schärnuler	Schärnuler	0
10	Co y 11	III_14_0029	Isenheim (Issenheim), Isenheim	7.25365, 47.90288	schārnialer	scharnialer	1	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
11	Co r 3	III_13_0110	Westhalten, Westhalten	7.2595, 47.95742	schärnialla	schärnialle	1	schärnieler	schärnieler	0	Schärnuler	Schärnuler	0
12	Co c 1	III_12_0081	Kaysersberg, Kaysersberg	7.2617, 48.13853	scharniälr	scharniäler	1	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
13	Co c 6	na	Niedermorschweiher	7.27596, 48.09972	schallniēler	na	999	schalnieler	na	999	Schärnuler	na	999
14	Co k 5	III_13_0025, III_13_0024	Geberschweiher (Gueberschwihr), Geberschweier	7.27661, 48.00444	scharnieller	scharnieller	0	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
15	Co c 4	III_12_0085	Türkheim (Turckheim), Türkheim	7.27884, 48.0862	scharnïeler	scharniēhler	3	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
16	Stra U 2, Stra O 5	III_11_0082	Leberau (Lièpvre), klein Leberau (Lièpvre), Leberau	7.28169, 48.2709	schārnieler, schārniälr	scharnieler	1	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
17	Co y 10	III_14_0030	Rädersheim (Raedersheim), Rädersheim	7.28212, 47.88747	scharnieler	scharmieler	1	scharnieler	scharmieler	1	Schärnuler	Schärnuler	0
18	Co k 13	III_13_0017	Vöklinshofen (Voegtlinshoffen), Vöklinshofen	7.28224, 48.01954	schārnialer	scharnialer	1	scharnieler	scharnialer	1	Schärnuler	Schärnuler	0
19	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	scharrniēler	scharrnialer	1	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
20	Co c 5	III_12_0083	Katzenthal, Katzental	7.28497, 48.10796	schärnueler	scharniǎllr	4	schärnueler	scharnieler	2	Schärnuler	Schärnuler	0
21	Co c 7	III_12_0080	Kientzheim, Kientzheim	7.28695, 48.13649	schārnialr	schārnieler	2	scharnieler	scharnieler	0	Schärnuler	Schärnuler	0
