	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Stra B 1	III_10_0038	Griesheim (Griesheim-Près-Molsheim), Griesheim	7.53227, 48.50237	wiēler	wieler	1	wieler	wieler	0	Wühler	Wühler	0
1	TÜB h10	na	Oberachern	8.08066, 48.6193	wühler	na	999	wühler	na	999	Wühler	na	999
2	KST y 6	na	Karlsruhe	8.40919, 49.01038	wühler	na	999	wühler	na	999	Wühler	na	999
3	KST r1	III_20_0002	Liedolsheim, Liedolsheim	8.41451, 49.16221	wiehla	wiehla	0	wieler	wieler	0	Wühler	Wühler	0
4	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	wiehler	wiehler, wühler	0	wieler	wühler, wieler	0	Wühler	Wühler	0
5	KST k4	na	Rußheim	8.42435, 49.18617	wīla	na	999	wiler	na	999	Wühler	na	999
6	KST F8	na	Grünwettersbach	8.46671, 48.95784	wühler	na	999	wühler	na	999	Wühler	na	999
7	Ma h1/2	II_59_0043, II_59_0061, II_59_0042, II_59_0056, II_59_0047	Mannheim, Mannheim	8.46678, 49.4865	wühler	wihler, wühler, wiehler	0	wühler	wiler, wühler, wieler	0	Wühler	Wühler	0
8	KST r6	III_20_0010	Graben, Graben	8.48928, 49.16535	wühler	wühler	0	wühler	wühler	0	Wühler	Wühler	0
9	Ma h2/2	II_59_0064	Neckarau, Mannheim	8.49104, 49.45335	wihler	wiehler	1	wiler	wieler	1	Wühler	Wühler	0
10	KST s5	na	Spöck	8.51033, 49.11179	wühler	na	999	wühler	na	999	Wühler	na	999
11	MH H10/2	na	Mannheim-Rheinau	8.53056, 49.4292	wihler	na	999	wiler	na	999	Wühler	na	999
12	KST s3	III_20_0016	Karlsdorf, Karlsdorf	8.54164, 49.1363	wühler	wühler	0	wühler	wühler	0	Wühler	Wühler	0
13	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	wihla	wühler	3	wiler	wühler	2	Wühler	Wühler	0
14	KST d4	na	Reilingen	8.56943, 49.29368	wühler	na	999	wühler	na	999	Wühler	na	999
15	KST z7	na	Jöhlingen	8.5744, 49.03222	wühler	na	999	wühler	na	999	Wühler	na	999
16	MH Q6	na	Oftersheim	8.58107, 49.36823	wühla	na	999	wühler	na	999	Wühler	na	999
17	KST z 1	III_21_0016	Obergrombach, Obergrombach	8.58542, 49.07709	wiehler	wühler	2	wieler	wühler	2	Wühler	Wühler	0
18	KST s2	III_20_0018, III_20_0019	Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	wühler	wihler	1	wühler	wiler	2	Wühler	Wühler	0
19	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	wihler	wühler	1	wiler	wühler	2	Wühler	Wühler	0
20	KST d7	III_18_0019	Sankt Leon, Sankt Leon	8.6025, 49.26526	wühler	wühler	0	wühler	wühler	0	Wühler	Wühler	0
21	KST z4	na	Wössingen	8.61142, 49.01017	wieler	na	999	wieler	na	999	Wühler	na	999
22	KST l7	na	Weiher	8.62179, 49.17863	wieler	na	999	wieler	na	999	Wühler	na	999
23	MH Q4	na	Eppelheim	8.62885, 49.40164	wühler	na	999	wühler	na	999	Wühler	na	999
24	KST d6	III_18_0021	Rot, Rot	8.63137, 49.26348	wieler	wihla	3	wieler	wiler	1	Wühler	Wühler	0
25	KST s1	III_20_0024	Ubstadt, Ubstadt	8.6322, 49.16181	wihler	wiehler	1	wiler	wieler	1	Wühler	Wühler	0
26	KST l3	III_19_0014	Kronau, Kronau	8.63449, 49.21954	wühler	wühler	0	wühler	wühler	0	Wühler	Wühler	0
27	KST s9	III_20_0027	Helmsheim, Helmsheim	8.64229, 49.08509	wieler	wieler	0	wieler	wieler	0	Wühler	Wühler	0
28	KST d5	na	Walldorf	8.64294, 49.3028	wīla	na	999	wiler	na	999	Wühler	na	999
29	KST l6	III_19_0016	Stettfeld, Stettfeld	8.64516, 49.18353	wihler	wiihler	1	wiler	wiler	0	Wühler	Wühler	0
30	KST s10	III_20_0026	Heidelsheim, Heidelsheim	8.64542, 49.10114	wiehler	wühler	2	wieler	wühler	2	Wühler	Wühler	0
31	KST l5	na	(Bad) Langenbrücken	8.6466, 49.20296	wieler, wiele	na	999	wieler	na	999	Wühler	na	999
32	KST l4	III_19_0017, III_19_0018, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	wihler	wühler, wǖler, wieler, wǖl	1	wiler	wühler, wieler	1	Wühler	Wühler	0
33	KST z2	na	Gondelsheim	8.65584, 49.0596	wīler	na	999	wiler	na	999	Wühler	na	999
34	KST t3	III_20_0025	Unteröwisheim, Unteröwisheim	8.66595, 49.14423	wieler	wieler	0	wieler	wieler	0	Wühler	Wühler	0
35	KST m10	III_19_0027	Zeutern, Zeutern	8.67522, 49.17718	wiehler	wühler	2	wieler	wühler	2	Wühler	Wühler	0
36	KST A6	III_21_0023	Diedelsheim, Diedelsheim	8.67848, 49.04109	wihler	wühler	1	wiler	wühler	2	Wühler	Wühler	0
37	KST e10	III_18_0024	Malschenberg, Malschenberg	8.67996, 49.25599	wīla	wihler	4	wiler	wiler	0	Wühler	Wühler	0
38	KST m1	na	Malsch	8.68153, 49.24579	wiehler	na	999	wieler	na	999	Wühler	na	999
39	KST A3	III_21_0022	Neibsheim (bei Bruchsal), Neibsheim	8.68509, 49.07104	wīhler	wühler	1	wiler	wühler	2	Wühler	Wühler	0
40	KST H1	na	Nussbaum	8.69353, 48.98977	wīler	na	999	wiler	na	999	Wühler	na	999
41	KST m2	III_19_0023	Rettigheim, Rettigheim	8.6981, 49.24111	wiela	wühler	4	wieler	wühler	2	Wühler	Wühler	0
42	KST e9	III_18_0025	Rauenberg, Rauenberg	8.70096, 49.27036	wiehla	wühler	4	wieler	wühler	2	Wühler	Wühler	0
43	KST A2	III_21_0031	Büchig (bei Bretten), Büchig	8.70984, 49.0742	wühler	wühler	0	wühler	wühler	0	Wühler	Wühler	0
44	KST e11	III_18_0026	Rotenberg, Rotenberg	8.71207, 49.25813	wieler	wüler	2	wieler	wühler	2	Wühler	Wühler	0
45	KST m11	III_19_0024, III_19_0025, III_19_0026	Östringen, Östringen	8.7137, 49.22037	wühler	wihler, wihlä, wielä	1	wühler	wiler, wieler	2	Wühler	Wühler	0
46	KST t5	III_20_0030	Oberacker, Oberacker	8.71399, 49.1087	wilår	wieler	2	wiler	wieler	1	Wühler	Wühler	0
47	KST t4	III_20_0029	Münzesheim, Münzesheim	8.71579, 49.12246	wihler	wihler	0	wiler	wiler	0	Wühler	Wühler	0
48	KST t1	na	Neuenbürg	8.71854, 49.15352	wiehler	na	999	wieler	na	999	Wühler	na	999
49	KST m3	na	Mühlhausen	8.72271, 49.24953	wühler	na	999	wühler	na	999	Wühler	na	999
