	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Stra P 3	na	Tannweiler (Thanvillé)	7.35364, 48.32384	arnpflüm	na	999	arnpflüm	na	999	Arnepflüm	na	999
1	Stra P 2	na	St Petersholz (Saint Pierre Bois)	7.36093, 48.3272	arnpflüm	na	999	arnpflüm	na	999	Arnepflüm	na	999
2	Co V 17/2, Co V 17/1	na	Kötzingen (Kœtzingue)	7.394, 47.65091	arnpflüma	na	999	arnpflüme	na	999	Arnepflüm	na	999
3	Co d 5	na	Riedweier	7.44536, 48.12387	arnschtpflume	na	999	arnschtpflume	na	999	Arnepflüm	na	999
4	Stra A 1/2	na	Rosheim	7.46905, 48.49622	ărnepflume	na	999	arnepflume	na	999	Arnepflüm	na	999
5	Stra A 10	na	Goxweiler (Goxwiller)	7.48432, 48.43288	ärnpfümm	na	999	ernpflüm	na	999	Arnepflüm	na	999
6	Co e 8	na	Dürrenenzen (Dürrenentzen)	7.50406, 48.09192	arnterpflüm	na	999	arnterpflüm	na	999	Arnepflüm	na	999
7	Stra n 1	na	Winzenheim (Wintzenheim-Kochersberg)	7.51469, 48.65916	arnepflümm	na	999	arnepflüm	na	999	Arnepflüm	na	999
8	Stra X 1	na	Mussig	7.52018, 48.23003	ārnpflüm	na	999	arnpflüm	na	999	Arnepflüm	na	999
9	Hag W 4	III_7_0059	Büsweiler (Buswiller), Büsweiler	7.55923, 48.82025	ārnepflüm	arnepflühm	2	arnepflüm	arnepflüm	0	Arnepflüm	Arnepflüm	0
10	Stra J 10	na	Hüttenheim (Huttenheim)	7.57814, 48.35799	arnpflüm	na	999	arnpflüm	na	999	Arnepflüm	na	999
11	Stra J 2	na	Westhausen (Westhouse)	7.58855, 48.39622	arnpfüme	na	999	arnpflüme	na	999	Arnepflüm	na	999
12	Stra Q 8/2	na	Sundhausen (Sundhouse)	7.60327, 48.25126	arnpflüme	na	999	arnpflüme	na	999	Arnepflüm	na	999
13	Co P6	na	Tannenkirch	7.6103, 47.71116	erntpflume	na	999	erndpflume	na	999	Arnepflüm	na	999
14	Stra Q 2	na	Witternheim	7.61297, 48.31375	arnpflüme	na	999	arnpflüme	na	999	Arnepflüm	na	999
15	Co t 3	na	Feldkirch	7.64962, 47.93629	urnpflüma	na	999	urnpflüme	na	999	Arnepflüm	na	999
16	Stra f 13	na	Berstett	7.65758, 48.67898	arnpflüme	na	999	arnpflüme	na	999	Arnepflüm	na	999
17	Stra C 4	na	Hipsheim	7.67249, 48.46706	arnpflümm	na	999	arnpflüm	na	999	Arnepflüm	na	999
18	Hag X 13	na	Hochstett	7.67779, 48.77853	arneplum	na	999	arneplum	na	999	Arnepflüm	na	999
19	Co f 9	na	Forchheim	7.7031, 48.16341	ärndpflume	na	999	erndpflume	na	999	Arnepflüm	na	999
20	Stra R 3	na	Rheinau (Rhinau)	7.70498, 48.3175	eernpflümme	na	999	ernpflüme	na	999	Arnepflüm	na	999
21	Co u 15	na	Opfingen	7.71585, 48.00052	ernpflume	na	999	ernpflume	na	999	Arnepflüm	na	999
22	Co B12	na	Ehrenstetten	7.75208, 47.91557	āhmdpflüma	na	999	amdpflüme	na	999	Arnepflüm	na	999
23	Stra h 10	na	Kilstett	7.85798, 48.67473	arnepflüm	na	999	arnepflüm	na	999	Arnepflüm	na	999
24	Stra h 2	na	Offendorf	7.91375, 48.71167	arnepflüm	na	999	arnepflüm	na	999	Arnepflüm	na	999
25	KST L11	na	Kesseldorf (Weissenburg)	8.06748, 48.87606	arnepflaume	na	999	arnepflaume	na	999	Arnepflüm	na	999
26	MH K1	na	Brombach (bei Hirschhorn)	8.8675, 49.48863	earnblaume	na	999	ernplaume	na	999	Arnepflüm	na	999
