	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co T6	na	Dammerkirch (Dannemarie)	7.1214, 47.63024	eierpflüüme	na	999	eierpflüme	na	999	Eierpflaume	na	999
1	Hag U 3	na	Schönburg (Schoenbourg)	7.26823, 48.83392	eierprüme	na	999	eierprüme	na	999	Eierpflaume	na	999
2	Co r 1	na	Rufach (Rouffach)	7.29696, 47.95968	eijerpflüm	na	999	eierpflüm	na	999	Eierpflaume	na	999
3	Stra W 4	na	Bergheim	7.35777, 48.20604	eierpflüm	na	999	eierpflüm	na	999	Eierpflaume	na	999
4	Co s 3	na	Oberenzen (Oberentzen)	7.37872, 47.94354	eierpflüm	na	999	eierpflüm	na	999	Eierpflaume	na	999
5	Co d 9	na	Elsenheim	7.50131, 48.16133	eierpflüm	na	999	eierpflüm	na	999	Eierpflaume	na	999
6	Stra f 12	na	Reitweiler	7.61546, 48.67598	eierpflümme	na	999	eierpflüme	na	999	Eierpflaume	na	999
7	Co e 11	na	Königschaffhausen am Kaiserstuhl	7.65562, 48.13337	eierpflüma	na	999	eierpflüme	na	999	Eierpflaume	na	999
8	Co B4	na	Ballrechten-Dottingen	7.70076, 47.86061	eierpflume	na	999	eierpflume	na	999	Eierpflaume	na	999
9	Stra Y 2	na	Oberhausen	7.71048, 48.22667	eierpflüm	na	999	eierpflüm	na	999	Eierpflaume	na	999
10	Co Q11	na	Schlächtenhaus-Hofen	7.73863, 47.69047	eierpflūme	na	999	eierpflume	na	999	Eierpflaume	na	999
11	Stra Y 7	na	Tutschfelden	7.80659, 48.21534	eierpflüme	na	999	eierpflüme	na	999	Eierpflaume	na	999
12	Hag Y 1	na	Sufflenheim	7.95924, 48.82979	eierpflüme	na	999	eierpflüme	na	999	Eierpflaume	na	999
13	TUTT T2	na	Indlekofen	8.22113, 47.65889	eierpflume	na	999	eierpflume	na	999	Eierpflaume	na	999
14	TÜB c4	na	Au im Murgtal	8.36129, 48.72172	eierpflumm	na	999	eierpflum	na	999	Eierpflaume	na	999
15	MH M1	na	Einbach	9.24238, 49.48477	eierpflaume	na	999	eierpflaume	na	999	Eierpflaume	na	999
16	SIG r3	na	Markdorf	9.38933, 47.72088	eierpflumä	na	999	eierpflume	na	999	Eierpflaume	na	999
