	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	pflǖma	pflüme	2	pflüme	pflüme	0	Pflaume	Pflaume	0
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	pflüme	pflumme	2	pflüme	pflume	1	Pflaume	Pflaume	0
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	pflüma	pflaume	3	pflüme	pflaume	2	Pflaume	Pflaume	0
3	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	pflum	pflüm	1	pflum	pflüm	1	Pflaume	Pflaume	0
4	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	pflumä	pflüma	2	pflume	pflüme	1	Pflaume	Pflaume	0
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	pflüme	pfluma	2	pflüme	pflume	1	Pflaume	Pflaume	0
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	pflume	pflaume, pflüma	1	pflume	pflaume, pflüme	1	Pflaume	Pflaume	0
7	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
8	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	bflumä	pflume	2	pflume	pflume	0	Pflaume	Pflaume	0
9	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	pflūmä	pflüm	2	pflume	pflüm	2	Pflaume	Pflaume	0
10	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	pflüma	na	999	pflüme	na	999	Pflaume	na	999
11	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	prümme	brüme	2	prüme	prüme	0	Pflaume	Pflaume	0
12	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	pfluma	pflüma	1	pflume	pflüme	1	Pflaume	Pflaume	0
13	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	pflǖma	pflüma	1	pflüme	pflüme	0	Pflaume	Pflaume	0
14	Hag D 1	na	Hinsingen	6.99156, 48.9525	brümme	na	999	prüme	na	999	Pflaume	na	999
15	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
16	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	pflūm	pfluma	2	pflum	pflume	1	Pflaume	Pflaume	0
17	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	pfluma	pfluma	0	pflume	pflume	0	Pflaume	Pflaume	0
18	Hag E 10	na	Bissert	7.02465, 48.94167	brümm	na	999	prüm	na	999	Pflaume	na	999
19	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	pflühme	na	999	pflüme	na	999	Pflaume	na	999
20	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	plǖma	pfluma	2	plüme	pflume	2	Pflaume	Pflaume	0
21	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
22	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
23	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	pfluma	pflüme	2	pflume	pflüme	1	Pflaume	Pflaume	0
24	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	prümme	prümme	0	prüme	prüme	0	Pflaume	Pflaume	0
25	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	pflüma	na	999	pflüme	na	999	Pflaume	na	999
26	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	brumme	prumm	2	prume	prum	1	Pflaume	Pflaume	0
27	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	pflüm	pflüm	0	pflüm	pflüm	0	Pflaume	Pflaume	0
28	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	prümme	prüm	2	prüme	prüm	1	Pflaume	Pflaume	0
29	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	prümm	prüme, pflaume	1	prüm	prüme, pflaume	1	Pflaume	Pflaume	0
30	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	pflüme	na	999	pflüme	na	999	Pflaume	na	999
31	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	pfluumå	pflūmă	3	pflume	pflume	0	Pflaume	Pflaume	0
32	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
33	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	pfluma	pfluma	0	pflume	pflume	0	Pflaume	Pflaume	0
34	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	pflüm	pflaume	3	pflüm	pflaume	3	Pflaume	Pflaume	0
35	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	pflüme	pfluma	2	pflüme	pflume	1	Pflaume	Pflaume	0
36	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	brüm	brüm	0	prüm	prüm	0	Pflaume	Pflaume	0
37	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	pflǖme	pflüma	2	pflüme	pflüme	0	Pflaume	Pflaume	0
38	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	pflüme	pflüma	1	pflüme	pflüme	0	Pflaume	Pflaume	0
39	Hag M 2	na	Pisdorf (Bischtroff-sur-Sarre)	7.06995, 48.9005	brümme	na	999	prüme	na	999	Pflaume	na	999
40	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	pflümă	pflume	2	pflüme	pflume	1	Pflaume	Pflaume	0
41	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	pflǖma	pfluimea	3	pflüme	pflüme	0	Pflaume	Pflaume	0
42	Co i 3	na	Metzeral	7.07146, 48.01325	pflüma	na	999	pflüme	na	999	Pflaume	na	999
43	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	pflume	pflüma	2	pflume	pflüme	1	Pflaume	Pflaume	0
44	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	prümm, prüm	prüm	0	prüm	prüm	0	Pflaume	Pflaume	0
45	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	brüm	brüm	0	prüm	prüm	0	Pflaume	Pflaume	0
46	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	pflüma	pflüma	0	pflüme	pflüme	0	Pflaume	Pflaume	0
