	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Ma h2/1	II_59_0064	Mannheim-Neckarau, Mannheim	8.49104, 49.45335	quetsche	gwetsche	2	gwetsche	gwetsche	0	Zwetschge	Zwetschge	0
1	na	III_16_0019	Mansbach	7.10508, 47.6176	na	zwatschga	999	na	zwatschge	999	na	Zwetschge	999
2	na	III_8_0033	Lupstein	7.48491, 48.73763	na	quatsche	999	na	gwatsche	999	na	Zwetschge	999
3	na	III_16_0065	Sankt Ludwig	7.56351, 47.58575	na	zwetschge, quetsche	999	na	zwetschge, gwetsche	999	na	Zwetschge	999
4	na	III_16_0092	Haagen	7.67898, 47.63703	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
5	na	III_5_0097	Hunspach	7.94316, 48.9536	na	guetsch	999	na	gwetsch	999	na	Zwetschge	999
6	na	III_12_0138	Waldkirch	7.96049, 48.09361	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
7	na	III_9_0103	Gamshurst	8.0187, 48.66413	na	quetsche	999	na	gwetsche	999	na	Zwetschge	999
8	na	III_9_0091, III_9_0090	Achern	8.06363, 48.62871	na	quetsch, gwetsche	999	na	gwetsch, gwetsche	999	na	Zwetschge	999
9	na	III_7_0122	Halberstung	8.14298, 48.76025	na	quetsche	999	na	gwetsche	999	na	Zwetschge	999
10	na	III_16_0161	Weilheim	8.24051, 47.65862	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
11	na	III_12_0157	St. Georgen	8.33183, 48.12564	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
12	na	III_4_0114	Daxlanden	8.33737, 49.0022	na	zwetschge, quetsche	999	na	zwetschge, gwetsche	999	na	Zwetschge	999
13	na	III_22_0004, III_22_0006	Ettlingen	8.40245, 48.94247	na	zwägscht	999	na	zwegscht	999	na	Zwetschge	999
14	na	III_20_0003	Hochstetten	8.41566, 49.13702	na	quetsche	999	na	gwetsche	999	na	Zwetschge	999
15	na	III_21_0004	Rintheim	8.45071, 49.0099	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
16	na	II_59_0060, II_59_0057, II_59_0059, II_59_0040, II_59_0042, II_59_0055, II_59_0056, II_59_0047, II_59_0058, II_59_0041, II_59_0054	Mannheim	8.46678, 49.4865	na	quedsch, gewetsche, zwetschgen, quetsche, quetsch	999	na	gwetsch, zwetschge, gewetsche, gwetsche	999	na	Zwetschge	999
17	na	III_18_0016	Waghäusel	8.51733, 49.25118	na	quetsch	999	na	gwetsch	999	na	Zwetschge	999
18	na	II_60_0032	Brühl	8.53485, 49.3951	na	quetschä	999	na	gwetsche	999	na	Zwetschge	999
19	na	III_20_0022	Untergrombach	8.55318, 49.0861	na	quegschte	999	na	gwegschte	999	na	Zwetschge	999
20	na	II_60_0035, II_60_0034	Schwetzingen	8.57064, 49.38567	na	gwedsch	999	na	gwetsch	999	na	Zwetschge	999
21	na	III_20_0019	Bruchsal	8.60102, 49.12377	na	gwetsch	999	na	gwetsch	999	na	Zwetschge	999
22	na	III_22_0019	Königsbach	8.61207, 48.96515	na	zwetschge	999	na	zwetschge	999	na	Zwetschge	999
23	na	II_60_0037	Eppelheim	8.62885, 49.40164	na	quetsch	999	na	gwetsch	999	na	Zwetschge	999
24	na	II_60_0038	Sandhausen	8.65837, 49.34236	na	quetsche	999	na	gwetsche	999	na	Zwetschge	999
25	na	II_59_0071	Schriesheim	8.66514, 49.47649	na	gäwetsch	999	na	gewetsch	999	na	Zwetschge	999
