	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	gīfelä	giefele	3	gifele	gifele	0	Glifle	Glifle	0
1	Hag M 11/2	na	Wolfskirchen	7.07612, 48.87884	geffel	na	999	gefel	na	999	Glifle	na	999
2	Co E5	na	Rodern	7.0877, 47.77839	giefela	na	999	gifela	na	999	Glifle	na	999
3	Co k 11	na	Sulzbach (Soultzbach-Les-Bains)	7.20324, 48.03797	gefala	na	999	gefela	na	999	Glifle	na	999
4	Co r 3	III_13_0110	Westhalten, Westhalten	7.2595, 47.95742	giefla	geefla	1	gifla	gefla	1	Glifle	Glifle	0
5	Co Ub 6	na	Winkel	7.26347, 47.46074	gefala	na	999	gefela	na	999	Glifle	na	999
6	Hag U 2	na	Graufthal	7.28092, 48.81935	giffel	na	999	gifel	na	999	Glifle	na	999
7	Hag U 1	III_7_0033	Etschburg (Eschbourg), Eschburg	7.29591, 48.81267	giffel	gēflel	2	gifel	geflel	2	Glifle	Glifle	0
8	Hag G 1	na	Rosteig	7.33838, 48.9327	giefel	na	999	gifel	na	999	Glifle	na	999
9	Co V 1	na	Obersteinbrunn (Steinbrunn-le-Haut)	7.3467, 47.65852	giefala	na	999	gifela	na	999	Glifle	na	999
10	Stra W 7	na	Rohrschweier (Rorschwihr)	7.36295, 48.21541	gefl	na	999	gefl	na	999	Glifle	na	999
11	Stra m 2	na	Salental	7.37043, 48.66739	geffel	na	999	gefel	na	999	Glifle	na	999
12	Stra m 3/1	na	Maursmünster (Marmoutier)	7.38108, 48.69056	gieffel	na	999	gifel	na	999	Glifle	na	999
13	Co l 7	III_13_0034	Logelnheim (Logelheim), Logelnheim	7.40918, 48.0211	giefla	gefla	1	gifla	gefla	1	Glifle	Glifle	0
14	Co d 5	III_12_0092	Riedweier, Riedweier	7.44536, 48.12387	gūfela	giefeler	4	gufela	gifela	1	Glifle	Glifle	0
15	Co H16	na	Ottmarsheim	7.50646, 47.78661	gufale	na	999	gufele	na	999	Glifle	na	999
16	Stra X 12	III_12_0029	Boozheim (Bootzheim), Boozheim	7.57052, 48.18862	geefle	geefle	0	gefle	gefle	0	Glifle	Glifle	0
17	Co A10	na	Zienken (Müllheim)	7.57779, 47.84303	giiflė	na	999	gifle	na	999	Glifle	na	999
18	Co P7	na	Hertingen	7.58442, 47.7231	güfli	na	999	güfli	na	999	Glifle	na	999
19	Co e 4	III_12_0108	Burkheim am Kaiserstuhl, Burkheim am Kaiserstuhl	7.59943, 48.10194	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
20	Co e 14	na	Jechtingen am Kaierstuhl	7.60965, 48.11815	giefli	na	999	gifli	na	999	Glifle	na	999
21	Co e 12	III_12_0103	Sasbach, Sasbach	7.61363, 48.13798	giefli	gifla	2	gifli	gifla	1	Glifle	Glifle	0
22	Co m 4	na	Achkarren	7.62448, 48.06769	güfli	na	999	güfli	na	999	Glifle	na	999
23	Co t 4	na	Hartheim	7.62702, 47.93691	gīfli	na	999	gifli	na	999	Glifle	na	999
24	Co e 13	III_12_0107	Oberrotweil, Oberrotweil	7.63551, 48.08944	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
25	Co P4	III_15_0059	Feuerbach, Feuerbach	7.642, 47.73653	güfli	güfle	1	güfli	güfle	1	Glifle	Glifle	0
26	Co m 2	III_13_0039	Gündlingen, Gündlingen	7.64227, 48.01556	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
27	Co e 7	III_12_0032, III_12_0031	Wyhl am Kaiserstuhl, Wyhl	7.64933, 48.1663	givli	güfli	2	gifli	güfli	1	Glifle	Glifle	0
