	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	gōfe	gufe	1	gofe	gufe	1	Glufe	Glufe	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	gūffa	guffa	1	gufe	gufe	0	Glufe	Glufe	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	gūfa	gufe	2	gufe	gufe	0	Glufe	Glufe	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	guf, gof	gufe	1	guf, gof	gufe	1	Glufe	Glufe	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	guf	guff	1	guf	guf	0	Glufe	Glufe	0
5	Co p 2	na	Wildenstein bei Krüt, Kreis Tann	6.96296, 47.98143	gūfe	na	999	gufe	na	999	Glufe	na	999
6	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
7	Co w 1	na	Oderen	6.97525, 47.91008	gūfā	na	999	gufe	na	999	Glufe	na	999
8	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	gūfa	na	999	gufe	na	999	Glufe	na	999
9	Hag D 2	na	Altweiler (Altwiller)	6.98122, 48.93023	guww	na	999	guw	na	999	Glufe	na	999
10	Co w 2	na	Fellerlingen (Fellering)	6.98613, 47.89621	guf	na	999	guf	na	999	Glufe	na	999
11	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	goff	gofe	1	gof	gofe	1	Glufe	Glufe	0
12	Hag D 1	na	Hinsingen	6.99156, 48.9525	guw	na	999	guw	na	999	Glufe	na	999
13	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
14	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	kūf	guf	2	guf	guf	0	Glufe	Glufe	0
15	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	gu̠fa	guf	2	gufe	guf	1	Glufe	Glufe	0
16	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	gūf	gufa	2	guf	gufe	1	Glufe	Glufe	0
17	Hag E 10	na	Bissert	7.02465, 48.94167	guw	na	999	guw	na	999	Glufe	na	999
