	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Ma f1/1	II_58_0061	Mannheim-Sandhofen, Mannheim-Sandhofen, Mannheim-Sandhofen	8.44789, 49.5433	schbell	spelle	4	schbel	schbele	1	Spelle	Spelle	0
1	Ma h1/2	II_59_0060, II_59_0057, II_59_0059, II_59_0044, II_59_0043, II_59_0048, II_59_0061, II_59_0040, II_59_0052, II_59_0050, II_59_0053, II_59_0056, II_59_0047, II_59_0039, II_59_0058	Mannheim, Mannheim	8.46678, 49.4865	spell	spell, spelle, schbell	0	schbel	schbele, schbel	0	Spelle	Spelle	0
2	Ma h2/3, Ma h2/1	II_59_0064	Neckarau, Mannheim-Neckarau, Mannheim	8.49104, 49.45335	spell, schpelle, schpell	spell	0	schbele, schbel	schbel	0	Spelle	Spelle	0
3	MH z4/1, MH z4/2	II_58_0065, II_58_0066	Mannheim-Käfertal, Käferthal	8.51715, 49.51259	schbell, schpäll	schbell, schbällä	0	schbel	schbele, schbel	0	Spelle	Spelle	0
4	MH Q7	na	Ketsch	8.52432, 49.3678	spell	na	999	schbel	na	999	Spelle	na	999
5	MH H10/1	II_59_0074	Rheinau, Rheinau	8.53056, 49.42924	schbell	spell	3	schbel	schbel	0	Spelle	Spelle	0
6	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	schbell	spell	3	schbel	schbel	0	Spelle	Spelle	0
7	MH H6	II_59_0068	Seckenheim, Seckenheim	8.56313, 49.46724	schpell	schbell	1	schbel	schbel	0	Spelle	Spelle	0
8	MH Q2	na	Schwetzingen	8.57064, 49.38567	schbell	na	999	schbel	na	999	Spelle	na	999
9	MH Q6	II_60_0092	Oftersheim, Oftersheim	8.58107, 49.36823	spelle	spell	1	schbele	schbel	1	Spelle	Spelle	0
10	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	schpell	spell	2	schbel	schbel	0	Spelle	Spelle	0
