	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D4	na	Kirchberg-Wegscheid	6.95965, 47.79904	stecknodel	na	999	schteknodel	na	999	Stecknadel	na	999
1	Hag E 6/1	na	Saarbuckenheim (Sarre-Union)	7.08686, 48.93919	stecknå̄del	na	999	schteknådel	na	999	Stecknadel	na	999
2	Co E5	na	Rodern	7.0877, 47.77839	sticknodle	na	999	schtiknodle	na	999	Stecknadel	na	999
3	Hag x 1	na	Silzheim (Siltzheim)	7.09071, 49.0616	stecknadel	na	999	schteknadel	na	999	Stecknadel	na	999
4	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	schdecknodla	stecknodla	3	schteknodla	schteknodla	0	Stecknadel	Stecknadel	0
5	Co T6	na	Dammerkirch (Dannemarie)	7.1214, 47.63024	stecknoodla	na	999	schteknodla	na	999	Stecknadel	na	999
6	Hag E 4	na	Rimsdorf	7.12568, 48.92923	stecknoddel	na	999	schteknodel	na	999	Stecknadel	na	999
7	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452, 48.90983	schdecknādel	na	999	schteknadel	na	999	Stecknadel	na	999
8	Hag F 3	III_5_0044	Ratzweiler (Ratzwiller), Ratzweiler	7.23978, 48.95501	stecknådel	stecknādel	1	schteknådel	schteknadel	1	Stecknadel	Stecknadel	0
9	Co y 8	na	Bollweiler (Bollwiller)	7.25961, 47.86006	stecknådel	na	999	schteknådel	na	999	Stecknadel	na	999
10	Stra l 3	III_9_0005	Engental, Engental	7.30153, 48.63467	stecknodel, stecknoudel	schteggnodel, schteggnondel	4	schteknoudel, schteknodel	schteknodel	0	Stecknadel	Stecknadel	0
11	Stra z 1/2	na	Grendelbruch	7.32375, 48.49241	stecknodel	na	999	schteknodel	na	999	Stecknadel	na	999
12	Hag O 3	na	Zittersheim	7.34551, 48.89955	stecknådl	na	999	schteknådl	na	999	Stecknadel	na	999
13	Hag O 4	III_6_0037	Erkartsweiler (Erckartswiller), Erkartsweiler	7.3596, 48.87532	stecknädel	stecknädel	0	schteknädel	schteknädel	0	Stecknadel	Stecknadel	0
14	Co l 1/1, Co l 1/2	na	Kolmar (/Hausen an der Möhlin), Kolmar	7.36359, 48.08198	schtecknōdl, stecknōdel	na	999	schteknodl, schteknodel	na	999	Stecknadel	na	999
15	Stra e 2/2	III_8_0029	Zabern, Zabern	7.36605, 48.73948	stecknodel	stecknodel, stecknadel	0	schteknodel	schteknadel, schteknodel	0	Stecknadel	Stecknadel	0
16	Co G6	na	Baldersheim	7.37806, 47.80152	stecknudel	na	999	schteknudel	na	999	Stecknadel	na	999
17	Stra m 3/2	na	Singrist	7.38757, 48.6705	stecknōdel	na	999	schteknodel	na	999	Stecknadel	na	999
18	Stra e 18	na	Reutenburg	7.4064, 48.68515	stecknodel	na	999	schteknodel	na	999	Stecknadel	na	999
19	Hag O 2	III_6_0038	Wimmenau, Wimmenau	7.41957, 48.91035	stecknodel	stegnodel	2	schteknodel	schteknodel	0	Stecknadel	Stecknadel	0
20	Stra H 12	III_11_0021	Ittersweiler (Itterswiller), Ittersweiler	7.4322, 48.36386	stecknodel	stecknadel	1	schteknodel	schteknadel	1	Stecknadel	Stecknadel	0
21	Stra t 2/1	na	Bergbieten	7.45869, 48.57632	steknădel	na	999	schteknadel	na	999	Stecknadel	na	999
22	Hag G 3	III_5_0058	Reipertsweiler (Reipertswiller), Reipertsweiler	7.46373, 48.93214	stecknodel	stecknadel	1	schteknodel	schteknadel	1	Stecknadel	Stecknadel	0
23	Stra n 1	III_9_0037	Winzenheim (Wintzenheim-Kochersberg), Winzenheim	7.51469, 48.65916	schtecknudel	stecknudel	2	schteknudel	schteknudel	0	Stecknadel	Stecknadel	0
24	Co P1	na	Kleinlandau (Petit-Landau)	7.52082, 47.73028	stäcknodla	na	999	schteknodla	na	999	Stecknadel	na	999
25	Hag P 17	na	Schillersdorf	7.52526, 48.87312	stecknådel	na	999	schteknådel	na	999	Stecknadel	na	999
26	Hag W 14	na	Wickersheim	7.53159, 48.78313	schdecknodel	na	999	schteknodel	na	999	Stecknadel	na	999
27	Stra X 2	na	Baldenheim	7.53925, 48.23746	stecknodel	na	999	schteknodel	na	999	Stecknadel	na	999
28	Co H2	na	Neuenburg (am Rhein)	7.56012, 47.81393	stecknadel	na	999	schteknadel	na	999	Stecknadel	na	999
