	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	gaiß	gaiß	0	geis	geis	0	Geiß	Geiß	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	gais	geis	1	geis	geis	0	Geiß	Geiß	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	gais	gais	0	geis	geis	0	Geiß	Geiß	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	geiß	geiss	2	geis	geis	0	Geiß	Geiß	0
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	geiss	geiss	0	geis	geis	0	Geiß	Geiß	0
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	geiss	geiss	0	geis	geis	0	Geiß	Geiß	0
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	geiss	gaiß	3	geis	geis	0	Geiß	Geiß	0
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	gais	gais	0	geis	geis	0	Geiß	Geiß	0
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	gais	geiß	2	geis	geis	0	Geiß	Geiß	0
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	geiss	na	999	geis	na	999	Geiß	na	999
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	gäiß	geiß	1	geis	geis	0	Geiß	Geiß	0
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	geis	geiss	1	geis	geis	0	Geiß	Geiß	0
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	gais	geiß	2	geis	geis	0	Geiß	Geiß	0
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	geiß	na	999	geis	na	999	Geiß	na	999
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	gais	geiß	2	geis	geis	0	Geiß	Geiß	0
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
18	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	gais	gais	0	geis	geis	0	Geiß	Geiß	0
19	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	geiß	gais	2	geis	geis	0	Geiß	Geiß	0
20	Hag E 10	na	Bissert	7.02465, 48.94167	geiß	na	999	geis	na	999	Geiß	na	999
21	Co T10	na	Schaff tt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	gaiß	na	999	geis	na	999	Geiß	na	999
22	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	geis	geiß	1	geis	geis	0	Geiß	Geiß	0
23	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	gais	gais	0	geis	geis	0	Geiß	Geiß	0
24	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	gäis	geis	1	geis	geis	0	Geiß	Geiß	0
25	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
26	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	geis	gäs	2	geis	gäs	2	Geiß	Geiß	0
27	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	geiß	na	999	geis	na	999	Geiß	na	999
28	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	gais	geis	1	geis	geis	0	Geiß	Geiß	0
29	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	geiß	geis	1	geis	geis	0	Geiß	Geiß	0
30	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
31	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	geiß	geiss	2	geis	geis	0	Geiß	Geiß	0
32	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	geiß	na	999	geis	na	999	Geiß	na	999
33	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	gaiß	gaiß	0	geis	geis	0	Geiß	Geiß	0
34	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
35	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	geiß	gaiß	1	geis	geis	0	Geiß	Geiß	0
36	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	gei	geiß	1	gei	geis	1	Geiß	Geiß	0
37	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	geiß	geiss	2	geis	geis	0	Geiß	Geiß	0
38	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	gais	geiß	2	geis	geis	0	Geiß	Geiß	0
39	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	gaiß	gaiß	0	geis	geis	0	Geiß	Geiß	0
40	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	geis	geis	0	geis	geis	0	Geiß	Geiß	0
41	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	geiß	geiß	0	geis	geis	0	Geiß	Geiß	0
42	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	gais	geiss	2	geis	geis	0	Geiß	Geiß	0
43	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	gaïss	geaiß	4	geis	geis	0	Geiß	Geiß	0
44	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	gais	géis	1	geis	geis	0	Geiß	Geiß	0
45	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	gaiß	geiss	3	geis	geis	0	Geiß	Geiß	0
46	Co q 4	III_13_0097	Sonder ch, Sonder ch	7.07276, 47.99621	gäiß	geiß	1	geis	geis	0	Geiß	Geiß	0
47	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	geis, geiss	geiß	1	geis	geis	0	Geiß	Geiß	0
48	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	gäiss	gäis	1	geis	geis	0	Geiß	Geiß	0
49	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	gaiß	gaiß	0	geis	geis	0	Geiß	Geiß	0
50	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	geiß	gais	2	geis	geis	0	Geiß	Geiß	0
51	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	geis	geis	0	geis	geis	0	Geiß	Geiß	0
