	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	mugga	mucke	3	muke	muke	0	Mücke	Mücke	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	mucka	mucka	0	muke	muke	0	Mücke	Mücke	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	mugga	mucker	4	muke	muker	1	Mücke	Mücke	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	mucka	mucke	1	muke	muke	0	Mücke	Mücke	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	mugge	muck	3	muke	muk	1	Mücke	Mücke	0
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	mucka	můka	2	muke	muke	0	Mücke	Mücke	0
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	mugge	mucka	3	muke	muke	0	Mücke	Mücke	0
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	mugga	mücke, mugga	0	muke	müke, muke	0	Mücke	Mücke	0
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	mucka	mucka	0	muke	muke	0	Mücke	Mücke	0
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	muggä	muck	3	muke	muk	1	Mücke	Mücke	0
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	muck	mugg	2	muk	muk	0	Mücke	Mücke	0
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	mucka	na	999	muke	na	999	Mücke	na	999
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	muck	muck	0	muk	muk	0	Mücke	Mücke	0
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	mugg	muck	2	muk	muk	0	Mücke	Mücke	0
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	mugga	mücke	4	muke	müke	1	Mücke	Mücke	0
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	muck	na	999	muk	na	999	Mücke	na	999
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	mugga	mucke	3	muke	muke	0	Mücke	Mücke	0
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	muck	muck	0	muk	muk	0	Mücke	Mücke	0
