	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	6.90688	47.80694	agerschta	agerschte	1	-0.25251144499813616	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	6.93211	47.80559	elschter	elschter	0	-0.7815579410052661	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	6.94324	47.80838	agerschde	agerste	3	0.8055815470161238	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	6.9473	47.82212	agersta	elster	0	-0.7815579410052661	agerschte	elschter	0	-0.5955950302609602	Agerst	Elster	0	-0.48323353219796433
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	6.95521	47.88255	ägerschte	agaschte	3	0.8055815470161238	ägerschte	agerschte	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
5	Co D4	III_14_0084	Kirchberg, Kirchberg-Wegscheid	6.95965, 47.79904	6.95965	47.79904	agerschta	elstere	0	-0.7815579410052661	agerschte	elschtere	0	-0.5955950302609602	Agerst	Elster	0	-0.48323353219796433
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	6.96296	47.98143	hatzl	elschtara	0	-0.7815579410052661	hatsel	elschtere	0	-0.5955950302609602	Atzel	Elster	0	-0.48323353219796433
7	na	III_13_0095	Krüt	6.96629, 47.92912	6.96629	47.92912	na	regenvogel	999	527.7358915701176	na	regenvogel	999	529.1860287263053	na	Regenvogel	999	529.091394870162
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	6.97173	47.78361	agerschta	agersta	2	0.27653505100899384	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
9	Co w 4	na	Mollau	6.97488, 47.87245	6.97488	47.87245	elschder	na	999	527.7358915701176	elschter	na	999	529.1860287263053	Elster	na	999	529.091394870162
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	6.97525	47.91008	ägerschd	agerscht	2	0.27653505100899384	ägerscht	agerscht	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	6.979	47.78312	agerschta	na	999	527.7358915701176	agerschte	na	999	529.1860287263053	Agerst	na	999	529.091394870162
