	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	åmeisa	å m ei s a	åmeise	å m ei s e	1
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	ōmeisa	ō m ei s a	omeisa	o m ei s a	1
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	åmeise	å m ei s e	ameise	a m ei s e	1
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	ameisa	a m ei s a	ameise	a m ei s e	1
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	ameis	a m ei s	ameise	a m ei s e	1
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	amaisa	a m a i s a	ameise	a m ei s e	2
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	amaise	a m a i s e	omeisa	o m ei s a	3
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	åmeise	å m ei s e	omeise	o m ei s e	1
8	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	ameis	a m ei s	ameise	a m ei s e	1
9	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	amais	a m a i s	ameis	a m ei s	1
10	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	ämäß	ä m ä ß	ämes	ä m e s	2
11	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	omeis	o m ei s	ameise	a m ei s e	2
12	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	omaisā	o m a i s ā	omeise	o m ei s e	2
13	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	ameis	a m ei s	omaisa	o m a i s a	3
14	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	o̠maise	o ̠ m a i s e	omaise	o m a i s e	1
15	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	omaysa	o m a y s a	omaißa	o m a i ß a	2
16	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	ōmais	ō m a i s	omaiß	o m a i ß	2
17	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	omēise	o m ē i s e	omeis	o m ei s	2
18	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	omeisa	o m ei s a	omeise	o m ei s e	1
19	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	emaise	e m a i s e	ämeis	ä m ei s	3
20	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	ämäs	ä m ä s	ameise	a m ei s e	4
21	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	ameise	a m ei s e	emeise	e m ei s e	1
22	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	ohmeiså	o h m ei s å	omaisă	o m a i s ă	3
23	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	omaisa	o m a i s a	omeis	o m ei s	2
24	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	omaise	o m a i s e	omeisa	o m ei s a	2
25	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	hēmeis	h ē m ei s	hemeise	h e m ei s e	2
26	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	omais	o m a i s	omaisa	o m a i s a	1
27	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	omaise	o m a i s e	omaisa	o m a i s a	1
28	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	ǟmes	ǟ m e s	ämäße	ä m ä ß e	4
29	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	omeise	o m ei s e	ameise	a m ei s e	1
30	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	omaïssa	o m a ï ss a	omaise	o m a i s e	3
31	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	omais	o m a i s	āmeīs	ā m e ī s	3
32	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	omais	o m a i s	omeisa	o m ei s a	2
33	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	ahmsa	a h m s a	ameisa	a m ei s a	3
34	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	ämǟs	ä m ǟ s	ämes	ä m e s	1
35	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	åmeisa	å m ei s a	åmeis	å m ei s	1
36	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	emais	e m a i s	emeise	e m ei s e	2
37	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	ameis	a m ei s	ameise	a m ei s e	1
38	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	ämäß	ä m ä ß	hämeis	h ä m ei s	4
39	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	amais	a m a i s	ameis	a m ei s	1
40	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	ametzen	a m e tz e n	ämetzen	ä m e tz e n	1
41	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	omaisa	o m a i s a	omeisa	o m ei s a	1
42	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	amäis	a m ä i s	ameis	a m ei s	1
43	Co i 9	III_13_0003, III_13_0004	Stossweier, Stossweier	7.10163, 48.05432	amäisa	a m ä i s a	amäis	a m ä i s	1
44	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	omaise	o m a i s e	omeise	o m ei s e	1
45	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	omeise	o m ei s e	omaisa	o m a i s a	2
46	Co T11	III_16_0019	Mansbach (Manspach), Mansbach	7.10508, 47.6176	omeisa	o m ei s a	omeise	o m ei s e	1
47	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	heemeise	h ee m ei s e	hemeis	h e m ei s	2
48	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	omeis	o m ei s	omaïsa	o m a ï s a	3
49	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	ämeese	ä m ee s e	ämäs	ä m ä s	3
50	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	åmeisă	å m ei s ă	omeisa	o m ei s a	2
51	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	ǟmes	ǟ m e s	ämes	ä m e s	1
52	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	ams	a m s	ameis	a m ei s	2
53	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	omeise	o m ei s e	ōmaisa	ō m a i s a	3
54	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	oomaisa	oo m a i s a	omeisa	o m ei s a	2
55	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	omeisa	o m ei s a	omeise	o m ei s e	1
56	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	ämäss	ä m ä ss	ämäse	ä m ä s e	1
57	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	hämeis	h ä m ei s	hemäs	h e m ä s	3
58	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	omeisa	o m ei s a	omeis	o m ei s	1
59	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	ams	a m s	ameis	a m ei s	2
60	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	omaise	o m a i s e	ameise	a m ei s e	2
61	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen), Völlerdingen	7.14098, 48.9622	emäs	e m ä s	ämäss	ä m ä ss	2
62	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	ameis	a m ei s	ameïs	a m e ï s	1
63	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	omeise	o m ei s e	omeis	o m ei s	1
64	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	omaisa	o m a i s a	ameise	a m ei s e	3
65	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	omaisā	o m a i s ā	amaisā	a m a i s ā	1
66	Hag E 3	III_5_0031	Domfessel, Domfessel	7.15171, 48.95143	ämmeß	ä mm e ß	ämäss	ä m ä ss	3
67	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	ämeß	ä m e ß	ämäs	ä m ä s	2
68	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	ōmeis	ō m ei s	omeis	o m ei s	1
69	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	ãmã̄s	ã m ã ̄ s	ämäs	ä m ä s	3
70	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	åmeise	å m ei s e	omeise	o m ei s e	1
71	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	hämäse	h ä m ä s e	ämäs	ä m ä s	2
72	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	omeis	o m ei s	omeise	o m ei s e	1
73	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	omaisa	o m a i s a	omeisa	o m ei s a	1
74	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	omeise	o m ei s e	åmeise	å m ei s e	1
75	Co k 1	III_13_0016	Griesbach (Griesbach-Au-Val), Griesbach	7.17071, 48.03351	ameis	a m ei s	ameisa	a m ei s a	1
76	Hag F 4	III_5_0039	Lorenzen (Lorentzen), Lorenzen	7.1752, 48.95249	ämäss	ä m ä ss	ämäse	ä m ä s e	1
77	Hag N 17	III_6_0017	Berg, Rexingen, Rexingen	7.17654, 48.90012	ämäs	ä m ä s	ameise	a m ei s e	4
78	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	ōmeis	ō m ei s	omeis	o m ei s	1
79	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	omeis	o m ei s	omeisa	o m ei s a	1
80	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	omais	o m a i s	omeisa	o m ei s a	2
81	Stra V 1, Stra U 1/1, Stra U 1/2	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	åmeis	å m ei s	omeis	o m ei s	1
82	Hag N 11	III_6_0025	Bettweiler (Bettwiller), Bettweiler	7.17993, 48.88617	ämäs	ä m ä s	ämäse	ä m ä s e	1
83	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	åmais	å m a i s	omeise	o m ei s e	3
84	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	omeise	o m ei s e	omais	o m a i s	2
85	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	ämäs	ä m ä s	emäs	e m ä s	1
86	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	ǟmäse	ǟ m ä s e	ämäse	ä m ä s e	1
87	Hag F 1	III_5_0037	Dehlingen, Dehlingen	7.19095, 48.98016	ämäs	ä m ä s	ämeis	ä m ei s	2
88	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	ōmeisa	ō m ei s a	omeise	o m ei s e	2
89	Hag N 10	III_6_0024	Dürstel (Durstel), Durstel	7.19745, 48.89156	emäse	e m ä s e	ämäs	ä m ä s	2
90	Co N13	III_15_0029	Enschingen (Saint-Bernard), Enschingen	7.20293, 47.67101	omeise	o m ei s e	ameise	a m ei s e	1
91	Co k 11	III_13_0027	Sulzbach (Soultzbach-Les-Bains), Sulzbach	7.20324, 48.03797	ameis	a m ei s	omeis	o m ei s	1
