	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	bāramsle	b ā r a m s l e	bäramsle	b ä r a m s l e	1
1	Co X 1	III_16_0097	Hägelberg, Hägelberg	7.72778, 47.66132	bǟramslä	b ǟ r a m s l ä	bäramslä	b ä r a m s l ä	1
2	Co X 11	III_16_0107, III_16_0108	Wiechs, Wiechs	7.81236, 47.63655	bäramsle	b ä r a m s l e	bäramseln	b ä r a m s e l n	2
3	Co Y 15	III_16_0122	Eichen, Eichen	7.83816, 47.6471	bäramsle	b ä r a m s l e	bäramsel	b ä r a m s e l	2
4	Co R13	III_15_0085	Raitbach, Raitbach	7.86089, 47.68233	bäramslä	b ä r a m s l ä	bäramsle	b ä r a m s l e	1
5	Co Y 7	III_16_0119	Hütten, Hütten	7.94873, 47.62902	bäramsela	b ä r a m s e l a	bäramsele	b ä r a m s e l e	1
6	Co Ya 2	III_17_0051, III_17_0048, III_17_0053, III_17_0052, III_17_0054, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	bäramsle	b ä r a m s l e	bäramsele	b ä r a m s e l e	1
7	Co Y 6	III_16_0123	Altenschwand, Altenschwand	7.976, 47.63697	bǟramselä	b ǟ r a m s e l ä	bäramsele	b ä r a m s e l e	2
8	Co Y 8	III_16_0124	Rickenbach, Rickenbach	7.97772, 47.61891	bāramsele	b ā r a m s e l e	beramsele	b e r a m s e l e	1
9	TUTT Sa1/2	III_17_0057	Rippolingen und Harpolingen, Rippolingen	7.9892, 47.57843	bäramsle	b ä r a m s l e	bäramsel	b ä r a m s e l	2
10	Co Y 5	III_16_0113	Niedergebisbach, Niedergebisbach	7.99251, 47.65054	bäramsele	b ä r a m s e l e	bäramsel	b ä r a m s e l	1
11	TUTT Sa1	III_17_0056	Rippolingen und Harpolingen, Harpolingen	8.00062, 47.57274	bäramsle	b ä r a m s l e	bäramsel	b ä r a m s e l	2
12	TUTT S3	III_15_0087	Herrischried, Herrischried	8.00161, 47.66587	bärhamsele	b ä r h a m s e l e	bäramseli	b ä r a m s e l i	2
13	TUTT L6	III_15_0091, III_15_0090	Grossherrischwand, Grossherrischwand	8.01017, 47.6797	bärhomsele	b ä r h o m s e l e	beramsele	b e r a m s e l e	3
14	TUTT L5	III_15_0094	Wehrhalden, Wehrhalden	8.01061, 47.70213	berhamsele	b e r h a m s e l e	bäramsel	b ä r a m s e l	3
