	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	MH C3	II_58_0110	Scheidental, Scheidental	9.15106, 49.50744	petzäimetz	p e tz ä i m e tz	petzäimeds	p e tz ä i m e d s	2
1	MH v1	II_57_0140	Gottersdorf, Gottersdorf	9.31064, 49.63751	petzemetz	p e tz e m e tz	petzemes	p e tz e m e s	2
2	MH w1	II_90_0001	Reichenhardsachsen, Reichenhardsachsen	9.34508, 49.64003	pätzemetz	p ä tz e m e tz	petzemetz	p e tz e m e tz	1
3	MH o8/2, MH o8/1	II_89_0005	Ebenheid, Ebenheid	9.36095, 49.7158	pätsemes	p ä t s e m e s	petzemes	p e tz e m e s	2
4	MH o1	II_89_0016	Rauenberg, Rauenberg	9.38407, 49.74117	pätzemetz	p ä tz e m e tz	pätzemes	p ä tz e m e s	2
5	MH o2	II_89_0006	Wessental, Wessental	9.41215, 49.73004	pfetsemes	p f e t s e m e s	pfetzemes	p f e tz e m e s	1
6	MH w4	II_90_0005	Höpfingen, Höpfingen	9.42753, 49.60185	pfetzemes	p f e tz e m e s	betzemes	b e tz e m e s	2
7	MH f3	II_88_0014	Grünenwört, Grünenwört	9.47135, 49.77438	pfätzemes	p f ä tz e m e s	pfetzeämes	p f e tz e ä m e s	2
8	MH o6	II_89_0008	Vockenrot, Vockenrot	9.48521, 49.74816	pfetzemes	p f e tz e m e s	pfetzeimese	p f e tz ei m e s e	2
9	MH o8/2, MH o8/1	II_89_0005	Ebenheid, Ebenheid	9.36095, 49.7158	pädsemedde	p ä d s e m e dd e	petzemes	p e tz e m e s	6
10	MH o8/2, MH o8/1	II_89_0005	Ebenheid, Ebenheid	9.36095, 49.7158	pätsemes	p ä t s e m e s	petzemes	p e tz e m e s	2
