	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	TUTT M11	III_15_0126	Berau, Berau	8.25823, 47.69472	wurmmaisle	w u r mm a i s l e	wurmmeisle	w u r mm ei s l e	1
1	TUTT M12	III_15_0117	Aichen, Aichen	8.26226, 47.67494	wurmmasile	w u r mm a s i l e	wurmmeisle	w u r mm ei s l e	3
2	TUTT M7	III_15_0115	Hürrlingen, Hürrlingen	8.28505, 47.72465	wurmmeisle	w u r mm ei s l e	wurmeisle	w u r m ei s l e	1
3	TUTT M8	III_15_0116	Riedern im Wald, Riedern	8.29113, 47.71786	wurmmeisle	w u r mm ei s l e	wurmeisle	w u r m ei s l e	1
4	TUTT M6	III_14_0180, III_14_0181	Birkendorf, Birkendorf	8.3126, 47.74971	wūrmaisle	w ū r m a i s l e	wurmeisle	w u r m ei s l e	2
5	TUTT T11	III_15_0118	Detzeln, Detzeln	8.32062, 47.66643	wurmaisle	w u r m a i s l e	wurmmeisle	w u r mm ei s l e	2
6	TUTT Ta1	III_16_0156	Reckingen, Reckingen	8.33116, 47.57477	wurmmaisele	w u r mm a i s e l e	wurmaisle	w u r m a i s l e	2
7	TUTT F4	III_36_0005	Wittlekoffen, Wittlekoffen	8.34635, 47.78326	wormaisle	w o r m a i s l e	wurmeisle	w u r m ei s l e	2
8	TUTT U4	III_38_0006	Horheim, Horheim	8.34737, 47.64854	wurmaisle	w u r m a i s l e	wurmeisle	w u r m ei s l e	1
9	TUTT F3	III_36_0006	Wellendingen, Wellendingen	8.35185, 47.79705	wurmaisle	w u r m a i s l e	wurmeisle	w u r m ei s l e	1
10	TUTT N4	III_37_0001	Obermettingen, Obermettingen	8.35956, 47.7213	wurm₌meisle	w u r m ₌ m ei s l e	wurmeisle	w u r m ei s l e	2
11	TUTT F6	III_36_0014	Bettmaringen, Bettmaringen	8.36102, 47.75368	wurmmeislå	w u r mm ei s l å	wurmeisle	w u r m ei s l e	2
12	TUTT U14	III_38_0009, III_38_0008	Küßnach, Küssnach	8.36574, 47.59396	wurmmaisle	w u r mm a i s l e	wurmeisle	w u r m ei s l e	2
13	TUTT Ua1	III_38_0083	Lienheim, Lienheim	8.37469, 47.5721	wurmeisele	w u r m ei s e l e	wurmeisle	w u r m ei s l e	1
14	TUTT F14	III_36_0007	Brunnadern, Brunnadern	8.38083, 47.79495	wūrmmaisle	w ū r mm a i s l e	wurmeisle	w u r m ei s l e	3
15	TUTT N6	III_37_0006	Obereggingen, Obereggingen	8.38631, 47.70175	wurmaisle	w u r m a i s l e	wurmeisle	w u r m ei s l e	1
16	TUTT N3	III_37_0004	Mauchen, Mauchen	8.39032, 47.73994	wurmmeisle	w u r mm ei s l e	wurmeisle	w u r m ei s l e	1
17	TUTT U2	III_38_0001	Rechberg, Rechberg	8.39987, 47.6501	wurmmaisle	w u r mm a i s l e	wurmeisel	w u r m ei s e l	4
18	TUTT F13	III_36_0010, III_36_0009, III_36_0008	Dillendorf, Dillendorf	8.40272, 47.79846	wurmeisle	w u r m ei s l e	wurmeisele	w u r m ei s e l e	1
