	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	licht	l i ch t	liecht	l ie ch t	1
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	lïchd	l ï ch d	licht	l i ch t	2
2	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	liacht	l i a ch t	liecht	l ie ch t	1
3	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	lichd	l i ch d	liecht	l ie ch t	2
4	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	līcht	l ī ch t	licht	l i ch t	1
5	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	lichd	l i ch d	licht	l i ch t	1
6	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	līcht	l ī ch t	liecht	l ie ch t	2
7	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	licht	l i ch t	līcht	l ī ch t	1
8	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	licht	l i ch t	lichd	l i ch d	1
9	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	licht	l i ch t	liecht	l ie ch t	1
10	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	liacht	l i a ch t	licht	l i ch t	1
11	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	licht	l i ch t	liecht	l ie ch t	1
12	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	lischd	l i sch d	licht	l i ch t	2
13	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	licht	l i ch t	li̠cht	l i ̠ ch t	1
14	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	liecht	l ie ch t	leiche	l ei ch e	3
15	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	liacht	l i a ch t	liecht	l ie ch t	1
16	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	lichd	l i ch d	licht	l i ch t	1
17	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	līcht	l ī ch t	licht	l i ch t	1
18	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	licha	l i ch a	līcha	l ī ch a	1
19	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	lich	l i ch	licht	l i ch t	1
20	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	licht	l i ch t	liecht	l ie ch t	1
21	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	liecht	l ie ch t	licht	l i ch t	1
22	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	līcht	l ī ch t	lîcht	l î ch t	1
23	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	lichd	l i ch d	licht	l i ch t	1
24	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	lichȧ	l i ch ȧ	licha	l i ch a	1
25	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	lĭcha	l ĭ ch a	licha	l i ch a	1
26	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	liicht	l ii ch t	liich	l ii ch	1
