	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	dīssel	d ī ss e l	dissel	d i ss e l	1
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	dīssl	d ī ss l	dissel	d i ss e l	2
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	dissel	d i ss e l	deichsel	d ei ch s e l	3
3	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	dissl	d i ss l	dissel	d i ss e l	1
4	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	tissel	t i ss e l	dissel	d i ss e l	1
5	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	dissel	d i ss e l	dichel	d i ch e l	2
6	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	dissel	d i ss e l	dessel	d e ss e l	1
7	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	dissel	d i ss e l	dixel	d i x e l	2
8	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	tissel	t i ss e l	dissel	d i ss e l	1
9	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	dissel	d i ss e l	di̠ssel	d i ̠ ss e l	1
10	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	diesl	d ie s l	dissl	d i ss l	1
11	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	tissel	t i ss e l	dissel	d i ss e l	1
12	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	disel	d i s e l	dissel	d i ss e l	1
13	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	disl	d i s l	dissel	d i ss e l	2
14	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	dissel	d i ss e l	tissel	t i ss e l	1
15	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	dissel	d i ss e l	tissl	t i ss l	2
16	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	ti̍ssel	t i ̍ ss e l	tissel	t i ss e l	1
17	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	dissl	d i ss l	dissel	d i ss e l	1
18	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	dissel	d i ss e l	däigsl	d ä i g s l	3
19	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	dischel	d i sch e l	tissel	t i ss e l	3
20	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	disel	d i s e l	dissel	d i ss e l	1
21	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	dissel	d i ss e l	dissl	d i ss l	1
