	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	agerschta	a g e r sch t a	agerschte	a g e r sch t e	1
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	agerschde	a g e r sch d e	agerste	a g e r s t e	3
2	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	ägerschte	ä g e r sch t e	agaschte	a g a sch t e	3
3	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	agerschta	a g e r sch t a	agersta	a g e r s t a	2
4	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	ägerschd	ä g e r sch d	agerscht	a g e r sch t	2
5	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	agerschta	a g e r sch t a	ackersta	a ck e r s t a	4
6	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	agerschta	a g e r sch t a	agerscht	a g e r sch t	1
7	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	āgerschta	ā g e r sch t a	agrsta	a g r s t a	4
8	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	āgerschte	ā g e r sch t e	a̠gerschde	a ̠ g e r sch d e	3
9	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	āgerstä	ā g e r s t ä	aagerschtă	aa g e r sch t ă	5
10	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	agerschta	a g e r sch t a	agersta	a g e r s t a	2
11	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	agerstä	a g e r s t ä	agerschta	a g e r sch t a	3
12	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	aderste	a d e r s t e	agerste	a g e r s t e	1
13	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	agerschta	a g e r sch t a	agerste	a g e r s t e	3
14	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	agerschde	a g e r sch d e	āgerschte	ā g e r sch t e	2
15	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	agerschta	a g e r sch t a	agerste	a g e r s t e	3
16	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	agerschte	a g e r sch t e	agerste	a g e r s t e	2
17	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	āgerschta	ā g e r sch t a	agersta	a g e r s t a	3
18	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	agerschte	a g e r sch t e	aagerstĕr	aa g e r s t ĕ r	5
19	Co T11	III_16_0019	Mansbach (Manspach), Mansbach	7.10508, 47.6176	agerschda	a g e r sch d a	agersta	a g e r s t a	3
20	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	agerschta	a g e r sch t a	agersta	a g e r s t a	2
21	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	âgâstâ	â g â s t â	agesta	a g e s t a	3
22	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	agersta	a g e r s t a	āgerschdaͤ	ā g e r sch d a ͤ	5
23	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	aadrschda	aa d r sch d a	agesta	a g e s t a	6
24	Co E8	III_14_0095	Alttann (Vieux-Thann), Alttann	7.12206, 47.80704	ägersta	ä g e r s t a	agerschta	a g e r sch t a	3
25	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	āgerschta	ā g e r sch t a	agerschta	a g e r sch t a	1
26	Co E10	III_14_0098	Oberasbach (Aspach-Le-Haute), Oberaspach	7.13352, 47.77692	agerschta	a g e r sch t a	agrschta	a g r sch t a	1
27	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	agasta	a g a s t a	agersta	a g e r s t a	2
28	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	āgerschta	ā g e r sch t a	ähgerschta	ä h g e r sch t a	2
29	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	agrschta	a g r sch t a	egerste	e g e r s t e	5
30	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	āgerschdā	ā g e r sch d ā	ågerschdā	å g e r sch d ā	1
31	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	agerschter	a g e r sch t e r	ackerschta	a ck e r sch t a	4
32	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	agrschta	a g r sch t a	agerschda	a g e r sch d a	2
33	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	agersta	a g e r s t a	agerschte	a g e r sch t e	3
34	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	agerschde	a g e r sch d e	agerschda	a g e r sch d a	1
35	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	agörschda	a g ö r sch d a	agerschta	a g e r sch t a	2
36	Co Ua 11	III_17_0031	Pfetterhausen (Pfetterhouse), Pfetterhausen	7.16635, 47.50105	agersta	a g e r s t a	agerste	a g e r s t e	1
37	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	ägeschte	ä g e sch t e	āgeste	ā g e s t e	3
38	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	ageschde	a g e sch d e	ageschda	a g e sch d a	1
39	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	āgerscht	ā g e r sch t	aagrscht	aa g r sch t	3
40	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	ågerscht	å g e r sch t	agerschd	a g e r sch d	2
41	Co F1	III_14_0101	Uffholz, Uffholz	7.17804, 47.81981	agrschte	a g r sch t e	agerschtā	a g e r sch t ā	2
42	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	ågerschte	å g e r sch t e	agerschta	a g e r sch t a	2
43	Co Ua 5	III_17_0030	Largitzen, Largitzen	7.1873, 47.56163	agerschte	a g e r sch t e	ägerste	ä g e r s t e	3
44	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	āgrschta	ā g r sch t a	agrschta	a g r sch t a	1
45	Co r 4	III_13_0109	Winzfelden (Wintzfelden), Winzfelden	7.19806, 47.97442	agerschta	a g e r sch t a	agarscht	a g a r sch t	2
46	Co y 13, Co y 13, 14, Co y 5, Co y 14	III_14_0027	Gebweiler (Guebwiller), Gebweiler (Guebwiller) , Gebweiler	7.21078, 47.9095	agerschda	a g e r sch d a	agerschta	a g e r sch t a	1
47	Co U 6	III_16_0028	Karspach (Carspach), Karspach	7.21307, 47.61448	agerschta	a g e r sch t a	agerste	a g e r s t e	3
48	Co y 6	III_14_0021	Berrweiler (Berrwiller), Berrweiler	7.21533, 47.8484	āgerscht	ā g e r sch t	agerscht	a g e r sch t	1
49	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	agerschta	a g e r sch t a	agrsta	a g r s t a	3
50	Co r 2	III_13_0104	Osenbach, Osenbach	7.21903, 47.98623	agrscht	a g r sch t	egrscht	e g r sch t	1
51	Co U 12	III_16_0021, III_16_0020	Hirzbach (Hirtzbach), Hirzbach	7.22017, 47.59449	agerschte	a g e r sch t e	egerschte	e g e r sch t e	1
52	Co Ua 6	III_17_0013	Bisel, Bisel	7.22032, 47.53456	ägerschda	ä g e r sch d a	agersta	a g e r s t a	4
53	Co N11	III_15_0017	Galfingen (Galfingue), Galfingen	7.22481, 47.70563	agĕrschtĕ	a g ĕ r sch t ĕ	agerschte	a g e r sch t e	2
