	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	åtzel	å tz e l	atzel	a tz e l	1
1	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	åzzel	å zz e l	atzel	a tz e l	2
2	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	ātzel	ā tz e l	atzel	a tz e l	1
3	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	åzel	å z e l	atzel	a tz e l	2
4	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	åtzel	å tz e l	atzel	a tz e l	1
5	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	åtzl	å tz l	atzel	a tz e l	2
6	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	åtzel	å tz e l	atzel	a tz e l	1
7	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	åtzel	å tz e l	atzel	a tz e l	1
8	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	åtzel	å tz e l	atzel	a tz e l	1
9	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	ātzel	ā tz e l	âtzel	â tz e l	1
10	Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	atsel	a t s e l	ătzel	ă tz e l	2
11	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen), Völlerdingen	7.14098, 48.9622	atzel	a tz e l	azel	a z e l	1
12	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	atzel	a tz e l	aotzel	a o tz e l	1
13	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	atzl	a tz l	atzel	a tz e l	1
14	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	åtzel	å tz e l	atsil	a t s i l	3
15	Hag F 6	III_5_0041	Mackweiler (Mackwiller), Mackweiler	7.17502, 48.9258	åtsel	å t s e l	atzel	a tz e l	2
16	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	atzel	a tz e l	azel	a z e l	1
17	Hag N 12	III_6_0023	Aßweiler (Asswiller), Assweiler	7.2198, 48.88035	åtzel	å tz e l	atzel	a tz e l	1
18	Hag F 2	III_5_0042	Bütten (Butten), Bütten	7.2205, 48.97095	atzle	a tz l e	atzel	a tz e l	2
19	Co k 8	III_13_0013	Walbach, Walbach	7.22416, 48.06257	ātzel	ā tz e l	atzel	a tz e l	1
20	Hag N 15	III_6_0031	Lohr, Lohr	7.24351, 48.85748	åtzel	å tz e l	atzel	a tz e l	1
21	Hag U 5	III_7_0032	Pfalzweier (-weyer), Pfalzweier	7.25813, 48.80543	åtzel	å tz e l	atzel	a tz e l	1
22	Co c 1	III_12_0081	Kaysersberg, Kaysersberg	7.2617, 48.13853	åtzl	å tz l	atzel	a tz e l	2
23	Hag U 3	III_6_0033	Schönburg (Schoenbourg), Schönburg	7.26823, 48.83392	åtzel	å tz e l	ātzel	ā tz e l	1
24	Co c 6	III_12_0084	Niedermorschweiher, Niedermorschweiher	7.27596, 48.09972	åtzel	å tz e l	atzel	a tz e l	1
25	Hag U 2	III_7_0034	Graufthal, Grauftal	7.28092, 48.81935	ätzel	ä tz e l	atzel	a tz e l	1
26	Hag U 1	III_7_0033	Etschburg (Eschbourg), Eschburg	7.29591, 48.81267	å̄tzel	å ̄ tz e l	atzel	a tz e l	2
27	Stra O 4	III_11_0086	Wanzel (La Vancelle), Wanzel	7.30201, 48.28406	åtzel	å tz e l	aotzel	a o tz e l	2
28	Stra G 6	III_11_0005	Weiler (Villé), Weiler, ortsteil Erlenbach	7.30273, 48.34253	åtzel	å tz e l	atzel	a tz e l	1
29	Co c 9	III_12_0079	Sigolsheim, Sigolsheim	7.3035, 48.13267	oͣtzel	o ͣ tz e l	oatzel	o a tz e l	1
30	Hag N 1	III_5_0049	Puberg, Puberg	7.31461, 48.91322	atzel	a tz e l	ātzel	ā tz e l	1
31	Stra V 6	III_12_0006	Hunaweier (Hunawihr), Hunaweier	7.31671, 48.18091	åtzel	å tz e l	atsel	a t s e l	2
32	Stra V 5	III_12_0007	Zellenberg, Zellenberg	7.31874, 48.17063	atzel	a tz e l	atzl	a tz l	1
33	Co c 13	III_12_0077, III_12_0076	Mittelweier, Mittelweier	7.32094, 48.14982	åtzl	å tz l	atzel	a tz e l	2
