	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Stra V 3	III_12_0003	Tannenkirch (Thannenkirch), Tannenkirch	7.30397, 48.22949	kāsatzel	k ā s a tz e l	kaasatzel	k aa s a tz e l	2
1	Stra t 9	III_10_0014	Heiligenberg, Heiligenberg	7.3916, 48.53799	kāsatzel	k ā s a tz e l	kasozel	k a s o z e l	3
2	Stra A 5, Stra H 6	III_10_0094	Bernhardsweiler (Bernardvillé), Bernhardsweiler	7.40011, 48.36706	kasnātsel	k a s n ā t s e l	kasnatzel	k a s n a tz e l	2
3	Stra t 10	III_10_0017	Gressweiler, Gressweiler	7.43186, 48.53571	kasatzel	k a s a tz e l	kaasatzel	k aa s a tz e l	1
4	Stra W 6	III_12_0015, III_12_0016	Illhäusern (Illhaeusern), Illhäusern	7.43355, 48.18466	kasåtzel	k a s å tz e l	kasâtzel	k a s â tz e l	1
5	Stra t 1	III_10_0005	Balbronn, Balbronn	7.43736, 48.58406	kasåtzel	k a s å tz e l	käsatzel	k ä s a tz e l	2
6	Stra t 11	III_10_0021	Rosenweiler, Rosenweiler	7.4409, 48.50587	kåsnåzl	k å s n å z l	käsatzel	k ä s a tz e l	4
7	Stra m 9/2	III_9_0009	Wasselnheim (Wasselonne), Wasselnheim	7.44724, 48.63718	kasatzel	k a s a tz e l	käsatzel	k ä s a tz e l	1
8	Stra H 2/3	III_11_0013	Barr, Barr	7.45244, 48.40651	kaaso͜atzl	k aa s o ͜ a tz l	kâsâtzel	k â s â tz e l	6
9	Stra t 2/1, Stra t 2/2	III_10_0008	Bergbieten, Bergbieten	7.45869, 48.57632	kasatzel	k a s a tz e l	kasåtzel	k a s å tz e l	1
10	Stra t 3	III_10_0009	Dangolsheim, Dangolsheim	7.46645, 48.57212	kasazel	k a s a z e l	kasatzel	k a s a tz e l	1
11	Stra H 1	III_11_0012	Gertweiler (Gertwiller), Gertweiler	7.46795, 48.4111	kāsātzel	k ā s ā tz e l	kasatzel	k a s a tz e l	2
12	Stra A 1/3, Stra A 1/2, Stra A 1/1	III_10_0087	Rosheim, Rosheim	7.46905, 48.49622	kanåtzel	k a n å tz e l	kasnazel	k a s n a z e l	3
13	Stra H 10	III_11_0015	St. Peter (Saint-Pierre), St. Peter	7.47022, 48.38171	kāsatzel	k ā s a tz e l	kasatzel	k a s a tz e l	1
