	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	fladdermüß	f l a dd e r m ü ß	fladermüß	f l a d e r m ü ß	1
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	fladermus	f l a d e r m u s	flädermus	f l ä d e r m u s	1
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	fladermüs	f l a d e r m ü s	fledermaus	f l e d e r m a u s	3
3	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	fladdemus	f l a dd e m u s	fladdermus	f l a dd e r m u s	1
4	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	fladermus	f l a d e r m u s	fladermüs	f l a d e r m ü s	1
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	fladrmǖs	f l a d r m ǖ s	fladermüs	f l a d e r m ü s	2
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	fladdermüs	f l a dd e r m ü s	fledermaus	f l e d e r m a u s	4
7	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	fläddermus	f l ä dd e r m u s	flädermus	f l ä d e r m u s	1
8	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	fladermuus	f l a d e r m uu s	fläddermus	f l ä dd e r m u s	3
9	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	fläddermüs	f l ä dd e r m ü s	fleddermüs	f l e dd e r m ü s	1
10	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	fladdermus	f l a dd e r m u s	fladdermüs	f l a dd e r m ü s	1
11	Co w 3	III_14_0006	Hüseren-Weserling (Huseren-Weserling), Hüsern-Weserling	6.98836, 47.88519	flahdermüs	f l a h d e r m ü s	fledermaus	f l e d e r m a u s	4
12	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	fladermüß	f l a d e r m ü ß	fledermaus	f l e d e r m a u s	4
