	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	gogummera	g o g u mm e r a	gugummer	g u g u mm e r	2
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	gagūmmera	g a g ū mm e r a	gagumara	g a g u m a r a	3
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	gogomera	g o g o m e r a	gugummere	g u g u mm e r e	4
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	gugummarů	g u g u mm a r ů	gagummere	g a g u mm e r e	3
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	gagumra	g a g u m r a	gugumere	g u g u m e r e	3
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	gugummere	g u g u mm e r e	gokummra	g o k u mm r a	4
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	gugumera	g u g u m e r a	gugumere	g u g u m e r e	1
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	gugumra	g u g u m r a	gogummera	g o g u mm e r a	3
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	gugumär	g u g u m ä r	gugumere	g u g u m e r e	2
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	gugummerä	g u g u mm e r ä	gugummer	g u g u mm e r	1
11	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	gugummer	g u g u mm e r	gegummer	g e g u mm e r	1
12	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	gugumer	g u g u m e r	gugumra	g u g u m r a	2
13	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	gago̍mr	g a g o ̍ m r	gugummer	g u g u mm e r	4
14	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	gugumara	g u g u m a r a	gugummer	g u g u mm e r	3
15	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	gogumara	g o g u m a r a	gogummera	g o g u mm e r a	2
16	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	kokommra	k o k o mm r a	coͣcommra	c o ͣ c o mm r a	3
17	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	gůgumer	g ů g u m e r	gagumr	g a g u m r	2
18	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	gugumera	g u g u m e r a	kukumer	k u k u m e r	3
19	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	gogummer	g o g u mm e r	gugummer	g u g u mm e r	1
20	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	guge̠ͧmmer	g u g e ̠ ͧ mm e r	gagommer	g a g o mm e r	4
21	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
22	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	gāgummere	g ā g u mm e r e	gugummer	g u g u mm e r	2
23	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	gagummer	g a g u mm e r	gogummer	g o g u mm e r	1
24	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	gugummerå	g u g u mm e r å	gugummră	g u g u mm r ă	2
25	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	gugummra	g u g u mm r a	gugumra	g u g u m r a	1
26	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	gugumra	g u g u m r a	gugummara	g u g u mm a r a	2
27	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	gāgumer	g ā g u m e r	gagummer	g a g u mm e r	2
28	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	gugumere	g u g u m e r e	gagumra	g a g u m r a	3
29	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	gegumer	g e g u m e r	gegummer	g e g u mm e r	1
30	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	gugummr	g u g u mm r	gŭgŭmmara	g ŭ g ŭ mm a r a	4
31	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	gugumära	g u g u m ä r a	gugummer	g u g u mm e r	3
32	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	gāgumarra	g ā g u m a rr a	gogŭmmere	g o g ŭ mm e r e	5
33	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	gogumer	g o g u m e r	gāgummer	g ā g u mm e r	2
34	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	gogumerä	g o g u m e r ä	gagumra	g a g u m r a	3
35	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	gogummer	g o g u mm e r	gogumma	g o g u mm a	2
36	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	gågůmmer	g å g ů mm e r	gogummer	g o g u mm e r	2
37	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	gugummera	g u g u mm e r a	gukummra	g u k u mm r a	2
38	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	gegumer	g e g u m e r	gagummer	g a g u mm e r	2
39	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	gogummer	g o g u mm e r	gagummer	g a g u mm e r	1
40	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	gugumere	g u g u m e r e	gugummer	g u g u mm e r	2
41	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	gegummer	g e g u mm e r	gugumer	g u g u m e r	2
42	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	gukummer	g u k u mm e r	gugumer	g u g u m e r	2
43	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	gagumara	g a g u m a r a	gakummra	g a k u mm r a	2
44	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	gancommere	g a n c o mm e r e	concommere	c o n c o mm e r e	2
45	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	gā̊gummara	g ā ̊ g u mm a r a	gȃgummara	g ȃ g u mm a r a	2
