	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Ma h1/2	II_59_0044, II_59_0045, II_59_0040, II_59_0048, II_59_0050, II_59_0052, II_59_0051, II_59_0047, II_59_0059, II_59_0062, II_59_0054, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	gummer	g u mm e r	gummere	g u mm e r e	1
1	MH C3	II_58_0110	Scheidental, Scheidental	9.15106, 49.50744	gummere	g u mm e r e	gum̄ern	g u m ̄ e r n	2
2	MH C4	II_58_0116	Schloßau, Schloßau	9.15226, 49.53935	gummere	g u mm e r e	gummorn	g u mm o r n	2
3	MH D1	II_58_0106	Mörschenhardt, Mörschenhardt	9.17211, 49.56893	gummern	g u mm e r n	gumman	g u mm a n	2
4	MH M8	II_59_0113	Muckental, Muckental	9.20231, 49.42474	gummer	g u mm e r	gummern	g u mm e r n	1
5	MH D3	II_58_0108	Mudau, Mudau	9.20615, 49.53336	gummern	g u mm e r n	gummŏrn	g u mm ŏ r n	1
6	MH M1	II_59_0120	Einbach, Waldhausen/Einbach	9.24238, 49.48477	gummern	g u mm e r n	gummer	g u mm e r	1
7	MH M11	II_59_0118	Waldhausen, Waldhausen	9.25731, 49.46733	gummere	g u mm e r e	gummern	g u mm e r n	1
8	MH D9	II_57_0143	Hornbach (Hettingenbeuern), Hornbach	9.29012, 49.591	gummer	g u mm e r	gummern	g u mm e r n	1
9	MH v2	II_57_0138	Rippberg, Rippberg	9.29762, 49.62253	gummere	g u mm e r e	gummern	g u mm e r n	1
10	MH v1	II_57_0140	Gottersdorf, Gottersdorf	9.31064, 49.63751	gummere	g u mm e r e	gummern	g u mm e r n	1
11	MH w1	II_90_0001	Reichenhardsachsen, Reichenhardsachsen	9.34508, 49.64003	gummern	g u mm e r n	gummere	g u mm e r e	1
12	MH E7	II_90_0004	Walldürn, Walldürn	9.36793, 49.58322	gummern	g u mm e r n	gummer	g u mm e r	1
13	MH E3	II_91_0002	Rinschheim, Rinschheim	9.39249, 49.51369	gummer	g u mm e r	gummern	g u mm e r n	1
14	MH o2	II_89_0006	Wessental, Wessental	9.41215, 49.73004	kummern	k u mm e r n	kumer	k u m e r	2
15	MH w2	II_90_0006	Dornberg, Dornberg	9.42843, 49.62542	gummern	g u mm e r n	gummere	g u mm e r e	1
16	MH o3	II_89_0012	Sonderriet, Sonderriet	9.43938, 49.71753	kummern	k u mm e r n	gummern	g u mm e r n	1
17	MH o7	II_89_0007	Nassig, Nassig	9.45146, 49.73582	kumern	k u m e r n	kummern	k u mm e r n	1
18	MH f3	II_88_0014	Grünenwört, Grünenwört	9.47135, 49.77438	kummern	k u mm e r n	gummera	g u mm e r a	2
19	MH o6	II_89_0008	Vockenrot, Vockenrot	9.48521, 49.74816	kummern	k u mm e r n	gummern	g u mm e r n	1
20	MH o5	II_89_0011, II_89_0010, II_89_0009	Sachsenhausen, Sachsenhausen	9.49147, 49.73223	kummårn	k u mm å r n	kummarn	k u mm a r n	1
21	Ma h1/2	II_59_0044, II_59_0045, II_59_0040, II_59_0048, II_59_0050, II_59_0052, II_59_0051, II_59_0047, II_59_0059, II_59_0062, II_59_0054, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	gummer	g u mm e r	gummern	g u mm e r n	1
22	Ma h1/2	II_59_0044, II_59_0045, II_59_0040, II_59_0048, II_59_0050, II_59_0052, II_59_0051, II_59_0047, II_59_0059, II_59_0062, II_59_0054, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	gummer	g u mm e r	gummere	g u mm e r e	1
23	MH o5	II_89_0011, II_89_0010, II_89_0009	Sachsenhausen, Sachsenhausen	9.49147, 49.73223	kummårn	k u mm å r n	kummern	k u mm e r n	1
24	MH o5	II_89_0011, II_89_0010, II_89_0009	Sachsenhausen, Sachsenhausen	9.49147, 49.73223	kummårn	k u mm å r n	kummarn	k u mm a r n	1
