	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Stra p 3	III_9_0078	Honau, Honau	7.87132, 48.64025	gurk	g u r k	gurg	g u r g	1
1	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	gůrgä	g ů r g ä	gurke	g u r k e	3
2	Co R11	III_15_0083	Gersbach, Gersbach	7.93271, 47.69725	gurge	g u r g e	gurgä	g u r g ä	1
3	TÜB a3	III_7_0119	Schwarzach (bei Bühl), Schwarzach	8.04423, 48.74717	gūrg	g ū r g	gurge	g u r g e	2
4	TUTT L/8,9	III_15_0098	Hierbach - Wilfingen, Wilfingen	8.09123, 47.686	gurke	g u r k e	gūrge	g ū r g e	2
5	TUTT w3	III_14_0072	Bärental, Bärental	8.0952, 47.86975	gurke	g u r k e	gurge	g u r g e	1
6	TÜB a7	III_8_0105	Balzhofen, Balzhofen	8.09765, 48.71247	gurk	g u r k	gurke	g u r k e	1
7	KST S14	III_7_0113	Hügelsheim, Hügelsheim	8.10904, 48.79654	gurge	g u r g e	gurg	g u r g	1
8	TÜB a10	III_8_0100	Steinbach, Steinbach	8.16038, 48.72843	gürk	g ü r k	gurk	g u r k	1
9	TÜB E2	III_11_0080	Seebach, Seebach	8.20278, 48.57466	gurk	g u r k	gurke	g u r k e	1
10	KST E8	III_5_0129	Illingen, Illingen	8.20923, 48.9349	gurig	g u r i g	gurik	g u r i k	1
11	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	gurk	g u r k	gurke	g u r k e	1
12	KST E4	III_5_0136, III_5_0137, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	gurk	g u r k	gürk	g ü r k	1
13	TÜB M1	III_11_0149	Sankt Roman, St. Roman	8.2924, 48.33187	gurk	g u r k	gurke	g u r k e	1
14	KST M5	III_6_0103	Waldprechtsweier, Waldprechtsweier	8.33173, 48.8612	gurje	g u r j e	gurik	g u r i k	2
15	KST N1	III_6_0101, III_6_0100, III_6_0102	Malsch, Malsch	8.3345, 48.88047	gurje	g u r j e	gurk	g u r k	2
16	TÜB k1	III_26_0001	Raumünzach, Raumänzach	8.34869, 48.63918	gurk	g u r k	gurge	g u r g e	2
17	TÜB F1	III_29_0001	Kaltbrunn, Kaltbrunn	8.35246, 48.34621	gurge	g u r g e	gurke	g u r k e	1
18	TÜB c5	III_25_0002	Langenbrand, Langenbrand	8.36334, 48.70441	gork	g o r k	gurk	g u r k	1
19	TÜB N1	III_30_0007	Schenkenzell, Schenkenzell	8.37253, 48.31105	gurge	g u r g e	gurk	g u r k	2
20	KST F2	III_22_0001	Bulach, Bulach	8.38244, 48.9868	gork	g o r k	gurg	g u r g	2
21	KST F12	III_22_0003	Ettlingenweier, Ettlingenweier	8.38589, 48.92887	gurge	g u r g e	gurke	g u r k e	1
22	KST r4	III_20_0006	Leopoldshafen, Leopoldshafen	8.3923, 49.09933	gurig	g u r i g	gurk	g u r k	2
23	KST r1	III_20_0002	Liedolsheim, Liedolsheim	8.41451, 49.16221	guak	g u a k	gurk	g u r k	1
24	Ma f1/2	II_58_0061	Mannheim-Sandhofen, Mannheim-Sandhofen, Mannheim-Sandhofen	8.44789, 49.5433	gorge	g o r g e	gork	g o r k	2
25	TUTT k1	III_33_0069	Vilingen, Villingen	8.45901, 48.0567	gurk	g u r k	gurge	g u r g e	2
26	KST F9	III_22_0008	Palmbach, Palmbach	8.48266, 48.94683	gurk	g u r k	gurg	g u r g	1
27	KST d2	III_18_0009, III_18_0008	Altlußheim, Altlussheim	8.49951, 49.30106	gurigä	g u r i g ä	guik	g u i k	3
28	MH Q7	II_60_0033	Ketsch, Ketsch	8.52432, 49.3678	gōrgä	g ō r g ä	gork	g o r k	3
29	KST z6	III_21_0014, III_21_0015	Berghausen, Berghausen	8.52712, 49.00389	gurig	g u r i g	gurg	g u r g	1
30	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	guarg	g u a r g	gurge	g u r g e	2
31	KST s8	III_20_0021	Untergrombach, Untergrombach	8.55318, 49.0861	gurke	g u r k e	gurk	g u r k	1
32	MH Q2	II_60_0035, II_60_0034	Schwetzingen, Schwetzingen	8.57064, 49.38567	gurk	g u r k	gurg	g u r g	1
33	KST O5	III_23_0015	Dietlingen, Dietlingen	8.60093, 48.89654	gurig	g u r i g	gurk	g u r k	2
34	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	gurk	g u r k	gurke	g u r k e	1
35	KST d7	III_18_0019	Sankt Leon, Sankt Leon	8.6025, 49.26526	gurik	g u r i k	gurke	g u r k e	2
36	MH H4	II_59_0070	Ladenburg, Ladenburg	8.61098, 49.47244	goigä	g o i g ä	gurg	g u r g	3
37	KST z4	III_21_0018	Wössingen, Wössingen	8.61142, 49.01017	gurke	g u r k e	gurig	g u r i g	2
38	KST l7	III_19_0015	Weiher, Weiher	8.62179, 49.17863	gurk	g u r k	gurke	g u r k e	1
39	KST G11	III_22_0023	Ersingen, Ersingen	8.63492, 48.93324	gurge	g u r g e	gurik	g u r i k	2
40	KST d5	III_18_0020	Walldorf, Walldorf	8.64294, 49.3028	guarg	g u a r g	gurke	g u r k e	3
41	KST l4	III_19_0018, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	gurk	g u r k	gurick	g u r i ck	2
