	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	bodde	b o dd e	butte	b u tt e	3
1	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	butta	b u tt a	butte	b u tt e	1
2	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	butta	b u tt a	butte	b u tt e	1
3	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	budde	b u dd e	butta	b u tt a	3
4	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	bo̊ta	b o ̊ t a	butte	b u tt e	3
5	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	buddä	b u dd ä	budde	b u dd e	1
6	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	bǔttä	b ǔ tt ä	buttä	b u tt ä	1
7	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	butta	b u tt a	butte	b u tt e	1
8	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	butta	b u tt a	butte	b u tt e	1
9	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	butt	b u tt	butta	b u tt a	1
10	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	butta	b u tt a	budda	b u dd a	2
11	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	butta	b u tt a	buda	b u d a	2
12	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	buta	b u t a	buda	b u d a	1
13	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	buttä	b u tt ä	buttă	b u tt ă	1
14	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	butta	b u tt a	butte	b u tt e	1
15	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	butta	b u tt a	budda	b u dd a	2
16	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	butt	b u tt	butta	b u tt a	1
17	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	butte	b u tt e	butta	b u tt a	1
18	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	budda	b u dd a	butte	b u tt e	3
19	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	butta	b u tt a	buddea	b u dd e a	3
20	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	butta	b u tt a	budda	b u dd a	2
21	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	butta	b u tt a	budda	b u dd a	2
22	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	putt	p u tt	pude	p u d e	2
23	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	butte	b u tt e	budde	b u dd e	2
24	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	butta	b u tt a	budda	b u dd a	2
25	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	butta	b u tt a	butte	b u tt e	1
26	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	bůtt	b ů tt	bŭ̊tt	b ŭ ̊ tt	2
27	Co i 9	III_13_0003, III_13_0004	Stossweier, Stossweier	7.10163, 48.05432	bōtt	b ō tt	bōda	b ō d a	2
28	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	boͧdă	b o ͧ d ă	butta	b u tt a	4
29	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	buddä	b u dd ä	butte	b u tt e	3
30	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	butte	b u tt e	butta	b u tt a	1
31	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	buta	b u t a	butta	b u tt a	1
32	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	butta	b u tt a	budda	b u dd a	2
33	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	butta	b u tt a	butte	b u tt e	1
34	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	budda	b u dd a	butt	b u tt	3
35	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	butte	b u tt e	budde	b u dd e	2
36	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	pudd	p u dd	pudde	p u dd e	1
37	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	bud	b u d	but	b u t	1
38	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	bodd	b o dd	botà	b o t à	2
39	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	budde	b u dd e	būdde	b ū dd e	1
40	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	butta	b u tt a	buda	b u d a	2
41	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	putt	p u tt	put	p u t	1
42	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	budda	b u dd a	butte	b u tt e	3
43	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	butta	b u tt a	buta	b u t a	1
44	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	budde	b u dd e	bŭtte	b ŭ tt e	3
45	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	butta	b u tt a	butten	b u tt e n	2
46	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	butte	b u tt e	budda	b u dd a	3
