	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	hågabudda	h å g a b u dd a	hagabudda	h a g a b u dd a	1
1	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	hågebuddă	h å g e b u dd ă	hågabutta	h å g a b u tt a	4
2	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	haagebudda	h aa g e b u d d a	hagabutta	h a g a b u tt a	4
3	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	hagebutte	h a g e b u tt e	hagabudda	h a g a b u dd a	4
4	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	hāgebutte	h ā g e b u tt e	haupütt	h a u p ü tt	6
5	Co Ub 1	III_17_0063	Dürlinsdorf (Durlinsdorf), Dürlinsdorf	7.24121, 47.48531	hågebutte	h å g e b u tt e	hagebudde	h a g e b u dd e	3
6	Stra P 9	III_11_0094	Kinzheim (Kintzheim), Kinzheim	7.39476, 48.25441	haggebudde	h a gg e b u d d e	heckebudde	h e ck e b u dd e	3
7	Co e 8	III_12_0097	Dürrenenzen (Dürrenentzen), Dürrenenzen	7.50406, 48.09192	hajabutt	h a j a b u tt	hajabǔtta	h a j a b ǔ tt a	2
8	Co W 16	III_16_0061	Neudorf (Village-Neuf), Neudorf	7.57149, 47.60532	hagabûtta	h a g a b û tt a	hagabutta	h a g a b u tt a	1
9	Co H13	III_14_0135	Schliengen, Schliengen	7.57624, 47.75579	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
10	Co A10	III_14_0042	Zienken (Müllheim), Zienken	7.57779, 47.84303	hāgebuttene	h ā g e b u tt e n e	hagebutte	h a g e b u tt e	3
11	Co A9	III_14_0043	Grißheim (Grissheim) , Grissheim	7.59238, 47.87313	hagäbuttä	h a g ä b u tt ä	hagebutte	h a g e b u tt e	2
12	Co m 1	III_13_0040	Breisach, Breisach	7.59332, 48.04535	hagebudde	h a g e b u dd e	hagebutte	h a g e b u tt e	2
13	Co W 4, 5	III_16_0087, III_16_0088	Egringen und Fischingen, Fischingen, Egringen	7.59628, 47.66366	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
14	Co P14	III_15_0054	Mappach, Mappach	7.59794, 47.68033	hāgebuttē	h ā g e b u tt ē	hagebudde	h a g e b u dd e	4
15	Co e 4	III_12_0108	Burkheim am Kaiserstuhl, Burkheim am Kaiserstuhl	7.59943, 48.10194	hagäbudde	h a g ä b u dd e	hagebutte	h a g e b u tt e	3
16	Co P3	III_15_0049	Liel, Liel	7.604, 47.73928	hagebudde	h a g e b u dd e	hagebuttene	h a g e b u tt e n e	4
17	Co e 12	III_12_0103	Sasbach, Sasbach	7.61363, 48.13798	hågebutti	h å g e b u tt i	hagebuttä	h a g e b u tt ä	2
18	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	hagabutta	h a g a b u tt a	hangabutte	h a n g a b u tt e	2
19	Co m 4	III_13_0037	Achkarren, Achkarren	7.62448, 48.06769	hagebutte	h a g e b u tt e	hagebütte	h a g e b ü tt e	1
20	Co e 6	III_12_0106	Bischoffingen, Bischoffingen	7.62537, 48.10625	hågebuddä	h å g e b u dd ä	hagebutte	h a g e b u tt e	4
21	Co W 18	III_16_0085	Weil am Rhein, Weil	7.63299, 47.59278	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
22	Co e 13	III_12_0107	Oberrotweil, Oberrotweil	7.63551, 48.08944	hagebutte	h a g e b u tt e	hãgabutta	h ã g a b u tt a	3
23	Co m 3	III_13_0038	Ihringen, Ihringen	7.64554, 48.04572	hagebuttä	h a g e b u tt ä	haagabuda	h aa g a b u d a	5
24	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	hagebutte	h a g e b u tt e	haagebudde	h aa g e b u d d e	3
25	Co A7	III_14_0048	Eschbach (bei Heitersheim), Eschbach	7.65221, 47.8908	hagebuttene	h a g e b u tt e n e	hagebutte	h a g e b u tt e	2
26	Co e 2	III_12_0105	Kiechlinsbergen, Kiechlinsbergen	7.65306, 48.12469	hagebudde	h a g e b u dd e	hagebutte	h a g e b u tt e	2
