	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	MH v3	II_57_0139	Gerolzahn, Gerolzahn	9.31895, 49.62645	hüffelter	h ü ff e l t e r	hifelter	h i f e l t e r	2
1	MH f2	II_88_0005	Boxtal, Boxtal	9.40146, 49.76416	hiffelder	h i ff e l d e r	hifelder	h i f e l d e r	1
2	MH w2	II_90_0006	Dornberg, Dornberg	9.42843, 49.62542	hiffelder	h i ff e l d e r	hiffelter	h i ff e l t e r	1
3	MH o3	II_89_0012	Sonderriet, Sonderriet	9.43938, 49.71753	hiffeter	h i ff e t e r	hiffelter	h i ff e l t e r	1
4	MH E5	II_91_0004	Waldstetten, Waldstetten	9.44893, 49.5647	hiffeldern	h i ff e l d e r n	hiffelder	h i ff e l d e r	1
5	MH f3	II_88_0014	Grünenwört, Grünenwört	9.47135, 49.77438	hiffelder	h i ff e l d e r	hiffelde	h i ff e l d e	1
6	MH o6	II_89_0008	Vockenrot, Vockenrot	9.48521, 49.74816	hiffelter	h i ff e l t e r	hiffelder	h i ff e l d e r	1
7	MH F4	II_91_0007	Gerichtstetten, Gerichtstetten	9.5049, 49.53499	hüfelter	h ü f e l t e r	häffelter	h ä ff e l t e r	2
8	MH p1	II_89_0018	Waldenhausen, Waldenhausen	9.52298, 49.74357	hiffldär	h i ff l d ä r	hiffelder	h i ff e l d e r	2
9	MH x7	II_90_0009	Schweinberg, Schweinberg	9.52459, 49.61864	hiffelda	h i ff e l d a	hiffelta	h i ff e l t a	1
10	MH p2	II_89_0022	Reicholzheim, Reicholzheim	9.53393, 49.72663	hiffelder	h i ff e l d e r	hifelter	h i f e l t e r	2
11	MH F5	II_91_0011	Eubigheim, Eubigheim	9.53977, 49.5018	hiffeldern	h i ff e l d e r n	hiffldern	h i ff l d e r n	1
12	MH p3	II_89_0023	Bronnbach, Bronnbach	9.54654, 49.71348	hiffelder	h i ff e l d e r	hiffelter	h i ff e l t e r	1
13	MH F2	II_91_0009	Brehmen, Brehmen	9.55454, 49.56839	hiffeldå	h i ff e l d å	hiffelder	h i ff e l d e r	2
